#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
57153at50557_103372_0:001f4c|STRG.1209.2:175-1653|+   -            493 57153at50557         -            185   2.9e-82  274.2  13.5   1   1   6.5e-82   3.3e-79  264.2  13.5     1   185   247   474   247   474 0.89 -
119324at50557_93721_0:00259c|STRG.16623.1:324-767|+   -            148 57153at50557         -            185   6.3e-06   25.3   6.6   1   4     0.016       8.1    5.4   0.0   149   174    21    46    12    54 0.68 -
119324at50557_93721_0:00259c|STRG.16623.1:324-767|+   -            148 57153at50557         -            185   6.3e-06   25.3   6.6   2   4      0.02        10    5.0   0.1   145   173    53    81    47    88 0.80 -
119324at50557_93721_0:00259c|STRG.16623.1:324-767|+   -            148 57153at50557         -            185   6.3e-06   25.3   6.6   3   4   4.2e-05     0.022   13.8   0.1   144   177    89   122    84   129 0.81 -
119324at50557_93721_0:00259c|STRG.16623.1:324-767|+   -            148 57153at50557         -            185   6.3e-06   25.3   6.6   4   4     0.073        37    3.2   0.1     3    16   132   145   130   148 0.88 -
119324at50557_609295_0:001eaf|STRG.19884.3:304-813|+  -            170 57153at50557         -            185     2e-05   23.7   1.8   1   3    0.0015      0.79    8.7   0.1   143   176    55    88    48    96 0.76 -
119324at50557_609295_0:001eaf|STRG.19884.3:304-813|+  -            170 57153at50557         -            185     2e-05   23.7   1.8   2   3    0.0027       1.4    7.9   0.1   148   181    97   127    92   134 0.82 -
119324at50557_609295_0:001eaf|STRG.19884.3:304-813|+  -            170 57153at50557         -            185     2e-05   23.7   1.8   3   3     0.015       7.7    5.5   0.0   140   169   130   159   126   167 0.79 -
119324at50557_609295_0:001eaf|STRG.19884.5:277-786|+  -            170 57153at50557         -            185     2e-05   23.7   1.8   1   3    0.0015      0.79    8.7   0.1   143   176    55    88    48    96 0.76 -
119324at50557_609295_0:001eaf|STRG.19884.5:277-786|+  -            170 57153at50557         -            185     2e-05   23.7   1.8   2   3    0.0027       1.4    7.9   0.1   148   181    97   127    92   134 0.82 -
119324at50557_609295_0:001eaf|STRG.19884.5:277-786|+  -            170 57153at50557         -            185     2e-05   23.7   1.8   3   3     0.015       7.7    5.5   0.0   140   169   130   159   126   167 0.79 -
119324at50557_454923_0:001f56|STRG.15197.1:336-797|+  -            154 57153at50557         -            185   5.9e-05   22.1   4.7   1   4     0.002         1    8.3   0.0     1    25    27    51    27    58 0.86 -
119324at50557_454923_0:001f56|STRG.15197.1:336-797|+  -            154 57153at50557         -            185   5.9e-05   22.1   4.7   2   4      0.16        80    2.1   0.0   149   172    63    86    54    93 0.60 -
119324at50557_454923_0:001f56|STRG.15197.1:336-797|+  -            154 57153at50557         -            185   5.9e-05   22.1   4.7   3   4     0.011       5.5    5.9   0.0   146   172    97   123    90   135 0.77 -
119324at50557_454923_0:001f56|STRG.15197.1:336-797|+  -            154 57153at50557         -            185   5.9e-05   22.1   4.7   4   4      0.02        10    5.1   0.1     3    18   138   153   136   154 0.88 -
119324at50557_67767_0:000768|STRG.19884.4:15-1126|+   -            273 57153at50557         -            185   0.00017   20.6   1.9   1   3    0.0033       1.7    7.6   0.1   144   176   159   191   151   199 0.76 -
119324at50557_67767_0:000768|STRG.19884.4:15-1126|+   -            273 57153at50557         -            185   0.00017   20.6   1.9   2   3    0.0056       2.9    6.9   0.0   148   180   200   229   193   236 0.82 -
119324at50557_67767_0:000768|STRG.19884.4:15-1126|+   -            273 57153at50557         -            185   0.00017   20.6   1.9   3   3     0.032        16    4.4   0.0   141   169   234   262   230   270 0.79 -
119324at50557_28612_0:006210|STRG.18810.1:1201-1653|+ -            151 57153at50557         -            185   0.00023   20.2   4.4   1   3     0.001      0.52    9.3   0.0     1    25    11    35    11    45 0.86 -
119324at50557_28612_0:006210|STRG.18810.1:1201-1653|+ -            151 57153at50557         -            185   0.00023   20.2   4.4   2   3    0.0014      0.71    8.8   0.2     3    22    49    68    47    78 0.87 -
119324at50557_28612_0:006210|STRG.18810.1:1201-1653|+ -            151 57153at50557         -            185   0.00023   20.2   4.4   3   3       0.3   1.6e+02    1.2   0.1     3    16   130   143   128   148 0.85 -
119324at50557_28612_0:006210|STRG.18810.2:457-909|+   -            151 57153at50557         -            185   0.00023   20.2   4.4   1   3     0.001      0.52    9.3   0.0     1    25    11    35    11    45 0.86 -
119324at50557_28612_0:006210|STRG.18810.2:457-909|+   -            151 57153at50557         -            185   0.00023   20.2   4.4   2   3    0.0014      0.71    8.8   0.2     3    22    49    68    47    78 0.87 -
119324at50557_28612_0:006210|STRG.18810.2:457-909|+   -            151 57153at50557         -            185   0.00023   20.2   4.4   3   3       0.3   1.6e+02    1.2   0.1     3    16   130   143   128   148 0.85 -
119324at50557_319348_0:001162|STRG.5323.1:225-641|+   -            139 57153at50557         -            185    0.0015   17.5   0.4   1   3      0.22   1.1e+02    1.6   0.0     1    23     7    29     7    60 0.84 -
119324at50557_319348_0:001162|STRG.5323.1:225-641|+   -            139 57153at50557         -            185    0.0015   17.5   0.4   2   3      0.87   4.5e+02   -0.3   0.0   155   175    49    69    23    77 0.73 -
119324at50557_319348_0:001162|STRG.5323.1:225-641|+   -            139 57153at50557         -            185    0.0015   17.5   0.4   3   3   9.1e-05     0.047   12.7   0.1   122   169    89   137    82   139 0.86 -
112578at50557_88501_0:001fa9|STRG.8072.1:212-706|+    -            165 57153at50557         -            185    0.0035   16.4   1.4   1   3     0.059        30    3.5   0.1     3    24    72    93    70   104 0.82 -
112578at50557_88501_0:001fa9|STRG.8072.1:212-706|+    -            165 57153at50557         -            185    0.0035   16.4   1.4   2   3    0.0023       1.2    8.1   0.1     2    28   107   133   106   151 0.61 -
112578at50557_88501_0:001fa9|STRG.8072.1:212-706|+    -            165 57153at50557         -            185    0.0035   16.4   1.4   3   3     0.024        12    4.8   0.1   132   163   134   165   131   165 0.93 -
112578at50557_88501_0:001fa9|STRG.8072.2:212-706|+    -            165 57153at50557         -            185    0.0035   16.4   1.4   1   3     0.059        30    3.5   0.1     3    24    72    93    70   104 0.82 -
112578at50557_88501_0:001fa9|STRG.8072.2:212-706|+    -            165 57153at50557         -            185    0.0035   16.4   1.4   2   3    0.0023       1.2    8.1   0.1     2    28   107   133   106   151 0.61 -
112578at50557_88501_0:001fa9|STRG.8072.2:212-706|+    -            165 57153at50557         -            185    0.0035   16.4   1.4   3   3     0.024        12    4.8   0.1   132   163   134   165   131   165 0.93 -
119324at50557_1155016_0:001688|STRG.14312.1:262-591|+ -            110 57153at50557         -            185     0.016   14.2   0.2   1   2      0.51   2.6e+02    0.5   0.0   149   167     4    22     1    35 0.61 -
119324at50557_1155016_0:001688|STRG.14312.1:262-591|+ -            110 57153at50557         -            185     0.016   14.2   0.2   2   2    0.0016      0.82    8.6   0.2     1    24    40    63    40   104 0.88 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/57153at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/57153at50557.out --cpu 1 /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/57153at50557.hmm annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /home/justine/projet_tutore
# Date:            Sun Dec  1 20:08:23 2024
# [ok]
