#                                                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
104832at50557_34720_0:0019e7|STRG.16082.1:100-921|+     -            274 104832at50557        -            207   7.8e-77  256.5  14.2   1   1   4.1e-77   4.8e-75  250.7  14.2     1   205     4   260     4   264 0.84 -
117816at50557_7200_0:0014c2|STRG.20705.3:1762-2655|+    -            298 104832at50557        -            207   8.7e-07   27.7   0.0   1   3     0.002      0.24    9.9   0.0   144   177    33    70    17    93 0.79 -
117816at50557_7200_0:0014c2|STRG.20705.3:1762-2655|+    -            298 104832at50557        -            207   8.7e-07   27.7   0.0   2   3    0.0015      0.18   10.3   0.0   140   167   115   142    92   163 0.79 -
117816at50557_7200_0:0014c2|STRG.20705.3:1762-2655|+    -            298 104832at50557        -            207   8.7e-07   27.7   0.0   3   3      0.15        18    3.8   0.0   132   165   246   279   239   297 0.76 -
117816at50557_7200_0:0014c2|STRG.20705.5:1406-2299|+    -            298 104832at50557        -            207   8.7e-07   27.7   0.0   1   3     0.002      0.24    9.9   0.0   144   177    33    70    17    93 0.79 -
117816at50557_7200_0:0014c2|STRG.20705.5:1406-2299|+    -            298 104832at50557        -            207   8.7e-07   27.7   0.0   2   3    0.0015      0.18   10.3   0.0   140   167   115   142    92   163 0.79 -
117816at50557_7200_0:0014c2|STRG.20705.5:1406-2299|+    -            298 104832at50557        -            207   8.7e-07   27.7   0.0   3   3      0.15        18    3.8   0.0   132   165   246   279   239   297 0.76 -
117816at50557_29058_0:000b65|STRG.13243.1:911-1384|+    -            158 104832at50557        -            207   8.8e-07   27.7   0.1   1   2     0.001      0.12   10.9   0.0   145   174    38    71    15    85 0.78 -
117816at50557_29058_0:000b65|STRG.13243.1:911-1384|+    -            158 104832at50557        -            207   8.8e-07   27.7   0.1   2   2   5.7e-05    0.0066   15.0   0.0   124   166    97   145    75   148 0.81 -
117816at50557_29058_0:000b65|STRG.13243.2:378-851|+     -            158 104832at50557        -            207   8.8e-07   27.7   0.1   1   2     0.001      0.12   10.9   0.0   145   174    38    71    15    85 0.78 -
117816at50557_29058_0:000b65|STRG.13243.2:378-851|+     -            158 104832at50557        -            207   8.8e-07   27.7   0.1   2   2   5.7e-05    0.0066   15.0   0.0   124   166    97   145    75   148 0.81 -
117816at50557_29058_0:000b65|STRG.13243.3:481-954|+     -            158 104832at50557        -            207   8.8e-07   27.7   0.1   1   2     0.001      0.12   10.9   0.0   145   174    38    71    15    85 0.78 -
117816at50557_29058_0:000b65|STRG.13243.3:481-954|+     -            158 104832at50557        -            207   8.8e-07   27.7   0.1   2   2   5.7e-05    0.0066   15.0   0.0   124   166    97   145    75   148 0.81 -
117816at50557_29058_0:000b65|STRG.13243.4:626-1099|+    -            158 104832at50557        -            207   8.8e-07   27.7   0.1   1   2     0.001      0.12   10.9   0.0   145   174    38    71    15    85 0.78 -
117816at50557_29058_0:000b65|STRG.13243.4:626-1099|+    -            158 104832at50557        -            207   8.8e-07   27.7   0.1   2   2   5.7e-05    0.0066   15.0   0.0   124   166    97   145    75   148 0.81 -
117816at50557_29058_0:000b65|STRG.13243.5:387-860|+     -            158 104832at50557        -            207   8.8e-07   27.7   0.1   1   2     0.001      0.12   10.9   0.0   145   174    38    71    15    85 0.78 -
117816at50557_29058_0:000b65|STRG.13243.5:387-860|+     -            158 104832at50557        -            207   8.8e-07   27.7   0.1   2   2   5.7e-05    0.0066   15.0   0.0   124   166    97   145    75   148 0.81 -
117816at50557_29058_0:000b65|STRG.13243.7:1202-1675|+   -            158 104832at50557        -            207   8.8e-07   27.7   0.1   1   2     0.001      0.12   10.9   0.0   145   174    38    71    15    85 0.78 -
117816at50557_29058_0:000b65|STRG.13243.7:1202-1675|+   -            158 104832at50557        -            207   8.8e-07   27.7   0.1   2   2   5.7e-05    0.0066   15.0   0.0   124   166    97   145    75   148 0.81 -
117816at50557_29058_0:000b65|STRG.13243.8:961-1434|+    -            158 104832at50557        -            207   8.8e-07   27.7   0.1   1   2     0.001      0.12   10.9   0.0   145   174    38    71    15    85 0.78 -
117816at50557_29058_0:000b65|STRG.13243.8:961-1434|+    -            158 104832at50557        -            207   8.8e-07   27.7   0.1   2   2   5.7e-05    0.0066   15.0   0.0   124   166    97   145    75   148 0.81 -
117816at50557_7200_0:0014c2|STRG.20705.7:1406-2338|+    -            311 104832at50557        -            207   2.4e-06   26.3   0.0   1   3    0.0022      0.26    9.8   0.0   144   176    33    69    18    92 0.79 -
117816at50557_7200_0:0014c2|STRG.20705.7:1406-2338|+    -            311 104832at50557        -            207   2.4e-06   26.3   0.0   2   3    0.0039      0.46    9.0   0.0   142   167   130   155   126   176 0.87 -
117816at50557_7200_0:0014c2|STRG.20705.7:1406-2338|+    -            311 104832at50557        -            207   2.4e-06   26.3   0.0   3   3      0.16        19    3.7   0.0   132   165   259   292   252   310 0.76 -
100341at50557_319348_0:001dc7|STRG.20705.6:1364-2371|+  -            336 104832at50557        -            207     3e-06   26.0   0.0   1   3    0.0027      0.31    9.6   0.0   144   176    47    83    34   105 0.79 -
100341at50557_319348_0:001dc7|STRG.20705.6:1364-2371|+  -            336 104832at50557        -            207     3e-06   26.0   0.0   2   3    0.0043      0.51    8.9   0.0   142   167   144   169   140   190 0.87 -
100341at50557_319348_0:001dc7|STRG.20705.6:1364-2371|+  -            336 104832at50557        -            207     3e-06   26.0   0.0   3   3      0.22        26    3.3   0.0   132   165   287   320   280   335 0.78 -
100341at50557_319348_0:001dc7|STRG.20705.13:1513-2547|+ -            345 104832at50557        -            207   3.3e-06   25.8   0.0   1   3    0.0026       0.3    9.6   0.0   144   176    47    83    29   105 0.79 -
100341at50557_319348_0:001dc7|STRG.20705.13:1513-2547|+ -            345 104832at50557        -            207   3.3e-06   25.8   0.0   2   3    0.0045      0.53    8.8   0.0   142   167   144   169   140   190 0.87 -
100341at50557_319348_0:001dc7|STRG.20705.13:1513-2547|+ -            345 104832at50557        -            207   3.3e-06   25.8   0.0   3   3      0.23        27    3.2   0.0   132   165   296   329   289   344 0.78 -
100341at50557_319348_0:001dc7|STRG.20705.14:1687-2721|+ -            345 104832at50557        -            207   3.3e-06   25.8   0.0   1   3    0.0026       0.3    9.6   0.0   144   176    47    83    29   105 0.79 -
100341at50557_319348_0:001dc7|STRG.20705.14:1687-2721|+ -            345 104832at50557        -            207   3.3e-06   25.8   0.0   2   3    0.0045      0.53    8.8   0.0   142   167   144   169   140   190 0.87 -
100341at50557_319348_0:001dc7|STRG.20705.14:1687-2721|+ -            345 104832at50557        -            207   3.3e-06   25.8   0.0   3   3      0.23        27    3.2   0.0   132   165   296   329   289   344 0.78 -
100341at50557_319348_0:001dc7|STRG.20705.15:1684-2718|+ -            345 104832at50557        -            207   3.3e-06   25.8   0.0   1   3    0.0026       0.3    9.6   0.0   144   176    47    83    29   105 0.79 -
100341at50557_319348_0:001dc7|STRG.20705.15:1684-2718|+ -            345 104832at50557        -            207   3.3e-06   25.8   0.0   2   3    0.0045      0.53    8.8   0.0   142   167   144   169   140   190 0.87 -
100341at50557_319348_0:001dc7|STRG.20705.15:1684-2718|+ -            345 104832at50557        -            207   3.3e-06   25.8   0.0   3   3      0.23        27    3.2   0.0   132   165   296   329   289   344 0.78 -
100341at50557_319348_0:001dc7|STRG.20705.16:749-1783|+  -            345 104832at50557        -            207   3.3e-06   25.8   0.0   1   3    0.0026       0.3    9.6   0.0   144   176    47    83    29   105 0.79 -
100341at50557_319348_0:001dc7|STRG.20705.16:749-1783|+  -            345 104832at50557        -            207   3.3e-06   25.8   0.0   2   3    0.0045      0.53    8.8   0.0   142   167   144   169   140   190 0.87 -
100341at50557_319348_0:001dc7|STRG.20705.16:749-1783|+  -            345 104832at50557        -            207   3.3e-06   25.8   0.0   3   3      0.23        27    3.2   0.0   132   165   296   329   289   344 0.78 -
100341at50557_319348_0:001dc7|STRG.20705.1:700-1734|+   -            345 104832at50557        -            207   3.3e-06   25.8   0.0   1   3    0.0026       0.3    9.6   0.0   144   176    47    83    29   105 0.79 -
100341at50557_319348_0:001dc7|STRG.20705.1:700-1734|+   -            345 104832at50557        -            207   3.3e-06   25.8   0.0   2   3    0.0045      0.53    8.8   0.0   142   167   144   169   140   190 0.87 -
100341at50557_319348_0:001dc7|STRG.20705.1:700-1734|+   -            345 104832at50557        -            207   3.3e-06   25.8   0.0   3   3      0.23        27    3.2   0.0   132   165   296   329   289   344 0.78 -
100341at50557_319348_0:001dc7|STRG.20705.9:1364-2398|+  -            345 104832at50557        -            207   3.3e-06   25.8   0.0   1   3    0.0026       0.3    9.6   0.0   144   176    47    83    29   105 0.79 -
100341at50557_319348_0:001dc7|STRG.20705.9:1364-2398|+  -            345 104832at50557        -            207   3.3e-06   25.8   0.0   2   3    0.0045      0.53    8.8   0.0   142   167   144   169   140   190 0.87 -
100341at50557_319348_0:001dc7|STRG.20705.9:1364-2398|+  -            345 104832at50557        -            207   3.3e-06   25.8   0.0   3   3      0.23        27    3.2   0.0   132   165   296   329   289   344 0.78 -
117816at50557_7200_0:000429|STRG.20705.10:1406-1918|+   -            171 104832at50557        -            207     7e-06   24.7   0.0   1   2   0.00071     0.084   11.4   0.0   144   177    33    70    16    94 0.78 -
117816at50557_7200_0:000429|STRG.20705.10:1406-1918|+   -            171 104832at50557        -            207     7e-06   24.7   0.0   2   2    0.0005     0.059   11.9   0.0   140   167   115   142    75   162 0.80 -
117816at50557_123851_0:00306e|STRG.20705.2:1616-2224|+  -            203 104832at50557        -            207   1.2e-05   24.0   0.0   1   2    0.0011      0.13   10.8   0.0   144   177    33    70    19    92 0.79 -
117816at50557_123851_0:00306e|STRG.20705.2:1616-2224|+  -            203 104832at50557        -            207   1.2e-05   24.0   0.0   2   2   0.00082     0.095   11.2   0.0   140   167   115   142    92   163 0.79 -
117816at50557_123851_0:00306e|STRG.20705.4:1406-2014|+  -            203 104832at50557        -            207   1.2e-05   24.0   0.0   1   2    0.0011      0.13   10.8   0.0   144   177    33    70    19    92 0.79 -
117816at50557_123851_0:00306e|STRG.20705.4:1406-2014|+  -            203 104832at50557        -            207   1.2e-05   24.0   0.0   2   2   0.00082     0.095   11.2   0.0   140   167   115   142    92   163 0.79 -
117816at50557_7200_0:0014c2|STRG.20705.12:1406-2149|+   -            248 104832at50557        -            207   2.2e-05   23.1   0.0   1   2    0.0016      0.18   10.3   0.0   144   176    33    69    17    91 0.79 -
117816at50557_7200_0:0014c2|STRG.20705.12:1406-2149|+   -            248 104832at50557        -            207   2.2e-05   23.1   0.0   2   2    0.0011      0.13   10.8   0.0   140   167   115   142    92   163 0.79 -
117816at50557_7200_0:0014c2|STRG.20705.8:1406-2191|+    -            262 104832at50557        -            207   5.7e-05   21.8   0.0   1   2    0.0016      0.19   10.2   0.0   144   177    33    70    17    93 0.79 -
117816at50557_7200_0:0014c2|STRG.20705.8:1406-2191|+    -            262 104832at50557        -            207   5.7e-05   21.8   0.0   2   2    0.0031      0.36    9.4   0.0   142   167   130   155   126   176 0.87 -
117816at50557_7200_0:0014c2|STRG.20705.11:1406-2188|+   -            261 104832at50557        -            207   6.1e-05   21.7   0.0   1   2    0.0016      0.19   10.3   0.0   144   177    33    70    17    93 0.79 -
117816at50557_7200_0:0014c2|STRG.20705.11:1406-2188|+   -            261 104832at50557        -            207   6.1e-05   21.7   0.0   2   2    0.0031      0.36    9.4   0.0   142   167   130   155   126   176 0.87 -
104832at50557_315563_0:002a5b|STRG.2219.1:3363-3986|+   -            208 104832at50557        -            207   7.2e-05   21.4   0.1   1   2      0.37        44    2.5   0.0   106   165    46   115    36   138 0.70 -
104832at50557_315563_0:002a5b|STRG.2219.1:3363-3986|+   -            208 104832at50557        -            207   7.2e-05   21.4   0.1   2   2   1.4e-05    0.0016   17.0   0.0   127   176   153   206   138   208 0.81 -
104832at50557_315563_0:002a5b|STRG.2219.2:3363-3986|+   -            208 104832at50557        -            207   7.2e-05   21.4   0.1   1   2      0.37        44    2.5   0.0   106   165    46   115    36   138 0.70 -
104832at50557_315563_0:002a5b|STRG.2219.2:3363-3986|+   -            208 104832at50557        -            207   7.2e-05   21.4   0.1   2   2   1.4e-05    0.0016   17.0   0.0   127   176   153   206   138   208 0.81 -
104832at50557_315563_0:002a5b|STRG.2219.3:1795-2418|+   -            208 104832at50557        -            207   7.2e-05   21.4   0.1   1   2      0.37        44    2.5   0.0   106   165    46   115    36   138 0.70 -
104832at50557_315563_0:002a5b|STRG.2219.3:1795-2418|+   -            208 104832at50557        -            207   7.2e-05   21.4   0.1   2   2   1.4e-05    0.0016   17.0   0.0   127   176   153   206   138   208 0.81 -
104832at50557_315563_0:002a5b|STRG.2219.4:1795-2418|+   -            208 104832at50557        -            207   7.2e-05   21.4   0.1   1   2      0.37        44    2.5   0.0   106   165    46   115    36   138 0.70 -
104832at50557_315563_0:002a5b|STRG.2219.4:1795-2418|+   -            208 104832at50557        -            207   7.2e-05   21.4   0.1   2   2   1.4e-05    0.0016   17.0   0.0   127   176   153   206   138   208 0.81 -
104832at50557_315563_0:002a5b|STRG.2219.5:1795-2418|+   -            208 104832at50557        -            207   7.2e-05   21.4   0.1   1   2      0.37        44    2.5   0.0   106   165    46   115    36   138 0.70 -
104832at50557_315563_0:002a5b|STRG.2219.5:1795-2418|+   -            208 104832at50557        -            207   7.2e-05   21.4   0.1   2   2   1.4e-05    0.0016   17.0   0.0   127   176   153   206   138   208 0.81 -
104832at50557_315563_0:002a5b|STRG.2219.6:1242-1865|+   -            208 104832at50557        -            207   7.2e-05   21.4   0.1   1   2      0.37        44    2.5   0.0   106   165    46   115    36   138 0.70 -
104832at50557_315563_0:002a5b|STRG.2219.6:1242-1865|+   -            208 104832at50557        -            207   7.2e-05   21.4   0.1   2   2   1.4e-05    0.0016   17.0   0.0   127   176   153   206   138   208 0.81 -
129956at50557_441921_0:0017da|STRG.15172.1:1195-1425|+  -             77 104832at50557        -            207   0.00029   19.5   0.0   1   1   2.8e-06   0.00033   19.3   0.0   124   165    16    62     6    71 0.75 -
129956at50557_7160_0:003f5c|STRG.19296.2:2532-2768|+    -             79 104832at50557        -            207   0.00084   17.9   0.0   1   1   9.5e-06    0.0011   17.6   0.0   137   179    35    74     9    79 0.67 -
117816at50557_7493_0:002cdd|STRG.12442.1:850-1326|+     -            159 104832at50557        -            207   0.00085   17.9   0.1   1   2     0.038       4.4    5.8   0.0   142   168    37    63     8    89 0.72 -
117816at50557_7493_0:002cdd|STRG.12442.1:850-1326|+     -            159 104832at50557        -            207   0.00085   17.9   0.1   2   2    0.0012      0.14   10.6   0.0   140   165   126   151    82   157 0.74 -
117816at50557_7493_0:002cdd|STRG.12442.2:850-1326|+     -            159 104832at50557        -            207   0.00085   17.9   0.1   1   2     0.038       4.4    5.8   0.0   142   168    37    63     8    89 0.72 -
117816at50557_7493_0:002cdd|STRG.12442.2:850-1326|+     -            159 104832at50557        -            207   0.00085   17.9   0.1   2   2    0.0012      0.14   10.6   0.0   140   165   126   151    82   157 0.74 -
129956at50557_441921_0:0017da|STRG.15171.1:1230-1460|+  -             77 104832at50557        -            207    0.0016   17.0   0.0   1   1   1.6e-05    0.0019   16.8   0.0   124   165    16    62     9    71 0.79 -
129956at50557_13686_0:0011f5|STRG.2538.1:1985-2212|+    -             76 104832at50557        -            207    0.0016   17.0   0.0   1   1   1.6e-05    0.0019   16.8   0.0   121   164     9    62     4    72 0.73 -
129956at50557_13686_0:0011f5|STRG.2538.2:2046-2273|+    -             76 104832at50557        -            207    0.0016   17.0   0.0   1   1   1.6e-05    0.0019   16.8   0.0   121   164     9    62     4    72 0.73 -
129956at50557_13686_0:0011f5|STRG.2538.3:804-1031|+     -             76 104832at50557        -            207    0.0016   17.0   0.0   1   1   1.6e-05    0.0019   16.8   0.0   121   164     9    62     4    72 0.73 -
129956at50557_13686_0:0011f5|STRG.2538.4:1444-1671|+    -             76 104832at50557        -            207    0.0016   17.0   0.0   1   1   1.6e-05    0.0019   16.8   0.0   121   164     9    62     4    72 0.73 -
129956at50557_13686_0:0011f5|STRG.2538.5:1505-1732|+    -             76 104832at50557        -            207    0.0016   17.0   0.0   1   1   1.6e-05    0.0019   16.8   0.0   121   164     9    62     4    72 0.73 -
129956at50557_13686_0:0011f5|STRG.2538.6:951-1178|+     -             76 104832at50557        -            207    0.0016   17.0   0.0   1   1   1.6e-05    0.0019   16.8   0.0   121   164     9    62     4    72 0.73 -
129956at50557_13686_0:0011f5|STRG.2538.7:957-1184|+     -             76 104832at50557        -            207    0.0016   17.0   0.0   1   1   1.6e-05    0.0019   16.8   0.0   121   164     9    62     4    72 0.73 -
129956at50557_6973_0:003187|STRG.11340.10:290-532|+     -             81 104832at50557        -            207    0.0023   16.5   0.1   1   1   2.2e-05    0.0026   16.3   0.1   125   178    17    72     5    80 0.72 -
83433at50557_1507135_0:0010eb|STRG.14976.14:244-1125|+  -            294 104832at50557        -            207    0.0027   16.3   0.0   1   2    0.0065      0.76    8.3   0.0   127   166    30    67    25    91 0.82 -
83433at50557_1507135_0:0010eb|STRG.14976.14:244-1125|+  -            294 104832at50557        -            207    0.0027   16.3   0.0   2   2     0.028       3.3    6.2   0.0   125   173   107   157    73   170 0.75 -
83433at50557_1507135_0:0010eb|STRG.14976.1:124-1011|+   -            296 104832at50557        -            207    0.0028   16.3   0.0   1   2    0.0066      0.77    8.3   0.0   127   166    30    67    25    91 0.82 -
83433at50557_1507135_0:0010eb|STRG.14976.1:124-1011|+   -            296 104832at50557        -            207    0.0028   16.3   0.0   2   2     0.028       3.3    6.2   0.0   125   173   107   157    73   170 0.75 -
83433at50557_1507135_0:0010eb|STRG.14976.2:124-1011|+   -            296 104832at50557        -            207    0.0028   16.3   0.0   1   2    0.0066      0.77    8.3   0.0   127   166    30    67    25    91 0.82 -
83433at50557_1507135_0:0010eb|STRG.14976.2:124-1011|+   -            296 104832at50557        -            207    0.0028   16.3   0.0   2   2     0.028       3.3    6.2   0.0   125   173   107   157    73   170 0.75 -
83433at50557_13686_0:000d60|STRG.14976.11:124-1122|+    -            333 104832at50557        -            207    0.0037   15.8   0.0   1   2     0.008      0.93    8.0   0.0   127   166    30    67    25    90 0.82 -
83433at50557_13686_0:000d60|STRG.14976.11:124-1122|+    -            333 104832at50557        -            207    0.0037   15.8   0.0   2   2     0.033       3.8    6.0   0.0   125   173   107   157    71   171 0.75 -
83433at50557_286306_0:001317|STRG.14976.6:106-1095|+    -            330 104832at50557        -            207    0.0038   15.8   0.0   1   2    0.0079      0.92    8.0   0.0   127   166    36    73    31    96 0.82 -
83433at50557_286306_0:001317|STRG.14976.6:106-1095|+    -            330 104832at50557        -            207    0.0038   15.8   0.0   2   2     0.032       3.8    6.0   0.0   125   173   113   163    77   177 0.75 -
83433at50557_286306_0:001317|STRG.14976.12:226-1324|+   -            337 104832at50557        -            207     0.004   15.7   0.0   1   2    0.0081      0.95    8.0   0.0   127   166    36    73    31    96 0.82 -
83433at50557_286306_0:001317|STRG.14976.12:226-1324|+   -            337 104832at50557        -            207     0.004   15.7   0.0   2   2     0.033       3.9    6.0   0.0   125   173   113   163    77   177 0.75 -
83433at50557_286306_0:001317|STRG.14976.13:106-1204|+   -            337 104832at50557        -            207     0.004   15.7   0.0   1   2    0.0081      0.95    8.0   0.0   127   166    36    73    31    96 0.82 -
83433at50557_286306_0:001317|STRG.14976.13:106-1204|+   -            337 104832at50557        -            207     0.004   15.7   0.0   2   2     0.033       3.9    6.0   0.0   125   173   113   163    77   177 0.75 -
83433at50557_286306_0:001317|STRG.14976.7:107-1141|+    -            345 104832at50557        -            207    0.0043   15.6   0.0   1   2    0.0084      0.98    7.9   0.0   127   166    36    73    31    96 0.82 -
83433at50557_286306_0:001317|STRG.14976.7:107-1141|+    -            345 104832at50557        -            207    0.0043   15.6   0.0   2   2     0.035         4    5.9   0.0   125   173   113   163    77   177 0.75 -
83433at50557_286306_0:001317|STRG.14976.5:106-1146|+    -            347 104832at50557        -            207    0.0044   15.6   0.0   1   2    0.0085      0.99    7.9   0.0   127   166    36    73    31    96 0.82 -
83433at50557_286306_0:001317|STRG.14976.5:106-1146|+    -            347 104832at50557        -            207    0.0044   15.6   0.0   2   2     0.035       4.1    5.9   0.0   125   173   113   163    77   177 0.75 -
83433at50557_13686_0:000d60|STRG.14976.9:126-1235|+     -            370 104832at50557        -            207    0.0046   15.5   0.0   1   2    0.0093       1.1    7.8   0.0   127   166    30    67    25    90 0.82 -
83433at50557_13686_0:000d60|STRG.14976.9:126-1235|+     -            370 104832at50557        -            207    0.0046   15.5   0.0   2   2     0.043       5.1    5.6   0.0   125   173   107   157    76   171 0.76 -
83433at50557_156304_0:001c1d|STRG.14976.15:124-1191|+   -            356 104832at50557        -            207    0.0047   15.5   0.0   1   2    0.0088         1    7.9   0.0   127   166    30    67    25    90 0.82 -
83433at50557_156304_0:001c1d|STRG.14976.15:124-1191|+   -            356 104832at50557        -            207    0.0047   15.5   0.0   2   2     0.036       4.3    5.8   0.0   125   173   107   157    71   171 0.75 -
83433at50557_286306_0:001317|STRG.14976.16:107-1174|+   -            356 104832at50557        -            207    0.0048   15.5   0.0   1   2    0.0088         1    7.9   0.0   127   166    36    73    31    96 0.82 -
83433at50557_286306_0:001317|STRG.14976.16:107-1174|+   -            356 104832at50557        -            207    0.0048   15.5   0.0   2   2     0.036       4.3    5.8   0.0   125   173   113   163    77   177 0.75 -
83433at50557_13686_0:000d60|STRG.14976.10:126-1238|+    -            371 104832at50557        -            207    0.0052   15.4   0.0   1   2    0.0093       1.1    7.8   0.0   127   166    30    67    25    90 0.82 -
83433at50557_13686_0:000d60|STRG.14976.10:126-1238|+    -            371 104832at50557        -            207    0.0052   15.4   0.0   2   2     0.043       5.1    5.6   0.0   125   173   107   157    76   171 0.76 -
83433at50557_13686_0:000d60|STRG.14976.4:126-1238|+     -            371 104832at50557        -            207    0.0052   15.4   0.0   1   2    0.0093       1.1    7.8   0.0   127   166    30    67    25    90 0.82 -
83433at50557_13686_0:000d60|STRG.14976.4:126-1238|+     -            371 104832at50557        -            207    0.0052   15.4   0.0   2   2     0.043       5.1    5.6   0.0   125   173   107   157    76   171 0.76 -
83433at50557_13686_0:000d60|STRG.14976.8:244-1356|+     -            371 104832at50557        -            207    0.0052   15.4   0.0   1   2    0.0093       1.1    7.8   0.0   127   166    30    67    25    90 0.82 -
83433at50557_13686_0:000d60|STRG.14976.8:244-1356|+     -            371 104832at50557        -            207    0.0052   15.4   0.0   2   2     0.043       5.1    5.6   0.0   125   173   107   157    76   171 0.76 -
117816at50557_121225_0:000cee|STRG.2963.1:157-660|+     -            168 104832at50557        -            207    0.0052   15.4   0.1   1   2     0.014       1.7    7.2   0.0   114   167     4    69     1    88 0.70 -
117816at50557_121225_0:000cee|STRG.2963.1:157-660|+     -            168 104832at50557        -            207    0.0052   15.4   0.1   2   2     0.017         2    6.9   0.0   141   166   132   157    77   168 0.80 -
117816at50557_121225_0:000cee|STRG.2963.2:106-609|+     -            168 104832at50557        -            207    0.0052   15.4   0.1   1   2     0.014       1.7    7.2   0.0   114   167     4    69     1    88 0.70 -
117816at50557_121225_0:000cee|STRG.2963.2:106-609|+     -            168 104832at50557        -            207    0.0052   15.4   0.1   2   2     0.017         2    6.9   0.0   141   166   132   157    77   168 0.80 -
117816at50557_121225_0:000cee|STRG.2963.3:506-1009|+    -            168 104832at50557        -            207    0.0052   15.4   0.1   1   2     0.014       1.7    7.2   0.0   114   167     4    69     1    88 0.70 -
117816at50557_121225_0:000cee|STRG.2963.3:506-1009|+    -            168 104832at50557        -            207    0.0052   15.4   0.1   2   2     0.017         2    6.9   0.0   141   166   132   157    77   168 0.80 -
49780at50557_13686_0:001eb7|STRG.13065.1:388-2703|+     -            772 104832at50557        -            207    0.0062   15.1   0.0   1   3      0.31        36    2.8   0.0   128   160   129   162   116   198 0.82 -
49780at50557_13686_0:001eb7|STRG.13065.1:388-2703|+     -            772 104832at50557        -            207    0.0062   15.1   0.0   2   3       1.5   1.8e+02    0.6   0.0   143   166   349   372   304   392 0.80 -
49780at50557_13686_0:001eb7|STRG.13065.1:388-2703|+     -            772 104832at50557        -            207    0.0062   15.1   0.0   3   3     0.015       1.8    7.1   0.0   128   164   410   446   404   458 0.92 -
49780at50557_13686_0:001eb7|STRG.13065.2:388-2703|+     -            772 104832at50557        -            207    0.0062   15.1   0.0   1   3      0.31        36    2.8   0.0   128   160   129   162   116   198 0.82 -
49780at50557_13686_0:001eb7|STRG.13065.2:388-2703|+     -            772 104832at50557        -            207    0.0062   15.1   0.0   2   3       1.5   1.8e+02    0.6   0.0   143   166   349   372   304   392 0.80 -
49780at50557_13686_0:001eb7|STRG.13065.2:388-2703|+     -            772 104832at50557        -            207    0.0062   15.1   0.0   3   3     0.015       1.8    7.1   0.0   128   164   410   446   404   458 0.92 -
