#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
23620at50557_34720_0:0012cc|STRG.4221.1:102-2786|+    -            844 23620at50557         -            502  6.3e-248  822.6  11.3   1   1  4.1e-248  1.7e-246  817.9  11.3     1   501   220   827   220   828 0.91 -
80377at50557_30019_0:0008bb|STRG.6179.1:1374-2234|+   -            287 23620at50557         -            502   4.5e-34  117.1  14.8   4   7   0.00051     0.021   12.7   0.0   238   278   133   172   131   173 0.91 -
80377at50557_30019_0:0008bb|STRG.6179.1:1374-2234|+   -            287 23620at50557         -            502   4.5e-34  117.1  14.8   5   7   2.8e-06   0.00011   20.1   0.1   235   278   170   212   167   215 0.90 -
80377at50557_30019_0:0008bb|STRG.6179.1:1374-2234|+   -            287 23620at50557         -            502   4.5e-34  117.1  14.8   6   7   3.3e-05    0.0013   16.6   0.1   236   278   211   252   209   262 0.89 -
80377at50557_30019_0:0008bb|STRG.6179.1:1374-2234|+   -            287 23620at50557         -            502   4.5e-34  117.1  14.8   7   7     0.034       1.4    6.6   0.0   240   269   258   286   253   287 0.80 -
80377at50557_30019_0:0008bb|STRG.6179.2:1343-2203|+   -            287 23620at50557         -            502   4.5e-34  117.1  14.8   1   7     2e-10   8.1e-09   33.8   0.1   237   280    11    54     3    64 0.90 -
80377at50557_30019_0:0008bb|STRG.6179.2:1343-2203|+   -            287 23620at50557         -            502   4.5e-34  117.1  14.8   2   7    0.0001    0.0042   15.0   0.1   239   278    54    92    52    93 0.85 -
80377at50557_30019_0:0008bb|STRG.6179.2:1343-2203|+   -            287 23620at50557         -            502   4.5e-34  117.1  14.8   3   7   5.1e-08   2.1e-06   25.9   0.2   236   280    91   134    89   137 0.91 -
80377at50557_30019_0:0008bb|STRG.6179.2:1343-2203|+   -            287 23620at50557         -            502   4.5e-34  117.1  14.8   4   7   0.00051     0.021   12.7   0.0   238   278   133   172   131   173 0.91 -
80377at50557_30019_0:0008bb|STRG.6179.2:1343-2203|+   -            287 23620at50557         -            502   4.5e-34  117.1  14.8   5   7   2.8e-06   0.00011   20.1   0.1   235   278   170   212   167   215 0.90 -
80377at50557_30019_0:0008bb|STRG.6179.2:1343-2203|+   -            287 23620at50557         -            502   4.5e-34  117.1  14.8   6   7   3.3e-05    0.0013   16.6   0.1   236   278   211   252   209   262 0.89 -
80377at50557_30019_0:0008bb|STRG.6179.2:1343-2203|+   -            287 23620at50557         -            502   4.5e-34  117.1  14.8   7   7     0.034       1.4    6.6   0.0   240   269   258   286   253   287 0.80 -
80377at50557_30019_0:0008bb|STRG.6179.3:1895-2755|+   -            287 23620at50557         -            502   4.5e-34  117.1  14.8   1   7     2e-10   8.1e-09   33.8   0.1   237   280    11    54     3    64 0.90 -
80377at50557_30019_0:0008bb|STRG.6179.3:1895-2755|+   -            287 23620at50557         -            502   4.5e-34  117.1  14.8   2   7    0.0001    0.0042   15.0   0.1   239   278    54    92    52    93 0.85 -
80377at50557_30019_0:0008bb|STRG.6179.3:1895-2755|+   -            287 23620at50557         -            502   4.5e-34  117.1  14.8   3   7   5.1e-08   2.1e-06   25.9   0.2   236   280    91   134    89   137 0.91 -
80377at50557_30019_0:0008bb|STRG.6179.3:1895-2755|+   -            287 23620at50557         -            502   4.5e-34  117.1  14.8   4   7   0.00051     0.021   12.7   0.0   238   278   133   172   131   173 0.91 -
80377at50557_30019_0:0008bb|STRG.6179.3:1895-2755|+   -            287 23620at50557         -            502   4.5e-34  117.1  14.8   5   7   2.8e-06   0.00011   20.1   0.1   235   278   170   212   167   215 0.90 -
80377at50557_30019_0:0008bb|STRG.6179.3:1895-2755|+   -            287 23620at50557         -            502   4.5e-34  117.1  14.8   6   7   3.3e-05    0.0013   16.6   0.1   236   278   211   252   209   262 0.89 -
80377at50557_30019_0:0008bb|STRG.6179.3:1895-2755|+   -            287 23620at50557         -            502   4.5e-34  117.1  14.8   7   7     0.034       1.4    6.6   0.0   240   269   258   286   253   287 0.80 -
80377at50557_30019_0:0008bb|STRG.6179.4:1895-2755|+   -            287 23620at50557         -            502   4.5e-34  117.1  14.8   1   7     2e-10   8.1e-09   33.8   0.1   237   280    11    54     3    64 0.90 -
80377at50557_30019_0:0008bb|STRG.6179.4:1895-2755|+   -            287 23620at50557         -            502   4.5e-34  117.1  14.8   2   7    0.0001    0.0042   15.0   0.1   239   278    54    92    52    93 0.85 -
80377at50557_30019_0:0008bb|STRG.6179.4:1895-2755|+   -            287 23620at50557         -            502   4.5e-34  117.1  14.8   3   7   5.1e-08   2.1e-06   25.9   0.2   236   280    91   134    89   137 0.91 -
80377at50557_30019_0:0008bb|STRG.6179.4:1895-2755|+   -            287 23620at50557         -            502   4.5e-34  117.1  14.8   4   7   0.00051     0.021   12.7   0.0   238   278   133   172   131   173 0.91 -
80377at50557_30019_0:0008bb|STRG.6179.4:1895-2755|+   -            287 23620at50557         -            502   4.5e-34  117.1  14.8   5   7   2.8e-06   0.00011   20.1   0.1   235   278   170   212   167   215 0.90 -
80377at50557_30019_0:0008bb|STRG.6179.4:1895-2755|+   -            287 23620at50557         -            502   4.5e-34  117.1  14.8   6   7   3.3e-05    0.0013   16.6   0.1   236   278   211   252   209   262 0.89 -
80377at50557_30019_0:0008bb|STRG.6179.4:1895-2755|+   -            287 23620at50557         -            502   4.5e-34  117.1  14.8   7   7     0.034       1.4    6.6   0.0   240   269   258   286   253   287 0.80 -
40115at50557_7370_0:002473|STRG.10477.1:345-1214|+    -            290 23620at50557         -            502   3.6e-30  104.2   1.3   1   7   0.00025      0.01   13.7   0.0   238   279     2    44     1    61 0.81 -
40115at50557_7370_0:002473|STRG.10477.1:345-1214|+    -            290 23620at50557         -            502   3.6e-30  104.2   1.3   2   7   1.6e-06   6.6e-05   20.9   0.0   249   278    56    85    41    86 0.78 -
40115at50557_7370_0:002473|STRG.10477.1:345-1214|+    -            290 23620at50557         -            502   3.6e-30  104.2   1.3   3   7   1.4e-07   5.9e-06   24.4   0.0   236   278    84   127    83   130 0.92 -
40115at50557_7370_0:002473|STRG.10477.1:345-1214|+    -            290 23620at50557         -            502   3.6e-30  104.2   1.3   4   7     8e-05    0.0033   15.3   0.0   239   279   129   170   126   174 0.88 -
40115at50557_7370_0:002473|STRG.10477.1:345-1214|+    -            290 23620at50557         -            502   3.6e-30  104.2   1.3   5   7   0.00024      0.01   13.7   0.0   248   277   182   211   177   215 0.92 -
40115at50557_7370_0:002473|STRG.10477.1:345-1214|+    -            290 23620at50557         -            502   3.6e-30  104.2   1.3   6   7   0.00042     0.017   12.9   0.1   236   276   211   255   209   257 0.82 -
40115at50557_7370_0:002473|STRG.10477.1:345-1214|+    -            290 23620at50557         -            502   3.6e-30  104.2   1.3   7   7      0.47        19    2.9   0.0   413   437   255   279   252   290 0.44 -
80377at50557_7220_0:002af5|STRG.18366.3:58-915|+      -            286 23620at50557         -            502   4.8e-21   74.2   0.5   1   6       2.4     1e+02    0.5   0.0   237   270     2    36     1    42 0.80 -
80377at50557_7220_0:002af5|STRG.18366.3:58-915|+      -            286 23620at50557         -            502   4.8e-21   74.2   0.5   2   6      0.37        15    3.2   0.0   234   269    40    76    36    79 0.81 -
80377at50557_7220_0:002af5|STRG.18366.3:58-915|+      -            286 23620at50557         -            502   4.8e-21   74.2   0.5   3   6     2e-05   0.00084   17.3   0.0   233   271    81   120    75   126 0.87 -
80377at50557_7220_0:002af5|STRG.18366.3:58-915|+      -            286 23620at50557         -            502   4.8e-21   74.2   0.5   4   6   2.5e-09     1e-07   30.2   0.1   234   283   124   174   119   190 0.87 -
80377at50557_7220_0:002af5|STRG.18366.3:58-915|+      -            286 23620at50557         -            502   4.8e-21   74.2   0.5   5   6     0.001     0.041   11.7   0.0   238   278   213   251   200   254 0.87 -
80377at50557_7220_0:002af5|STRG.18366.3:58-915|+      -            286 23620at50557         -            502   4.8e-21   74.2   0.5   6   6     0.088       3.6    5.3   0.0   237   269   251   284   249   286 0.88 -
80377at50557_7220_0:002af5|STRG.18366.4:58-915|+      -            286 23620at50557         -            502   4.8e-21   74.2   0.5   1   6       2.4     1e+02    0.5   0.0   237   270     2    36     1    42 0.80 -
80377at50557_7220_0:002af5|STRG.18366.4:58-915|+      -            286 23620at50557         -            502   4.8e-21   74.2   0.5   2   6      0.37        15    3.2   0.0   234   269    40    76    36    79 0.81 -
80377at50557_7220_0:002af5|STRG.18366.4:58-915|+      -            286 23620at50557         -            502   4.8e-21   74.2   0.5   3   6     2e-05   0.00084   17.3   0.0   233   271    81   120    75   126 0.87 -
80377at50557_7220_0:002af5|STRG.18366.4:58-915|+      -            286 23620at50557         -            502   4.8e-21   74.2   0.5   4   6   2.5e-09     1e-07   30.2   0.1   234   283   124   174   119   190 0.87 -
80377at50557_7220_0:002af5|STRG.18366.4:58-915|+      -            286 23620at50557         -            502   4.8e-21   74.2   0.5   5   6     0.001     0.041   11.7   0.0   238   278   213   251   200   254 0.87 -
80377at50557_7220_0:002af5|STRG.18366.4:58-915|+      -            286 23620at50557         -            502   4.8e-21   74.2   0.5   6   6     0.088       3.6    5.3   0.0   237   269   251   284   249   286 0.88 -
40115at50557_28612_0:000941|STRG.18369.1:23-934|+     -            304 23620at50557         -            502   6.7e-20   70.4   0.5   1   6       1.9        77    0.9   0.0   250   411    36    62    12    96 0.51 -
40115at50557_28612_0:000941|STRG.18369.1:23-934|+     -            304 23620at50557         -            502   6.7e-20   70.4   0.5   2   6   7.6e-05    0.0031   15.4   0.0   233   268   102   138    95   147 0.88 -
40115at50557_28612_0:000941|STRG.18369.1:23-934|+     -            304 23620at50557         -            502   6.7e-20   70.4   0.5   3   6   2.7e-10   1.1e-08   33.4   0.0   237   279   148   191   141   209 0.89 -
40115at50557_28612_0:000941|STRG.18369.1:23-934|+     -            304 23620at50557         -            502   6.7e-20   70.4   0.5   4   6       9.9   4.1e+02   -1.5   0.0   248   272   202   226   193   230 0.79 -
40115at50557_28612_0:000941|STRG.18369.1:23-934|+     -            304 23620at50557         -            502   6.7e-20   70.4   0.5   5   6   0.00023    0.0092   13.8   0.0   232   278   230   274   214   277 0.83 -
40115at50557_28612_0:000941|STRG.18369.1:23-934|+     -            304 23620at50557         -            502   6.7e-20   70.4   0.5   6   6       1.6        66    1.1   0.0   236   266   273   304   267   304 0.85 -
40115at50557_103372_0:0021d6|STRG.11081.1:216-1661|+  -            482 23620at50557         -            502     2e-19   68.8   5.7   1   7    0.0001    0.0043   15.0   0.0   237   272   117   153   112   158 0.87 -
40115at50557_103372_0:0021d6|STRG.11081.1:216-1661|+  -            482 23620at50557         -            502     2e-19   68.8   5.7   2   7      0.33        13    3.4   0.0   233   278   155   202   153   219 0.79 -
40115at50557_103372_0:0021d6|STRG.11081.1:216-1661|+  -            482 23620at50557         -            502     2e-19   68.8   5.7   3   7     0.055       2.3    6.0   0.1   249   276   220   247   200   250 0.75 -
40115at50557_103372_0:0021d6|STRG.11081.1:216-1661|+  -            482 23620at50557         -            502     2e-19   68.8   5.7   4   7   0.00027     0.011   13.6   0.1   236   293   248   305   241   336 0.82 -
40115at50557_103372_0:0021d6|STRG.11081.1:216-1661|+  -            482 23620at50557         -            502     2e-19   68.8   5.7   5   7   1.6e-05   0.00066   17.6   0.0   229   276   357   405   339   408 0.89 -
40115at50557_103372_0:0021d6|STRG.11081.1:216-1661|+  -            482 23620at50557         -            502     2e-19   68.8   5.7   6   7    0.0013     0.052   11.4   0.0   236   274   406   445   404   466 0.82 -
40115at50557_103372_0:0021d6|STRG.11081.1:216-1661|+  -            482 23620at50557         -            502     2e-19   68.8   5.7   7   7         6   2.4e+02   -0.7   0.0   239   268   451   481   448   482 0.87 -
80377at50557_7070_0:0023da|STRG.18368.1:447-1094|+    -            216 23620at50557         -            502   4.1e-18   64.5   0.3   1   4   0.00026      0.01   13.7   0.0   236   267     3    35     1    44 0.90 -
80377at50557_7070_0:0023da|STRG.18368.1:447-1094|+    -            216 23620at50557         -            502   4.1e-18   64.5   0.3   2   4     1e-09   4.1e-08   31.5   0.0   234   279    43    89    37   102 0.91 -
80377at50557_7070_0:0023da|STRG.18368.1:447-1094|+    -            216 23620at50557         -            502   4.1e-18   64.5   0.3   3   4    0.0042      0.17    9.6   0.0   235   272   127   165   105   171 0.74 -
80377at50557_7070_0:0023da|STRG.18368.1:447-1094|+    -            216 23620at50557         -            502   4.1e-18   64.5   0.3   4   4     0.065       2.7    5.7   0.0   233   269   167   204   163   208 0.87 -
40115at50557_108931_0:001d6b|STRG.19253.1:926-1963|+  -            346 23620at50557         -            502   1.1e-17   63.1   0.8   1   5     0.022      0.91    7.3   0.0   237   271     8    43     5    56 0.84 -
40115at50557_108931_0:001d6b|STRG.19253.1:926-1963|+  -            346 23620at50557         -            502   1.1e-17   63.1   0.8   2   5      0.01      0.41    8.4   0.0   249   278   117   146   100   182 0.79 -
40115at50557_108931_0:001d6b|STRG.19253.1:926-1963|+  -            346 23620at50557         -            502   1.1e-17   63.1   0.8   3   5   2.7e-07   1.1e-05   23.5   0.0   232   277   182   228   174   245 0.83 -
40115at50557_108931_0:001d6b|STRG.19253.1:926-1963|+  -            346 23620at50557         -            502   1.1e-17   63.1   0.8   4   5     0.018      0.74    7.6   0.0   255   281   257   283   250   291 0.90 -
40115at50557_108931_0:001d6b|STRG.19253.1:926-1963|+  -            346 23620at50557         -            502   1.1e-17   63.1   0.8   5   5   0.00062     0.025   12.4   0.0   237   276   280   320   279   333 0.88 -
40115at50557_1629725_0:001335|STRG.14750.1:618-1421|+ -            268 23620at50557         -            502   1.8e-17   62.4  10.4   1   5     0.021      0.87    7.3   0.1   254   278     2    26     1    28 0.91 -
40115at50557_1629725_0:001335|STRG.14750.1:618-1421|+ -            268 23620at50557         -            502   1.8e-17   62.4  10.4   2   5   1.4e-05   0.00056   17.9   0.5   238   286    27    74    25   110 0.67 -
40115at50557_1629725_0:001335|STRG.14750.1:618-1421|+ -            268 23620at50557         -            502   1.8e-17   62.4  10.4   3   5   5.1e-05    0.0021   16.0   0.1   238   278   110   149   105   152 0.89 -
40115at50557_1629725_0:001335|STRG.14750.1:618-1421|+ -            268 23620at50557         -            502   1.8e-17   62.4  10.4   4   5   0.00011    0.0047   14.8   0.0   236   278   148   189   146   190 0.88 -
40115at50557_1629725_0:001335|STRG.14750.1:618-1421|+ -            268 23620at50557         -            502   1.8e-17   62.4  10.4   5   5   0.00048      0.02   12.8   0.1   237   272   189   223   188   268 0.78 -
80377at50557_166361_0:002fc1|STRG.18366.2:1525-2292|+ -            256 23620at50557         -            502   9.4e-17   60.0   0.4   1   5      0.96        39    1.9   0.0   235   270    16    52    11    58 0.83 -
80377at50557_166361_0:002fc1|STRG.18366.2:1525-2292|+ -            256 23620at50557         -            502   9.4e-17   60.0   0.4   2   5      0.29        12    3.6   0.0   234   269    56    92    52    97 0.82 -
80377at50557_166361_0:002fc1|STRG.18366.2:1525-2292|+ -            256 23620at50557         -            502   9.4e-17   60.0   0.4   3   5   1.7e-05   0.00071   17.5   0.0   233   271    97   136    91   142 0.87 -
80377at50557_166361_0:002fc1|STRG.18366.2:1525-2292|+ -            256 23620at50557         -            502   9.4e-17   60.0   0.4   4   5   2.1e-09   8.5e-08   30.5   0.0   234   283   140   190   136   207 0.86 -
80377at50557_166361_0:002fc1|STRG.18366.2:1525-2292|+ -            256 23620at50557         -            502   9.4e-17   60.0   0.4   5   5       1.8        73    1.0   0.0   238   265   229   254   216   255 0.75 -
57752at50557_103372_0:000c5a|STRG.1783.1:490-1854|+   -            455 23620at50557         -            502   1.5e-16   59.3   0.4   1   4   2.3e-05   0.00094   17.1   0.0   222   274   123   179   111   188 0.80 -
57752at50557_103372_0:000c5a|STRG.1783.1:490-1854|+   -            455 23620at50557         -            502   1.5e-16   59.3   0.4   2   4   0.00068     0.028   12.2   0.0   379   437   188   247   178   263 0.82 -
57752at50557_103372_0:000c5a|STRG.1783.1:490-1854|+   -            455 23620at50557         -            502   1.5e-16   59.3   0.4   3   4   0.00019    0.0076   14.1   0.1   235   278   265   309   254   316 0.84 -
57752at50557_103372_0:000c5a|STRG.1783.1:490-1854|+   -            455 23620at50557         -            502   1.5e-16   59.3   0.4   4   4    0.0049       0.2    9.4   0.0   236   279   349   392   335   426 0.88 -
57752at50557_103372_0:000c5a|STRG.1783.2:483-1847|+   -            455 23620at50557         -            502   1.5e-16   59.3   0.4   1   4   2.3e-05   0.00094   17.1   0.0   222   274   123   179   111   188 0.80 -
57752at50557_103372_0:000c5a|STRG.1783.2:483-1847|+   -            455 23620at50557         -            502   1.5e-16   59.3   0.4   2   4   0.00068     0.028   12.2   0.0   379   437   188   247   178   263 0.82 -
57752at50557_103372_0:000c5a|STRG.1783.2:483-1847|+   -            455 23620at50557         -            502   1.5e-16   59.3   0.4   3   4   0.00019    0.0076   14.1   0.1   235   278   265   309   254   316 0.84 -
57752at50557_103372_0:000c5a|STRG.1783.2:483-1847|+   -            455 23620at50557         -            502   1.5e-16   59.3   0.4   4   4    0.0049       0.2    9.4   0.0   236   279   349   392   335   426 0.88 -
57752at50557_103372_0:000c5a|STRG.1783.3:68-1432|+    -            455 23620at50557         -            502   1.5e-16   59.3   0.4   1   4   2.3e-05   0.00094   17.1   0.0   222   274   123   179   111   188 0.80 -
57752at50557_103372_0:000c5a|STRG.1783.3:68-1432|+    -            455 23620at50557         -            502   1.5e-16   59.3   0.4   2   4   0.00068     0.028   12.2   0.0   379   437   188   247   178   263 0.82 -
57752at50557_103372_0:000c5a|STRG.1783.3:68-1432|+    -            455 23620at50557         -            502   1.5e-16   59.3   0.4   3   4   0.00019    0.0076   14.1   0.1   235   278   265   309   254   316 0.84 -
57752at50557_103372_0:000c5a|STRG.1783.3:68-1432|+    -            455 23620at50557         -            502   1.5e-16   59.3   0.4   4   4    0.0049       0.2    9.4   0.0   236   279   349   392   335   426 0.88 -
14512at50557_29053_0:0002b6|STRG.8472.1:214-924|+     -            237 23620at50557         -            502   1.5e-16   59.3   1.2   1   5   0.00022    0.0092   13.8   0.0   237   278     4    46     1    47 0.82 -
14512at50557_29053_0:0002b6|STRG.8472.1:214-924|+     -            237 23620at50557         -            502   1.5e-16   59.3   1.2   2   5   1.9e-05   0.00076   17.4   0.0   236   276    45    86    44    89 0.87 -
14512at50557_29053_0:0002b6|STRG.8472.1:214-924|+     -            237 23620at50557         -            502   1.5e-16   59.3   1.2   3   5    0.0013     0.052   11.4   0.1   237   273    88   125    85   130 0.86 -
14512at50557_29053_0:0002b6|STRG.8472.1:214-924|+     -            237 23620at50557         -            502   1.5e-16   59.3   1.2   4   5      0.16       6.7    4.4   0.0   248   273   172   197   158   201 0.75 -
14512at50557_29053_0:0002b6|STRG.8472.1:214-924|+     -            237 23620at50557         -            502   1.5e-16   59.3   1.2   5   5    0.0066      0.27    9.0   0.0   236   268   203   236   199   237 0.87 -
40115at50557_2015173_0:000ce2|STRG.12756.1:157-915|+  -            253 23620at50557         -            502   2.4e-15   55.4   1.4   1   5      0.17       6.8    4.4   0.0   238   269     7    38     4    45 0.89 -
40115at50557_2015173_0:000ce2|STRG.12756.1:157-915|+  -            253 23620at50557         -            502   2.4e-15   55.4   1.4   2   5     0.046       1.9    6.2   0.0   235   278    49    98    40   111 0.75 -
40115at50557_2015173_0:000ce2|STRG.12756.1:157-915|+  -            253 23620at50557         -            502   2.4e-15   55.4   1.4   3   5   0.00064     0.026   12.3   0.0   220   268   123   172   115   178 0.92 -
40115at50557_2015173_0:000ce2|STRG.12756.1:157-915|+  -            253 23620at50557         -            502   2.4e-15   55.4   1.4   4   5   4.8e-05     0.002   16.1   0.0   237   276   181   220   172   221 0.92 -
40115at50557_2015173_0:000ce2|STRG.12756.1:157-915|+  -            253 23620at50557         -            502   2.4e-15   55.4   1.4   5   5   0.00048      0.02   12.8   0.0   235   267   220   253   218   253 0.92 -
80377at50557_456900_0:000374|STRG.9321.2:98-1102|+    -            335 23620at50557         -            502   3.7e-15   54.7   0.4   1   6    0.0077      0.32    8.8   0.0   237   270    53    87    13    93 0.84 -
80377at50557_456900_0:000374|STRG.9321.2:98-1102|+    -            335 23620at50557         -            502   3.7e-15   54.7   0.4   2   6     0.013      0.53    8.0   0.0   237   277    96   137    89   139 0.85 -
80377at50557_456900_0:000374|STRG.9321.2:98-1102|+    -            335 23620at50557         -            502   3.7e-15   54.7   0.4   3   6     0.001     0.042   11.7   0.0   237   270   138   173   135   191 0.79 -
80377at50557_456900_0:000374|STRG.9321.2:98-1102|+    -            335 23620at50557         -            502   3.7e-15   54.7   0.4   4   6       2.1        86    0.8   0.0   246   272   190   216   177   222 0.79 -
80377at50557_456900_0:000374|STRG.9321.2:98-1102|+    -            335 23620at50557         -            502   3.7e-15   54.7   0.4   5   6   7.7e-05    0.0032   15.4   0.0   237   278   222   268   212   276 0.82 -
80377at50557_456900_0:000374|STRG.9321.2:98-1102|+    -            335 23620at50557         -            502   3.7e-15   54.7   0.4   6   6      0.26        11    3.7   0.0   241   275   277   311   268   315 0.89 -
80377at50557_456900_0:000374|STRG.9321.3:127-1173|+   -            349 23620at50557         -            502   3.9e-15   54.7   0.4   1   6    0.0082      0.34    8.7   0.0   237   270    53    87    13    93 0.84 -
80377at50557_456900_0:000374|STRG.9321.3:127-1173|+   -            349 23620at50557         -            502   3.9e-15   54.7   0.4   2   6     0.013      0.55    8.0   0.0   237   277    96   137    90   140 0.85 -
80377at50557_456900_0:000374|STRG.9321.3:127-1173|+   -            349 23620at50557         -            502   3.9e-15   54.7   0.4   3   6    0.0011     0.045   11.6   0.0   237   270   138   173   135   190 0.79 -
80377at50557_456900_0:000374|STRG.9321.3:127-1173|+   -            349 23620at50557         -            502   3.9e-15   54.7   0.4   4   6       2.2        90    0.7   0.0   246   272   190   216   177   222 0.79 -
80377at50557_456900_0:000374|STRG.9321.3:127-1173|+   -            349 23620at50557         -            502   3.9e-15   54.7   0.4   5   6   9.1e-05    0.0037   15.1   0.0   237   278   222   268   214   273 0.82 -
80377at50557_456900_0:000374|STRG.9321.3:127-1173|+   -            349 23620at50557         -            502   3.9e-15   54.7   0.4   6   6      0.21       8.5    4.1   0.0   241   276   277   312   269   344 0.86 -
31374at50557_103372_0:0017b9|STRG.4407.1:91-2046|+    -            652 23620at50557         -            502     5e-15   54.3   0.0   1   5     0.014      0.58    7.9   0.0   216   275   372   432   367   434 0.87 -
31374at50557_103372_0:0017b9|STRG.4407.1:91-2046|+    -            652 23620at50557         -            502     5e-15   54.3   0.0   2   5      0.01      0.42    8.4   0.0   236   274   434   473   432   476 0.87 -
31374at50557_103372_0:0017b9|STRG.4407.1:91-2046|+    -            652 23620at50557         -            502     5e-15   54.3   0.0   3   5     4e-06   0.00016   19.6   0.0   231   277   471   518   467   520 0.88 -
31374at50557_103372_0:0017b9|STRG.4407.1:91-2046|+    -            652 23620at50557         -            502     5e-15   54.3   0.0   4   5     0.032       1.3    6.8   0.0   238   276   520   559   518   562 0.85 -
31374at50557_103372_0:0017b9|STRG.4407.1:91-2046|+    -            652 23620at50557         -            502     5e-15   54.3   0.0   5   5     0.017      0.72    7.6   0.0   237   269   561   594   557   603 0.89 -
14512at50557_103372_0:0005b9|STRG.3349.1:363-2942|+   -            860 23620at50557         -            502     8e-15   53.6   0.0   1   6    0.0075      0.31    8.8   0.0   237   278    14    57     7    78 0.84 -
14512at50557_103372_0:0005b9|STRG.3349.1:363-2942|+   -            860 23620at50557         -            502     8e-15   53.6   0.0   2   6       1.1        44    1.7   0.0   237   278    57    99    54   100 0.84 -
14512at50557_103372_0:0005b9|STRG.3349.1:363-2942|+   -            860 23620at50557         -            502     8e-15   53.6   0.0   3   6   0.00017    0.0069   14.3   0.0   236   275    98   138    95   140 0.93 -
14512at50557_103372_0:0005b9|STRG.3349.1:363-2942|+   -            860 23620at50557         -            502     8e-15   53.6   0.0   4   6   3.2e-06   0.00013   19.9   0.0   236   278   140   183   137   193 0.92 -
14512at50557_103372_0:0005b9|STRG.3349.1:363-2942|+   -            860 23620at50557         -            502     8e-15   53.6   0.0   5   6       7.4   3.1e+02   -1.1   0.0   251   271   198   218   183   225 0.59 -
14512at50557_103372_0:0005b9|STRG.3349.1:363-2942|+   -            860 23620at50557         -            502     8e-15   53.6   0.0   6   6      0.32        13    3.4   0.0   236   288   225   275   215   297 0.79 -
14512at50557_103372_0:0005b9|STRG.3349.2:363-2999|+   -            879 23620at50557         -            502   9.1e-15   53.5   0.0   1   6    0.0077      0.31    8.8   0.0   237   278    14    57     7    78 0.84 -
14512at50557_103372_0:0005b9|STRG.3349.2:363-2999|+   -            879 23620at50557         -            502   9.1e-15   53.5   0.0   2   6       1.1        45    1.7   0.0   237   278    57    99    54   100 0.84 -
