#                                                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
31793at50557_456900_0:001971|STRG.19330.1:715-2502|+    -            596 31793at50557         -            153   2.6e-91  302.5   6.9   1   1   1.5e-92   5.6e-90  298.1   6.9     1   153   104   285   104   285 0.93 -
31793at50557_1049336_0:002448|STRG.4003.1:1391-1849|+   -            153 31793at50557         -            153   8.1e-19   67.1   1.6   1   1   3.9e-19   1.5e-16   59.7   1.6    19   142     1   153     1   153 0.77 -
31793at50557_1049336_0:002448|STRG.4003.3:1400-1777|+   -            126 31793at50557         -            153     8e-15   54.1   0.5   1   1   4.8e-15   1.8e-12   46.4   0.5    58   142    13   126     3   126 0.78 -
31793at50557_1049336_0:002448|STRG.4003.2:1646-1987|+   -            114 31793at50557         -            153   9.5e-15   53.9   0.5   1   1     6e-15   2.3e-12   46.1   0.5    62   142     5   114     1   114 0.78 -
31793at50557_7004_0:0042c4|STRG.1467.1:539-1375|+       -            279 31793at50557         -            153   1.3e-13   50.2   0.2   1   1     1e-13   3.9e-11   42.1   0.2     6   149    80   252    75   256 0.80 -
58189at50557_103372_0:000235|STRG.17922.1:991-2229|+    -            413 31793at50557         -            153   4.2e-06   25.8   0.2   1   1   1.3e-06   0.00052   19.0   0.2     4   147   112   277   109   285 0.77 -
22348at50557_168631_0:001c73|STRG.9089.1:757-1095|+     -            113 31793at50557         -            153    0.0024   16.8   0.9   1   1   9.1e-06    0.0035   16.3   0.9   123   149    87   113    33   113 0.80 -
22348at50557_168631_0:001c73|STRG.9089.2:756-1094|+     -            113 31793at50557         -            153    0.0024   16.8   0.9   1   1   9.1e-06    0.0035   16.3   0.9   123   149    87   113    33   113 0.80 -
58189at50557_121225_0:000d00|STRG.16991.1:14571-15611|+ -            347 31793at50557         -            153     0.046   12.7   0.0   1   1   0.00028      0.11   11.5   0.0   120   149   203   232   175   236 0.87 -
58189at50557_121225_0:000d00|STRG.16991.2:11492-12532|+ -            347 31793at50557         -            153     0.046   12.7   0.0   1   1   0.00028      0.11   11.5   0.0   120   149   203   232   175   236 0.87 -
58189at50557_121225_0:000d00|STRG.16991.3:6096-7136|+   -            347 31793at50557         -            153     0.046   12.7   0.0   1   1   0.00028      0.11   11.5   0.0   120   149   203   232   175   236 0.87 -
22348at50557_103372_0:002a7b|STRG.13680.5:320-1810|+    -            497 31793at50557         -            153     0.067   12.1   1.2   1   3       5.1     2e+03   -2.4   0.1    15    35    34    55    29    57 0.65 -
22348at50557_103372_0:002a7b|STRG.13680.5:320-1810|+    -            497 31793at50557         -            153     0.067   12.1   1.2   2   3      0.23        88    2.0   0.0     4    48   220   263   217   272 0.75 -
22348at50557_103372_0:002a7b|STRG.13680.5:320-1810|+    -            497 31793at50557         -            153     0.067   12.1   1.2   3   3    0.0048       1.8    7.5   0.1   122   149   355   382   310   387 0.76 -
22348at50557_103372_0:002a7b|STRG.13680.4:320-1813|+    -            498 31793at50557         -            153     0.067   12.1   1.2   1   3       5.2     2e+03   -2.4   0.1    15    35    34    55    29    57 0.65 -
22348at50557_103372_0:002a7b|STRG.13680.4:320-1813|+    -            498 31793at50557         -            153     0.067   12.1   1.2   2   3      0.23        88    2.0   0.0     4    48   221   264   218   273 0.75 -
22348at50557_103372_0:002a7b|STRG.13680.4:320-1813|+    -            498 31793at50557         -            153     0.067   12.1   1.2   3   3    0.0048       1.8    7.5   0.1   122   149   356   383   311   388 0.76 -
22348at50557_411798_0:00330e|STRG.13680.3:320-1795|+    -            492 31793at50557         -            153     0.077   11.9   1.3   1   3       5.1     2e+03   -2.4   0.1    15    35    34    55    29    57 0.65 -
22348at50557_411798_0:00330e|STRG.13680.3:320-1795|+    -            492 31793at50557         -            153     0.077   11.9   1.3   2   3      0.25        97    1.9   0.0     4    48   215   258   212   267 0.75 -
22348at50557_411798_0:00330e|STRG.13680.3:320-1795|+    -            492 31793at50557         -            153     0.077   11.9   1.3   3   3    0.0047       1.8    7.5   0.1   122   149   350   377   305   382 0.76 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/31793at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/31793at50557.out --cpu 1 /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/31793at50557.hmm annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /home/justine/projet_tutore
# Date:            Sun Dec  1 20:05:26 2024
# [ok]
