#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
38815at50557_520822_0:00044d|STRG.733.1:89-1975|+    -            629 38815at50557         -            491  2.3e-141  470.6   0.2   1   1  1.1e-143  3.8e-141  469.9   0.2     2   491    49   629    48   629 0.86 -
56276at50557_319348_0:003341|STRG.13717.3:327-1448|+ -            374 38815at50557         -            491   7.1e-22   76.5   0.0   1   1     3e-24   9.9e-22   76.0   0.0    52   323    35   355     9   368 0.78 -
56276at50557_319348_0:003341|STRG.13717.4:327-1448|+ -            374 38815at50557         -            491   7.1e-22   76.5   0.0   1   1     3e-24   9.9e-22   76.0   0.0    52   323    35   355     9   368 0.78 -
56276at50557_319348_0:003341|STRG.13717.5:207-1328|+ -            374 38815at50557         -            491   7.1e-22   76.5   0.0   1   1     3e-24   9.9e-22   76.0   0.0    52   323    35   355     9   368 0.78 -
56276at50557_520822_0:0021da|STRG.677.2:107-1030|+   -            308 38815at50557         -            491   1.1e-16   59.3   0.0   1   1   5.4e-19   1.8e-16   58.7   0.0    78   262    93   308    29   308 0.73 -
56276at50557_456900_0:000b7d|STRG.5707.2:4-1072|+    -            350 38815at50557         -            491     8e-16   56.6   0.0   1   1   4.2e-18   1.4e-15   55.8   0.0    79   262   117   331    71   333 0.74 -
56276at50557_456900_0:000b7d|STRG.5707.1:4-1148|+    -            350 38815at50557         -            491     8e-16   56.6   0.0   1   1   4.2e-18   1.4e-15   55.8   0.0    79   262   117   331    71   333 0.74 -
56276at50557_456900_0:000b7d|STRG.2329.1:17-1574|+   -            410 38815at50557         -            491   2.8e-15   54.7   0.0   1   1   1.5e-17   5.1e-15   53.9   0.0    79   263   117   319    71   320 0.75 -
56276at50557_13037_0:00181b|STRG.13489.1:972-1472|+  -            167 38815at50557         -            491   7.1e-14   50.1   0.0   1   1   2.5e-16   8.3e-14   49.9   0.0   189   324     2   149     1   160 0.85 -
56276at50557_520822_0:0021da|STRG.677.1:107-1315|+   -            325 38815at50557         -            491   7.6e-14   50.0   0.0   1   1   4.5e-16   1.5e-13   49.1   0.0    78   263    93   307    45   308 0.72 -
56276at50557_104421_0:00177c|STRG.737.1:86-891|+     -            267 38815at50557         -            491     3e-12   44.7   0.0   1   1   1.3e-14   4.2e-12   44.3   0.0    87   184   125   236    52   266 0.71 -
56276at50557_7536_0:003323|STRG.6118.1:2-724|+       -            186 38815at50557         -            491   6.7e-10   37.0   0.0   1   2   3.6e-09   1.2e-06   26.3   0.0    92   178    11   108     4   118 0.84 -
56276at50557_7536_0:003323|STRG.6118.1:2-724|+       -            186 38815at50557         -            491   6.7e-10   37.0   0.0   2   2   0.00079      0.26    8.7   0.1   216   263   122   170   117   171 0.88 -
56276at50557_520822_0:0021da|STRG.737.2:94-946|+     -            263 38815at50557         -            491   1.7e-09   35.7   0.0   1   1   7.7e-12   2.5e-09   35.1   0.0    87   185   115   229    42   261 0.69 -
56276at50557_6973_0:003c00|STRG.2329.2:219-533|+     -            105 38815at50557         -            491   1.9e-06   25.7   0.2   1   1   9.8e-09   3.2e-06   24.9   0.2   136   203    19   100    10   104 0.67 -
56276at50557_456900_0:000b7d|STRG.19157.3:80-806|+   -            235 38815at50557         -            491   4.4e-05   21.1   0.0   1   1   1.9e-07   6.1e-05   20.7   0.0    53   178    82   226    52   232 0.75 -
56276at50557_456900_0:000b7d|STRG.19157.2:170-993|+  -            235 38815at50557         -            491   4.4e-05   21.1   0.0   1   1   1.9e-07   6.1e-05   20.7   0.0    53   178    82   226    52   232 0.75 -
56276at50557_6973_0:003c00|STRG.7188.1:24-417|+      -            105 38815at50557         -            491   0.00014   19.4   0.0   1   1   5.2e-07   0.00017   19.2   0.0   131   178    23    74    19    84 0.76 -
56276at50557_6973_0:003c00|STRG.737.3:114-498|+      -            107 38815at50557         -            491   0.00063   17.3   0.0   1   1   2.3e-06   0.00076   17.0   0.0   130   183    24    81    20    87 0.77 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/38815at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/38815at50557.out --cpu 1 /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/38815at50557.hmm annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /home/justine/projet_tutore
# Date:            Sun Dec  1 20:05:51 2024
# [ok]
