#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
27737at50557_103372_0:000a01|STRG.10748.1:104-1936|+  -            611 27737at50557         -            506  3.2e-264  876.2   9.2   1   1  1.4e-265  1.2e-263  874.4   9.2     6   506    27   605    22   605 0.91 -
27737at50557_67767_0:00339d|STRG.506.2:28-495|+       -            156 27737at50557         -            506   3.9e-33  113.8   1.9   1   1   5.1e-35   4.1e-33  113.8   1.9   377   499    10   143     1   151 0.83 -
42193at50557_123851_0:000a5d|STRG.4892.1:319-762|+    -            148 27737at50557         -            506   1.1e-32  112.4   0.2   1   1   1.6e-34   1.2e-32  112.2   0.2   381   496     2   127     1   132 0.87 -
27737at50557_67767_0:00339d|STRG.17980.1:400-876|+    -            159 27737at50557         -            506   2.2e-32  111.4   0.2   1   1   3.1e-34   2.5e-32  111.2   0.2   368   495    13   150     1   154 0.86 -
27737at50557_121845_0:000a82|STRG.11330.1:563-1160|+  -            165 27737at50557         -            506   5.7e-32  110.0   0.2   1   1   9.3e-34   7.4e-32  109.6   0.2   380   495    13   142     3   152 0.82 -
27737at50557_121845_0:000a82|STRG.11330.2:563-1160|+  -            165 27737at50557         -            506   5.7e-32  110.0   0.2   1   1   9.3e-34   7.4e-32  109.6   0.2   380   495    13   142     3   152 0.82 -
27737at50557_121845_0:000a82|STRG.11330.3:419-913|+   -            165 27737at50557         -            506   5.7e-32  110.0   0.2   1   1   9.3e-34   7.4e-32  109.6   0.2   380   495    13   142     3   152 0.82 -
27737at50557_121845_0:000a82|STRG.11330.4:534-1028|+  -            165 27737at50557         -            506   5.7e-32  110.0   0.2   1   1   9.3e-34   7.4e-32  109.6   0.2   380   495    13   142     3   152 0.82 -
92898at50557_62324_0:001787|STRG.13939.1:254-748|+    -            165 27737at50557         -            506   1.3e-26   92.4   0.0   1   1   1.7e-28   1.4e-26   92.2   0.0   374   506     3   156     1   156 0.83 -
92898at50557_62324_0:001787|STRG.13939.2:381-875|+    -            165 27737at50557         -            506   1.3e-26   92.4   0.0   1   1   1.7e-28   1.4e-26   92.2   0.0   374   506     3   156     1   156 0.83 -
92898at50557_62324_0:001787|STRG.13939.3:196-690|+    -            165 27737at50557         -            506   1.3e-26   92.4   0.0   1   1   1.7e-28   1.4e-26   92.2   0.0   374   506     3   156     1   156 0.83 -
27737at50557_67767_0:00339d|STRG.4388.4:454-852|+     -            133 27737at50557         -            506   2.3e-24   84.9   0.5   1   1   5.1e-23   4.1e-21   74.2   0.5   378   497    14   119     5   133 0.83 -
42193at50557_123851_0:000a5d|STRG.11974.1:184-627|+   -            148 27737at50557         -            506     2e-23   81.8   0.2   1   1   2.8e-25   2.3e-23   81.6   0.2   381   492     2   131     1   145 0.81 -
42193at50557_123851_0:000a5d|STRG.11974.2:184-627|+   -            148 27737at50557         -            506     2e-23   81.8   0.2   1   1   2.8e-25   2.3e-23   81.6   0.2   381   492     2   131     1   145 0.81 -
42193at50557_7539_0:00337e|STRG.4388.3:514-744|+      -             77 27737at50557         -            506   3.8e-13   47.9   0.3   1   1   5.2e-15   4.1e-13   47.8   0.3   386   449     2    71     1    74 0.80 -
42193at50557_7539_0:00337e|STRG.2282.1:501-863|+      -            121 27737at50557         -            506   1.1e-11   43.0   0.1   1   1   1.5e-13   1.2e-11   43.0   0.1   387   488     2   109     1   121 0.85 -
42193at50557_7539_0:00337e|STRG.2282.2:539-901|+      -            121 27737at50557         -            506   1.1e-11   43.0   0.1   1   1   1.5e-13   1.2e-11   43.0   0.1   387   488     2   109     1   121 0.85 -
80377at50557_7220_0:002af5|STRG.18366.3:58-915|+      -            286 27737at50557         -            506   7.4e-11   40.3   0.9   1   2    0.0099      0.79    7.3   0.0   186   210    53    77    42    87 0.91 -
80377at50557_7220_0:002af5|STRG.18366.3:58-915|+      -            286 27737at50557         -            506   7.4e-11   40.3   0.9   2   2   2.3e-07   1.9e-05   22.5   0.6    31   208    88   283    81   285 0.71 -
80377at50557_7220_0:002af5|STRG.18366.4:58-915|+      -            286 27737at50557         -            506   7.4e-11   40.3   0.9   1   2    0.0099      0.79    7.3   0.0   186   210    53    77    42    87 0.91 -
80377at50557_7220_0:002af5|STRG.18366.4:58-915|+      -            286 27737at50557         -            506   7.4e-11   40.3   0.9   2   2   2.3e-07   1.9e-05   22.5   0.6    31   208    88   283    81   285 0.71 -
42193at50557_7539_0:00337e|STRG.2282.3:536-814|+      -             93 27737at50557         -            506   1.6e-08   32.6   0.1   1   1     2e-10   1.6e-08   32.6   0.1   413   488     3    81     1    93 0.87 -
14512at50557_56086_0:000590|STRG.8436.1:627-1094|+    -            156 27737at50557         -            506     1e-07   30.0   0.0   1   3    0.0033      0.27    8.8   0.0   184   219     5    40     1    49 0.90 -
14512at50557_56086_0:000590|STRG.8436.1:627-1094|+    -            156 27737at50557         -            506     1e-07   30.0   0.0   2   3     0.069       5.6    4.5   0.0    42    60    54    72    42    78 0.78 -
14512at50557_56086_0:000590|STRG.8436.1:627-1094|+    -            156 27737at50557         -            506     1e-07   30.0   0.0   3   3    0.0001    0.0083   13.8   0.0   184   225    89   130    70   144 0.83 -
14512at50557_56086_0:000590|STRG.8436.2:745-1212|+    -            156 27737at50557         -            506     1e-07   30.0   0.0   1   3    0.0033      0.27    8.8   0.0   184   219     5    40     1    49 0.90 -
14512at50557_56086_0:000590|STRG.8436.2:745-1212|+    -            156 27737at50557         -            506     1e-07   30.0   0.0   2   3     0.069       5.6    4.5   0.0    42    60    54    72    42    78 0.78 -
14512at50557_56086_0:000590|STRG.8436.2:745-1212|+    -            156 27737at50557         -            506     1e-07   30.0   0.0   3   3    0.0001    0.0083   13.8   0.0   184   225    89   130    70   144 0.83 -
43121at50557_103372_0:001d6c|STRG.19264.1:0-1529|+    -            510 27737at50557         -            506     1e-07   30.0   2.7   1   5    0.0002     0.016   12.9   0.0   186   242   220   274   196   279 0.80 -
43121at50557_103372_0:001d6c|STRG.19264.1:0-1529|+    -            510 27737at50557         -            506     1e-07   30.0   2.7   2   5     0.099       7.9    4.0   0.1   184   221   268   305   252   310 0.70 -
43121at50557_103372_0:001d6c|STRG.19264.1:0-1529|+    -            510 27737at50557         -            506     1e-07   30.0   2.7   3   5     0.012      0.99    6.9   0.1   181   218   308   345   301   354 0.87 -
43121at50557_103372_0:001d6c|STRG.19264.1:0-1529|+    -            510 27737at50557         -            506     1e-07   30.0   2.7   4   5     0.027       2.2    5.8   0.1    31    65   348   385   343   411 0.68 -
43121at50557_103372_0:001d6c|STRG.19264.1:0-1529|+    -            510 27737at50557         -            506     1e-07   30.0   2.7   5   5       3.2   2.6e+02   -1.0   0.0    32    59   482   509   446   510 0.80 -
80377at50557_7070_0:0023da|STRG.18368.1:447-1094|+    -            216 27737at50557         -            506   7.4e-07   27.2   4.7   1   1   4.1e-07   3.3e-05   21.7   4.7    31   208     7   203     4   216 0.65 -
40115at50557_1629725_0:001335|STRG.14750.1:618-1421|+ -            268 27737at50557         -            506   7.8e-07   27.1   2.3   1   4     0.017       1.3    6.5   0.1    46   105     3    66     2    86 0.77 -
40115at50557_1629725_0:001335|STRG.14750.1:618-1421|+ -            268 27737at50557         -            506   7.8e-07   27.1   2.3   2   4     0.009      0.72    7.4   0.1    44    99    41   100    33   109 0.69 -
40115at50557_1629725_0:001335|STRG.14750.1:618-1421|+ -            268 27737at50557         -            506   7.8e-07   27.1   2.3   3   4   3.5e-05    0.0028   15.3   0.0    32    96   113   180   107   190 0.82 -
40115at50557_1629725_0:001335|STRG.14750.1:618-1421|+ -            268 27737at50557         -            506   7.8e-07   27.1   2.3   4   4      0.63        51    1.3   0.0    38    59   198   219   187   225 0.79 -
57752at50557_121225_0:0018b6|STRG.11077.1:539-1453|+  -            305 27737at50557         -            506     1e-06   26.7   9.8   1   3   0.00075      0.06   11.0   0.5    31    97     4    77     3    95 0.74 -
57752at50557_121225_0:0018b6|STRG.11077.1:539-1453|+  -            305 27737at50557         -            506     1e-06   26.7   9.8   2   3   0.00023     0.019   12.6   0.1    34    97    92   162    81   171 0.72 -
57752at50557_121225_0:0018b6|STRG.11077.1:539-1453|+  -            305 27737at50557         -            506     1e-06   26.7   9.8   3   3     0.013       1.1    6.8   0.9    42    94   246   304   231   305 0.66 -
80377at50557_30019_0:0008bb|STRG.6179.1:1374-2234|+   -            287 27737at50557         -            506   1.4e-06   26.3   2.2   1   3      0.11       8.6    3.8   0.0   183   225    97   139    88   152 0.82 -
80377at50557_30019_0:0008bb|STRG.6179.1:1374-2234|+   -            287 27737at50557         -            506   1.4e-06   26.3   2.2   2   3     0.054       4.4    4.8   0.0    45    98   188   245   165   253 0.72 -
80377at50557_30019_0:0008bb|STRG.6179.1:1374-2234|+   -            287 27737at50557         -            506   1.4e-06   26.3   2.2   3   3    0.0028      0.22    9.1   0.2    31    59   258   285   256   287 0.79 -
80377at50557_30019_0:0008bb|STRG.6179.2:1343-2203|+   -            287 27737at50557         -            506   1.4e-06   26.3   2.2   1   3      0.11       8.6    3.8   0.0   183   225    97   139    88   152 0.82 -
80377at50557_30019_0:0008bb|STRG.6179.2:1343-2203|+   -            287 27737at50557         -            506   1.4e-06   26.3   2.2   2   3     0.054       4.4    4.8   0.0    45    98   188   245   165   253 0.72 -
80377at50557_30019_0:0008bb|STRG.6179.2:1343-2203|+   -            287 27737at50557         -            506   1.4e-06   26.3   2.2   3   3    0.0028      0.22    9.1   0.2    31    59   258   285   256   287 0.79 -
80377at50557_30019_0:0008bb|STRG.6179.3:1895-2755|+   -            287 27737at50557         -            506   1.4e-06   26.3   2.2   1   3      0.11       8.6    3.8   0.0   183   225    97   139    88   152 0.82 -
80377at50557_30019_0:0008bb|STRG.6179.3:1895-2755|+   -            287 27737at50557         -            506   1.4e-06   26.3   2.2   2   3     0.054       4.4    4.8   0.0    45    98   188   245   165   253 0.72 -
80377at50557_30019_0:0008bb|STRG.6179.3:1895-2755|+   -            287 27737at50557         -            506   1.4e-06   26.3   2.2   3   3    0.0028      0.22    9.1   0.2    31    59   258   285   256   287 0.79 -
80377at50557_30019_0:0008bb|STRG.6179.4:1895-2755|+   -            287 27737at50557         -            506   1.4e-06   26.3   2.2   1   3      0.11       8.6    3.8   0.0   183   225    97   139    88   152 0.82 -
80377at50557_30019_0:0008bb|STRG.6179.4:1895-2755|+   -            287 27737at50557         -            506   1.4e-06   26.3   2.2   2   3     0.054       4.4    4.8   0.0    45    98   188   245   165   253 0.72 -
80377at50557_30019_0:0008bb|STRG.6179.4:1895-2755|+   -            287 27737at50557         -            506   1.4e-06   26.3   2.2   3   3    0.0028      0.22    9.1   0.2    31    59   258   285   256   287 0.79 -
40115at50557_28612_0:000941|STRG.18369.1:23-934|+     -            304 27737at50557         -            506   1.6e-06   26.1   1.2   1   1   2.3e-06   0.00019   19.2   0.4    31   206   109   304   102   304 0.68 -
80377at50557_166361_0:002fc1|STRG.18366.2:1525-2292|+ -            256 27737at50557         -            506   1.7e-06   25.9   0.2   1   4    0.0095      0.76    7.3   0.0   186   210    69    93    58    97 0.91 -
80377at50557_166361_0:002fc1|STRG.18366.2:1525-2292|+ -            256 27737at50557         -            506   1.7e-06   25.9   0.2   2   4      0.55        44    1.5   0.0   185   218   110   143   100   149 0.81 -
80377at50557_166361_0:002fc1|STRG.18366.2:1525-2292|+ -            256 27737at50557         -            506   1.7e-06   25.9   0.2   3   4    0.0012     0.093   10.3   0.0   184   231   151   199   145   238 0.85 -
80377at50557_166361_0:002fc1|STRG.18366.2:1525-2292|+ -            256 27737at50557         -            506   1.7e-06   25.9   0.2   4   4       6.9   5.5e+02   -2.1   0.0    30    56   227   254   212   255 0.69 -
78072at50557_7038_0:0021a3|STRG.3354.1:792-1640|+     -            283 27737at50557         -            506   3.5e-06   24.9   0.0   1   2   1.2e-07   9.6e-06   23.5   0.0    44    98   103   165    99   175 0.85 -
78072at50557_7038_0:0021a3|STRG.3354.1:792-1640|+     -            283 27737at50557         -            506   3.5e-06   24.9   0.0   2   2       9.3   7.5e+02   -2.5   0.0    81    99   244   262   226   269 0.68 -
78072at50557_7038_0:0021a3|STRG.3354.2:304-1152|+     -            283 27737at50557         -            506   3.5e-06   24.9   0.0   1   2   1.2e-07   9.6e-06   23.5   0.0    44    98   103   165    99   175 0.85 -
78072at50557_7038_0:0021a3|STRG.3354.2:304-1152|+     -            283 27737at50557         -            506   3.5e-06   24.9   0.0   2   2       9.3   7.5e+02   -2.5   0.0    81    99   244   262   226   269 0.68 -
78072at50557_7038_0:0021a3|STRG.3354.3:304-1152|+     -            283 27737at50557         -            506   3.5e-06   24.9   0.0   1   2   1.2e-07   9.6e-06   23.5   0.0    44    98   103   165    99   175 0.85 -
78072at50557_7038_0:0021a3|STRG.3354.3:304-1152|+     -            283 27737at50557         -            506   3.5e-06   24.9   0.0   2   2       9.3   7.5e+02   -2.5   0.0    81    99   244   262   226   269 0.68 -
78072at50557_7038_0:0021a3|STRG.3354.5:734-1582|+     -            283 27737at50557         -            506   3.5e-06   24.9   0.0   1   2   1.2e-07   9.6e-06   23.5   0.0    44    98   103   165    99   175 0.85 -
78072at50557_7038_0:0021a3|STRG.3354.5:734-1582|+     -            283 27737at50557         -            506   3.5e-06   24.9   0.0   2   2       9.3   7.5e+02   -2.5   0.0    81    99   244   262   226   269 0.68 -
78072at50557_7070_0:002a52|STRG.18902.1:1098-1940|+   -            281 27737at50557         -            506   5.8e-06   24.2   1.1   1   3   0.00041     0.033   11.8   0.2    37    95    46   109    29   110 0.68 -
78072at50557_7070_0:002a52|STRG.18902.1:1098-1940|+   -            281 27737at50557         -            506   5.8e-06   24.2   1.1   2   3    0.0097      0.78    7.3   0.0   185   217    86   118    81   122 0.87 -
78072at50557_7070_0:002a52|STRG.18902.1:1098-1940|+   -            281 27737at50557         -            506   5.8e-06   24.2   1.1   3   3     0.012      0.98    7.0   0.1    45    99   137   199   122   217 0.61 -
78072at50557_7070_0:002a52|STRG.18902.2:1048-1890|+   -            281 27737at50557         -            506   5.8e-06   24.2   1.1   1   3   0.00041     0.033   11.8   0.2    37    95    46   109    29   110 0.68 -
78072at50557_7070_0:002a52|STRG.18902.2:1048-1890|+   -            281 27737at50557         -            506   5.8e-06   24.2   1.1   2   3    0.0097      0.78    7.3   0.0   185   217    86   118    81   122 0.87 -
78072at50557_7070_0:002a52|STRG.18902.2:1048-1890|+   -            281 27737at50557         -            506   5.8e-06   24.2   1.1   3   3     0.012      0.98    7.0   0.1    45    99   137   199   122   217 0.61 -
31374at50557_197043_0:003de5|STRG.18368.2:82-588|+    -            169 27737at50557         -            506   1.1e-05   23.3   0.3   1   2    0.0064      0.52    7.9   0.0   177   207    49    83    40    95 0.74 -
31374at50557_197043_0:003de5|STRG.18368.2:82-588|+    -            169 27737at50557         -            506   1.1e-05   23.3   0.3   2   2   0.00016     0.013   13.2   0.1    31    96    97   169    84   169 0.77 -
40115at50557_103372_0:0021d6|STRG.11081.1:216-1661|+  -            482 27737at50557         -            506   2.5e-05   22.1   0.1   1   4     0.016       1.3    6.6   0.0   183   211   124   152   101   157 0.85 -
40115at50557_103372_0:0021d6|STRG.11081.1:216-1661|+  -            482 27737at50557         -            506   2.5e-05   22.1   0.1   2   4      0.15        12    3.3   0.0    31    64   252   285   226   304 0.86 -
40115at50557_103372_0:0021d6|STRG.11081.1:216-1661|+  -            482 27737at50557         -            506   2.5e-05   22.1   0.1   3   4     0.012      0.95    7.0   0.0    37    95   374   439   363   449 0.57 -
40115at50557_103372_0:0021d6|STRG.11081.1:216-1661|+  -            482 27737at50557         -            506   2.5e-05   22.1   0.1   4   4         3   2.4e+02   -0.9   0.0   170   207   443   480   436   481 0.89 -
80377at50557_37344_0:0017d3|STRG.8067.1:893-1852|+    -            320 27737at50557         -            506   3.3e-05   21.7   0.3   1   3     0.087         7    4.1   0.1    38    61    22    45    10    62 0.83 -
80377at50557_37344_0:0017d3|STRG.8067.1:893-1852|+    -            320 27737at50557         -            506   3.3e-05   21.7   0.3   2   3      0.56        45    1.5   0.0   186   210    75    99    69   124 0.88 -
80377at50557_37344_0:0017d3|STRG.8067.1:893-1852|+    -            320 27737at50557         -            506   3.3e-05   21.7   0.3   3   3   0.00034     0.028   12.1   0.0    18   100   157   248   139   269 0.72 -
80377at50557_37344_0:0017d3|STRG.8067.2:893-1852|+    -            320 27737at50557         -            506   3.3e-05   21.7   0.3   1   3     0.087         7    4.1   0.1    38    61    22    45    10    62 0.83 -
80377at50557_37344_0:0017d3|STRG.8067.2:893-1852|+    -            320 27737at50557         -            506   3.3e-05   21.7   0.3   2   3      0.56        45    1.5   0.0   186   210    75    99    69   124 0.88 -
80377at50557_37344_0:0017d3|STRG.8067.2:893-1852|+    -            320 27737at50557         -            506   3.3e-05   21.7   0.3   3   3   0.00034     0.028   12.1   0.0    18   100   157   248   139   269 0.72 -
80377at50557_37344_0:0017d3|STRG.8067.3:893-1852|+    -            320 27737at50557         -            506   3.3e-05   21.7   0.3   1   3     0.087         7    4.1   0.1    38    61    22    45    10    62 0.83 -
80377at50557_37344_0:0017d3|STRG.8067.3:893-1852|+    -            320 27737at50557         -            506   3.3e-05   21.7   0.3   2   3      0.56        45    1.5   0.0   186   210    75    99    69   124 0.88 -
80377at50557_37344_0:0017d3|STRG.8067.3:893-1852|+    -            320 27737at50557         -            506   3.3e-05   21.7   0.3   3   3   0.00034     0.028   12.1   0.0    18   100   157   248   139   269 0.72 -
80377at50557_37344_0:0017d3|STRG.8067.4:893-1852|+    -            320 27737at50557         -            506   3.3e-05   21.7   0.3   1   3     0.087         7    4.1   0.1    38    61    22    45    10    62 0.83 -
80377at50557_37344_0:0017d3|STRG.8067.4:893-1852|+    -            320 27737at50557         -            506   3.3e-05   21.7   0.3   2   3      0.56        45    1.5   0.0   186   210    75    99    69   124 0.88 -
80377at50557_37344_0:0017d3|STRG.8067.4:893-1852|+    -            320 27737at50557         -            506   3.3e-05   21.7   0.3   3   3   0.00034     0.028   12.1   0.0    18   100   157   248   139   269 0.72 -
80377at50557_37344_0:0017d3|STRG.8067.5:893-1852|+    -            320 27737at50557         -            506   3.3e-05   21.7   0.3   1   3     0.087         7    4.1   0.1    38    61    22    45    10    62 0.83 -
80377at50557_37344_0:0017d3|STRG.8067.5:893-1852|+    -            320 27737at50557         -            506   3.3e-05   21.7   0.3   2   3      0.56        45    1.5   0.0   186   210    75    99    69   124 0.88 -
80377at50557_37344_0:0017d3|STRG.8067.5:893-1852|+    -            320 27737at50557         -            506   3.3e-05   21.7   0.3   3   3   0.00034     0.028   12.1   0.0    18   100   157   248   139   269 0.72 -
80377at50557_37344_0:0017d3|STRG.8067.6:893-1852|+    -            320 27737at50557         -            506   3.3e-05   21.7   0.3   1   3     0.087         7    4.1   0.1    38    61    22    45    10    62 0.83 -
80377at50557_37344_0:0017d3|STRG.8067.6:893-1852|+    -            320 27737at50557         -            506   3.3e-05   21.7   0.3   2   3      0.56        45    1.5   0.0   186   210    75    99    69   124 0.88 -
80377at50557_37344_0:0017d3|STRG.8067.6:893-1852|+    -            320 27737at50557         -            506   3.3e-05   21.7   0.3   3   3   0.00034     0.028   12.1   0.0    18   100   157   248   139   269 0.72 -
40115at50557_77166_0:00051d|STRG.18366.1:283-705|+    -            141 27737at50557         -            506   3.4e-05   21.7   0.1   1   3    0.0098      0.78    7.3   0.0   177   207    24    57    15    64 0.81 -
40115at50557_77166_0:00051d|STRG.18366.1:283-705|+    -            141 27737at50557         -            506   3.4e-05   21.7   0.1   2   3    0.0048      0.38    8.3   0.0   176   216    65   108    58   114 0.72 -
40115at50557_77166_0:00051d|STRG.18366.1:283-705|+    -            141 27737at50557         -            506   3.4e-05   21.7   0.1   3   3      0.25        20    2.6   0.0   185   206   119   140   114   141 0.89 -
40115at50557_77166_0:00051d|STRG.18366.2:283-705|+    -            141 27737at50557         -            506   3.4e-05   21.7   0.1   1   3    0.0098      0.78    7.3   0.0   177   207    24    57    15    64 0.81 -
40115at50557_77166_0:00051d|STRG.18366.2:283-705|+    -            141 27737at50557         -            506   3.4e-05   21.7   0.1   2   3    0.0048      0.38    8.3   0.0   176   216    65   108    58   114 0.72 -
40115at50557_77166_0:00051d|STRG.18366.2:283-705|+    -            141 27737at50557         -            506   3.4e-05   21.7   0.1   3   3      0.25        20    2.6   0.0   185   206   119   140   114   141 0.89 -
40115at50557_29053_0:0017ce|STRG.9291.1:268-1140|+    -            291 27737at50557         -            506   4.5e-05   21.3   0.1   1   4     0.028       2.2    5.8   0.0    43   102    17    82     4    91 0.76 -
40115at50557_29053_0:0017ce|STRG.9291.1:268-1140|+    -            291 27737at50557         -            506   4.5e-05   21.3   0.1   2   4      0.12       9.3    3.7   0.0   173   213   129   169   104   178 0.64 -
40115at50557_29053_0:0017ce|STRG.9291.1:268-1140|+    -            291 27737at50557         -            506   4.5e-05   21.3   0.1   3   4      0.38        30    2.0   0.0   184   214   182   212   167   218 0.85 -
40115at50557_29053_0:0017ce|STRG.9291.1:268-1140|+    -            291 27737at50557         -            506   4.5e-05   21.3   0.1   4   4     0.069       5.5    4.5   0.0   182   206   266   290   241   291 0.91 -
40115at50557_7370_0:002473|STRG.10477.1:345-1214|+    -            290 27737at50557         -            506   5.9e-05   20.9   0.5   1   5     0.051       4.1    4.9   0.0   180   217     5    42     1    50 0.90 -
40115at50557_7370_0:002473|STRG.10477.1:345-1214|+    -            290 27737at50557         -            506   5.9e-05   20.9   0.5   2   5     0.029       2.3    5.7   0.0    41    97    57   119    44   132 0.70 -
40115at50557_7370_0:002473|STRG.10477.1:345-1214|+    -            290 27737at50557         -            506   5.9e-05   20.9   0.5   3   5       1.8   1.5e+02   -0.2   0.0    36   213   135   164   125   175 0.58 -
40115at50557_7370_0:002473|STRG.10477.1:345-1214|+    -            290 27737at50557         -            506   5.9e-05   20.9   0.5   4   5       0.5        40    1.6   0.0   186   218   180   212   177   220 0.87 -
40115at50557_7370_0:002473|STRG.10477.1:345-1214|+    -            290 27737at50557         -            506   5.9e-05   20.9   0.5   5   5      0.47        38    1.7   0.1    39    79   227   266   219   290 0.65 -
71739at50557_103372_0:00145d|STRG.14274.1:98-1075|+   -            326 27737at50557         -            506     7e-05   20.6   0.0   1   3       8.3   6.7e+02   -2.4   0.0   187   214    59    86    52    94 0.81 -
71739at50557_103372_0:00145d|STRG.14274.1:98-1075|+   -            326 27737at50557         -            506     7e-05   20.6   0.0   2   3   4.4e-06   0.00035   18.3   0.0    44   108   160   230   148   248 0.79 -
71739at50557_103372_0:00145d|STRG.14274.1:98-1075|+   -            326 27737at50557         -            506     7e-05   20.6   0.0   3   3         6   4.9e+02   -1.9   0.0   184   210   290   316   264   319 0.79 -
33043at50557_136037_0:0027b0|STRG.15064.1:317-2083|+  -            589 27737at50557         -            506   0.00013   19.8   0.1   1   2   0.00013     0.011   13.4   0.1    31    98   433   509   426   525 0.76 -
33043at50557_136037_0:0027b0|STRG.15064.1:317-2083|+  -            589 27737at50557         -            506   0.00013   19.8   0.1   2   2      0.13        11    3.6   0.0   187   220   526   559   519   569 0.90 -
33043at50557_454923_0:001231|STRG.9785.1:3528-4898|+  -            457 27737at50557         -            506   0.00036   18.3   1.7   1   6       1.6   1.3e+02   -0.0   0.0    31    59     1    30     1    37 0.84 -
33043at50557_454923_0:001231|STRG.9785.1:3528-4898|+  -            457 27737at50557         -            506   0.00036   18.3   1.7   2   6      0.25        20    2.6   0.0   185   218    90   123    84   139 0.90 -
33043at50557_454923_0:001231|STRG.9785.1:3528-4898|+  -            457 27737at50557         -            506   0.00036   18.3   1.7   3   6       6.7   5.4e+02   -2.1   0.0    34    58   130   154   127   159 0.79 -
33043at50557_454923_0:001231|STRG.9785.1:3528-4898|+  -            457 27737at50557         -            506   0.00036   18.3   1.7   4   6       1.9   1.5e+02   -0.3   0.0   182   215   222   255   208   267 0.80 -
33043at50557_454923_0:001231|STRG.9785.1:3528-4898|+  -            457 27737at50557         -            506   0.00036   18.3   1.7   5   6       5.4   4.3e+02   -1.8   0.0   183   215   264   296   250   299 0.61 -
33043at50557_454923_0:001231|STRG.9785.1:3528-4898|+  -            457 27737at50557         -            506   0.00036   18.3   1.7   6   6    0.0044      0.35    8.4   0.1    30    96   340   414   324   434 0.62 -
43553at50557_103372_0:0013d1|STRG.14268.4:926-2392|+  -            489 27737at50557         -            506   0.00039   18.2   0.0   1   2      0.83        66    0.9   0.0    24    63   169   211   149   274 0.63 -
43553at50557_103372_0:0013d1|STRG.14268.4:926-2392|+  -            489 27737at50557         -            506   0.00039   18.2   0.0   2   2   5.2e-05    0.0041   14.8   0.0    31   100   344   420   315   464 0.80 -
43553at50557_103372_0:0013d1|STRG.14268.1:371-1903|+  -            511 27737at50557         -            506   0.00044   18.0   0.0   1   2      0.91        73    0.8   0.0    24    63   169   211   150   274 0.63 -
