#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
138527at50557_103372_0:00284e|STRG.20055.1:80-496|+  -            139 138527at50557        -             95   2.1e-44  148.7   0.3   1   1   8.3e-47   3.2e-44  148.1   0.3     1    95    35   136    35   136 0.96 -
4137at50557_7375_0:001239|STRG.18407.1:2-2296|+      -            765 138527at50557        -             95   2.6e-07   29.7   1.4   1   4    0.0068       2.6    7.3   0.0    39    92   233   287   195   290 0.78 -
4137at50557_7375_0:001239|STRG.18407.1:2-2296|+      -            765 138527at50557        -             95   2.6e-07   29.7   1.4   2   4      0.17        67    2.8   0.0    55    73   357   375   347   395 0.86 -
4137at50557_7375_0:001239|STRG.18407.1:2-2296|+      -            765 138527at50557        -             95   2.6e-07   29.7   1.4   3   4    0.0012      0.47    9.7   0.0    48    92   456   499   441   502 0.84 -
4137at50557_7375_0:001239|STRG.18407.1:2-2296|+      -            765 138527at50557        -             95   2.6e-07   29.7   1.4   4   4     0.059        23    4.3   0.0    17    93   527   608   512   610 0.65 -
4137at50557_7375_0:001239|STRG.18407.3:2-3561|+      -            781 138527at50557        -             95   3.1e-07   29.5   1.7   1   4    0.0069       2.7    7.3   0.0    39    92   233   287   195   290 0.78 -
4137at50557_7375_0:001239|STRG.18407.3:2-3561|+      -            781 138527at50557        -             95   3.1e-07   29.5   1.7   2   4      0.19        73    2.7   0.0    55    73   373   391   367   411 0.86 -
4137at50557_7375_0:001239|STRG.18407.3:2-3561|+      -            781 138527at50557        -             95   3.1e-07   29.5   1.7   3   4    0.0013      0.48    9.7   0.0    48    92   472   515   457   518 0.84 -
4137at50557_7375_0:001239|STRG.18407.3:2-3561|+      -            781 138527at50557        -             95   3.1e-07   29.5   1.7   4   4     0.061        23    4.3   0.0    17    93   543   624   528   626 0.65 -
4137at50557_103372_0:001fba|STRG.18407.2:2-2404|+    -            801 138527at50557        -             95   3.6e-07   29.3   1.7   1   4    0.0072       2.8    7.2   0.0    39    92   233   287   195   290 0.78 -
4137at50557_103372_0:001fba|STRG.18407.2:2-2404|+    -            801 138527at50557        -             95   3.6e-07   29.3   1.7   2   4      0.19        75    2.6   0.0    55    73   393   411   387   431 0.86 -
4137at50557_103372_0:001fba|STRG.18407.2:2-2404|+    -            801 138527at50557        -             95   3.6e-07   29.3   1.7   3   4    0.0013       0.5    9.6   0.0    48    92   492   535   477   538 0.84 -
4137at50557_103372_0:001fba|STRG.18407.2:2-2404|+    -            801 138527at50557        -             95   3.6e-07   29.3   1.7   4   4     0.063        24    4.2   0.0    17    93   563   644   548   646 0.65 -
4137at50557_378494_0:00213c|STRG.18408.4:947-1699|+  -            251 138527at50557        -             95     9e-05   21.6   1.0   1   2   2.8e-05     0.011   14.9   0.1    33    94    60   119    21   120 0.83 -
4137at50557_378494_0:00213c|STRG.18408.4:947-1699|+  -            251 138527at50557        -             95     9e-05   21.6   1.0   2   2     0.036        14    5.0   0.1    38    72   169   202   138   222 0.84 -
138527at50557_7029_0:001a95|STRG.17129.1:175-474|+   -            100 138527at50557        -             95    0.0001   21.4   0.0   1   1   3.3e-07   0.00013   21.1   0.0     4    72     2    77     1    95 0.76 -
138527at50557_217634_0:002b14|STRG.15339.1:190-429|+ -             80 138527at50557        -             95   0.00084   18.5   0.1   1   1   2.3e-06   0.00087   18.4   0.1    32    80    28    77     3    80 0.83 -
60961at50557_7536_0:0031ae|STRG.3942.1:581-934|+     -            118 138527at50557        -             95   0.00087   18.4   0.0   1   1     3e-06    0.0012   18.0   0.0     6    93    13   108     9   110 0.83 -
138527at50557_108931_0:000614|STRG.5131.1:835-1176|+ -            114 138527at50557        -             95    0.0037   16.4   0.0   1   1   1.1e-05    0.0044   16.2   0.0    26    93    43   114    16   114 0.81 -
4137at50557_13686_0:001c08|STRG.18408.1:1-2628|+     -            876 138527at50557        -             95    0.0049   16.0  16.6   1   7      0.98   3.8e+02    0.4   0.0    44    74    50    79     8    99 0.79 -
4137at50557_13686_0:001c08|STRG.18408.1:1-2628|+     -            876 138527at50557        -             95    0.0049   16.0  16.6   2   7      0.33   1.3e+02    1.9   0.0    36    72   162   197   156   215 0.84 -
4137at50557_13686_0:001c08|STRG.18408.1:1-2628|+     -            876 138527at50557        -             95    0.0049   16.0  16.6   3   7       4.3   1.6e+03   -1.7   0.2    47    73   282   307   267   327 0.72 -
4137at50557_13686_0:001c08|STRG.18408.1:1-2628|+     -            876 138527at50557        -             95    0.0049   16.0  16.6   4   7   0.00025     0.096   11.9   0.3    34    94   375   433   338   434 0.85 -
4137at50557_13686_0:001c08|STRG.18408.1:1-2628|+     -            876 138527at50557        -             95    0.0049   16.0  16.6   5   7      0.21        82    2.5   0.1    38    72   483   516   450   536 0.85 -
4137at50557_13686_0:001c08|STRG.18408.1:1-2628|+     -            876 138527at50557        -             95    0.0049   16.0  16.6   6   7      0.34   1.3e+02    1.8   0.1    48    73   598   622   555   643 0.83 -
4137at50557_13686_0:001c08|STRG.18408.1:1-2628|+     -            876 138527at50557        -             95    0.0049   16.0  16.6   7   7      0.32   1.2e+02    1.9   0.0    55    94   711   750   705   751 0.89 -
65618at50557_29031_0:0021aa|STRG.15322.1:215-574|+   -            120 138527at50557        -             95    0.0059   15.8   0.0   1   1   1.8e-05    0.0069   15.6   0.0    26    78    33    86     9   102 0.82 -
65618at50557_29031_0:0021aa|STRG.15322.2:215-574|+   -            120 138527at50557        -             95    0.0059   15.8   0.0   1   1   1.8e-05    0.0069   15.6   0.0    26    78    33    86     9   102 0.82 -
92898at50557_103372_0:00055a|STRG.3345.1:377-1180|+  -            268 138527at50557        -             95    0.0076   15.4   0.0   1   1   3.1e-05     0.012   14.8   0.0    40    91   174   231   132   235 0.77 -
4137at50557_326594_0:001d34|STRG.18408.2:1-2592|+    -            864 138527at50557        -             95    0.0082   15.3  17.8   1   7      0.97   3.7e+02    0.4   0.0    44    74    50    79     8    99 0.79 -
4137at50557_326594_0:001d34|STRG.18408.2:1-2592|+    -            864 138527at50557        -             95    0.0082   15.3  17.8   2   7      0.22        85    2.5   0.1    36    72   150   185   110   203 0.82 -
4137at50557_326594_0:001d34|STRG.18408.2:1-2592|+    -            864 138527at50557        -             95    0.0082   15.3  17.8   3   7       4.2   1.6e+03   -1.6   0.2    47    73   270   295   255   315 0.72 -
4137at50557_326594_0:001d34|STRG.18408.2:1-2592|+    -            864 138527at50557        -             95    0.0082   15.3  17.8   4   7   0.00024     0.094   11.9   0.3    34    94   363   421   326   422 0.85 -
4137at50557_326594_0:001d34|STRG.18408.2:1-2592|+    -            864 138527at50557        -             95    0.0082   15.3  17.8   5   7      0.21        81    2.5   0.1    38    72   471   504   438   524 0.85 -
4137at50557_326594_0:001d34|STRG.18408.2:1-2592|+    -            864 138527at50557        -             95    0.0082   15.3  17.8   6   7      0.34   1.3e+02    1.9   0.1    48    73   586   610   543   631 0.83 -
4137at50557_326594_0:001d34|STRG.18408.2:1-2592|+    -            864 138527at50557        -             95    0.0082   15.3  17.8   7   7      0.31   1.2e+02    2.0   0.0    55    94   699   738   693   739 0.89 -
4137at50557_7165_0:000696|STRG.18408.3:4-2696|+      -            867 138527at50557        -             95    0.0086   15.3  17.6   1   7      0.97   3.7e+02    0.4   0.0    44    74    49    78     7    98 0.79 -
4137at50557_7165_0:000696|STRG.18408.3:4-2696|+      -            867 138527at50557        -             95    0.0086   15.3  17.6   2   7      0.33   1.3e+02    1.9   0.0    36    72   155   190   149   208 0.84 -
4137at50557_7165_0:000696|STRG.18408.3:4-2696|+      -            867 138527at50557        -             95    0.0086   15.3  17.6   3   7       3.9   1.5e+03   -1.5   0.2    47    73   275   300   259   319 0.70 -
4137at50557_7165_0:000696|STRG.18408.3:4-2696|+      -            867 138527at50557        -             95    0.0086   15.3  17.6   4   7   0.00024     0.093   11.9   0.3    33    94   366   425   329   426 0.84 -
4137at50557_7165_0:000696|STRG.18408.3:4-2696|+      -            867 138527at50557        -             95    0.0086   15.3  17.6   5   7      0.21        81    2.5   0.1    38    72   475   508   442   528 0.85 -
4137at50557_7165_0:000696|STRG.18408.3:4-2696|+      -            867 138527at50557        -             95    0.0086   15.3  17.6   6   7      0.37   1.4e+02    1.7   0.2    48    73   589   613   561   634 0.81 -
4137at50557_7165_0:000696|STRG.18408.3:4-2696|+      -            867 138527at50557        -             95    0.0086   15.3  17.6   7   7      0.32   1.2e+02    2.0   0.0    55    94   702   741   696   742 0.89 -
4137at50557_7165_0:000696|STRG.18408.4:4-2691|+      -            873 138527at50557        -             95    0.0091   15.2  17.6   1   7      0.98   3.8e+02    0.4   0.0    44    74    49    78     7    98 0.79 -
4137at50557_7165_0:000696|STRG.18408.4:4-2691|+      -            873 138527at50557        -             95    0.0091   15.2  17.6   2   7      0.33   1.3e+02    1.9   0.0    36    72   161   196   155   214 0.84 -
4137at50557_7165_0:000696|STRG.18408.4:4-2691|+      -            873 138527at50557        -             95    0.0091   15.2  17.6   3   7       3.9   1.5e+03   -1.5   0.2    47    73   281   306   265   325 0.70 -
4137at50557_7165_0:000696|STRG.18408.4:4-2691|+      -            873 138527at50557        -             95    0.0091   15.2  17.6   4   7   0.00024     0.094   11.9   0.3    33    94   372   431   335   432 0.84 -
4137at50557_7165_0:000696|STRG.18408.4:4-2691|+      -            873 138527at50557        -             95    0.0091   15.2  17.6   5   7      0.21        82    2.5   0.1    38    72   481   514   448   534 0.85 -
4137at50557_7165_0:000696|STRG.18408.4:4-2691|+      -            873 138527at50557        -             95    0.0091   15.2  17.6   6   7      0.37   1.4e+02    1.7   0.2    48    73   595   619   567   640 0.81 -
4137at50557_7165_0:000696|STRG.18408.4:4-2691|+      -            873 138527at50557        -             95    0.0091   15.2  17.6   7   7      0.32   1.2e+02    1.9   0.0    55    94   708   747   702   748 0.89 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/138527at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/138527at50557.out --cpu 1 /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/138527at50557.hmm annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /home/justine/projet_tutore
# Date:            Sun Dec  1 20:03:13 2024
# [ok]
