#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
87181at50557_456900_0:001ac2|STRG.10894.1:200-2053|+ -            618 87181at50557         -            228  7.3e-129  426.9   3.3   1   1  2.9e-129  1.7e-126  419.1   3.3     1   228   147   411   147   411 0.93 -
76908at50557_51655_0:002d7a|STRG.16950.4:640-1281|+  -            214 87181at50557         -            228     3e-13   48.6   0.5   2   2       1.9   1.1e+03   -2.3   0.0   144   159   155   170   138   184 0.81 -
76908at50557_51655_0:002d7a|STRG.16950.5:640-1281|+  -            214 87181at50557         -            228     3e-13   48.6   0.5   1   2   8.8e-16   5.1e-13   47.9   0.1    40   101    43   104    25   116 0.92 -
76908at50557_51655_0:002d7a|STRG.16950.5:640-1281|+  -            214 87181at50557         -            228     3e-13   48.6   0.5   2   2       1.9   1.1e+03   -2.3   0.0   144   159   155   170   138   184 0.81 -
6416at50557_113334_0:00380e|STRG.5400.1:342-1445|+   -            368 87181at50557         -            228   8.8e-05   21.0   8.8   1   4         2   1.2e+03   -2.3   0.1    73    91     2    20     1    23 0.88 -
6416at50557_113334_0:00380e|STRG.5400.1:342-1445|+   -            368 87181at50557         -            228   8.8e-05   21.0   8.8   2   4   6.1e-05     0.035   12.4   0.3    69   101    92   124    85   141 0.80 -
6416at50557_113334_0:00380e|STRG.5400.1:342-1445|+   -            368 87181at50557         -            228   8.8e-05   21.0   8.8   3   4    0.0061       3.5    5.9   0.1    67    92   194   219   188   232 0.88 -
6416at50557_113334_0:00380e|STRG.5400.1:342-1445|+   -            368 87181at50557         -            228   8.8e-05   21.0   8.8   4   4    0.0046       2.6    6.3   0.0    68    90   317   339   306   360 0.90 -
6416at50557_113334_0:00380e|STRG.5400.2:342-1445|+   -            368 87181at50557         -            228   8.8e-05   21.0   8.8   1   4         2   1.2e+03   -2.3   0.1    73    91     2    20     1    23 0.88 -
6416at50557_113334_0:00380e|STRG.5400.2:342-1445|+   -            368 87181at50557         -            228   8.8e-05   21.0   8.8   2   4   6.1e-05     0.035   12.4   0.3    69   101    92   124    85   141 0.80 -
6416at50557_113334_0:00380e|STRG.5400.2:342-1445|+   -            368 87181at50557         -            228   8.8e-05   21.0   8.8   3   4    0.0061       3.5    5.9   0.1    67    92   194   219   188   232 0.88 -
6416at50557_113334_0:00380e|STRG.5400.2:342-1445|+   -            368 87181at50557         -            228   8.8e-05   21.0   8.8   4   4    0.0046       2.6    6.3   0.0    68    90   317   339   306   360 0.90 -
6416at50557_113334_0:00380e|STRG.5400.3:276-1379|+   -            368 87181at50557         -            228   8.8e-05   21.0   8.8   1   4         2   1.2e+03   -2.3   0.1    73    91     2    20     1    23 0.88 -
6416at50557_113334_0:00380e|STRG.5400.3:276-1379|+   -            368 87181at50557         -            228   8.8e-05   21.0   8.8   2   4   6.1e-05     0.035   12.4   0.3    69   101    92   124    85   141 0.80 -
6416at50557_113334_0:00380e|STRG.5400.3:276-1379|+   -            368 87181at50557         -            228   8.8e-05   21.0   8.8   3   4    0.0061       3.5    5.9   0.1    67    92   194   219   188   232 0.88 -
6416at50557_113334_0:00380e|STRG.5400.3:276-1379|+   -            368 87181at50557         -            228   8.8e-05   21.0   8.8   4   4    0.0046       2.6    6.3   0.0    68    90   317   339   306   360 0.90 -
6416at50557_113334_0:00380e|STRG.5400.4:342-1445|+   -            368 87181at50557         -            228   8.8e-05   21.0   8.8   1   4         2   1.2e+03   -2.3   0.1    73    91     2    20     1    23 0.88 -
6416at50557_113334_0:00380e|STRG.5400.4:342-1445|+   -            368 87181at50557         -            228   8.8e-05   21.0   8.8   2   4   6.1e-05     0.035   12.4   0.3    69   101    92   124    85   141 0.80 -
6416at50557_113334_0:00380e|STRG.5400.4:342-1445|+   -            368 87181at50557         -            228   8.8e-05   21.0   8.8   3   4    0.0061       3.5    5.9   0.1    67    92   194   219   188   232 0.88 -
6416at50557_113334_0:00380e|STRG.5400.4:342-1445|+   -            368 87181at50557         -            228   8.8e-05   21.0   8.8   4   4    0.0046       2.6    6.3   0.0    68    90   317   339   306   360 0.90 -
6416at50557_113334_0:00380e|STRG.5400.5:552-1655|+   -            368 87181at50557         -            228   8.8e-05   21.0   8.8   1   4         2   1.2e+03   -2.3   0.1    73    91     2    20     1    23 0.88 -
6416at50557_113334_0:00380e|STRG.5400.5:552-1655|+   -            368 87181at50557         -            228   8.8e-05   21.0   8.8   2   4   6.1e-05     0.035   12.4   0.3    69   101    92   124    85   141 0.80 -
6416at50557_113334_0:00380e|STRG.5400.5:552-1655|+   -            368 87181at50557         -            228   8.8e-05   21.0   8.8   3   4    0.0061       3.5    5.9   0.1    67    92   194   219   188   232 0.88 -
6416at50557_113334_0:00380e|STRG.5400.5:552-1655|+   -            368 87181at50557         -            228   8.8e-05   21.0   8.8   4   4    0.0046       2.6    6.3   0.0    68    90   317   339   306   360 0.90 -
6416at50557_113334_0:00380e|STRG.5400.6:635-1738|+   -            368 87181at50557         -            228   8.8e-05   21.0   8.8   1   4         2   1.2e+03   -2.3   0.1    73    91     2    20     1    23 0.88 -
6416at50557_113334_0:00380e|STRG.5400.6:635-1738|+   -            368 87181at50557         -            228   8.8e-05   21.0   8.8   2   4   6.1e-05     0.035   12.4   0.3    69   101    92   124    85   141 0.80 -
6416at50557_113334_0:00380e|STRG.5400.6:635-1738|+   -            368 87181at50557         -            228   8.8e-05   21.0   8.8   3   4    0.0061       3.5    5.9   0.1    67    92   194   219   188   232 0.88 -
6416at50557_113334_0:00380e|STRG.5400.6:635-1738|+   -            368 87181at50557         -            228   8.8e-05   21.0   8.8   4   4    0.0046       2.6    6.3   0.0    68    90   317   339   306   360 0.90 -
6416at50557_123851_0:000464|STRG.16385.2:1518-2633|+ -            372 87181at50557         -            228       0.1   10.9   6.5   1   4     0.057        33    2.7   0.0    67    98     6    37     3    43 0.86 -
6416at50557_123851_0:000464|STRG.16385.2:1518-2633|+ -            372 87181at50557         -            228       0.1   10.9   6.5   2   4    0.0011      0.64    8.3   0.4    65    93    84   112    73   120 0.90 -
6416at50557_123851_0:000464|STRG.16385.2:1518-2633|+ -            372 87181at50557         -            228       0.1   10.9   6.5   3   4      0.47   2.7e+02   -0.3   0.0    66    93   223   250   217   252 0.87 -
6416at50557_123851_0:000464|STRG.16385.2:1518-2633|+ -            372 87181at50557         -            228       0.1   10.9   6.5   4   4      0.69     4e+02   -0.8   0.0    68    91   311   334   299   339 0.87 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/87181at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/87181at50557.out --cpu 1 /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/87181at50557.hmm annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /home/justine/projet_tutore
# Date:            Sun Dec  1 20:10:18 2024
# [ok]
