#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
89456at50557_103372_0:00196d|STRG.10482.1:309-1316|+  -            336 89456at50557         -            230   1.1e-72  243.0   3.8   1   1   1.3e-73   2.8e-71  238.3   3.8     1   225    49   325    49   333 0.84 -
117348at50557_121845_0:0023e7|STRG.2948.2:106-698|+   -            170 89456at50557         -            230    0.0011   17.2   0.0   1   2      0.11        25    3.0   0.0     5    20    20    35    17    60 0.85 -
117348at50557_121845_0:0023e7|STRG.2948.2:106-698|+   -            170 89456at50557         -            230    0.0011   17.2   0.0   2   2   0.00018     0.038   12.2   0.0   128   157   134   163   111   166 0.93 -
117348at50557_103372_0:000852|STRG.2948.1:0-614|+     -            205 89456at50557         -            230    0.0017   16.6   0.0   1   2      0.11        23    3.0   0.0     5    20    20    35    17   104 0.88 -
117348at50557_103372_0:000852|STRG.2948.1:0-614|+     -            205 89456at50557         -            230    0.0017   16.6   0.0   2   2   0.00023     0.049   11.8   0.0   128   157   165   194   141   198 0.93 -
115559at50557_42026_0:0013f7|STRG.16028.1:1151-1642|+ -            164 89456at50557         -            230    0.0052   15.0   0.0   1   1   0.00031     0.066   11.4   0.0     3   113     9   127     7   132 0.69 -
115559at50557_42026_0:0013f7|STRG.16028.3:1217-1708|+ -            164 89456at50557         -            230    0.0052   15.0   0.0   1   1   0.00031     0.066   11.4   0.0     3   113     9   127     7   132 0.69 -
115559at50557_42026_0:0013f7|STRG.16028.4:1168-1659|+ -            164 89456at50557         -            230    0.0052   15.0   0.0   1   1   0.00031     0.066   11.4   0.0     3   113     9   127     7   132 0.69 -
118237at50557_113334_0:00122f|STRG.11767.1:46-588|+   -            181 89456at50557         -            230    0.0072   14.5   0.1   1   1   7.2e-05     0.016   13.4   0.1     3    23    18    38    16    52 0.88 -
22862at50557_139723_0:0002ee|STRG.9648.2:9-2633|+     -            875 89456at50557         -            230     0.008   14.4   1.5   1   2       8.6   1.8e+03   -3.2   0.1     4    26    18    40    16    50 0.81 -
22862at50557_139723_0:0002ee|STRG.9648.2:9-2633|+     -            875 89456at50557         -            230     0.008   14.4   1.5   2   2     5e-05     0.011   14.0   0.2    49   129    82   167    60   180 0.65 -
104262at50557_132113_0:00109a|STRG.4181.2:397-945|+   -            183 89456at50557         -            230    0.0088   14.2   0.2   1   1   0.00028      0.06   11.5   0.2     2   112    13   132    12   144 0.64 -
115559at50557_286306_0:000620|STRG.7741.1:398-1003|+  -            202 89456at50557         -            230    0.0091   14.2   0.6   1   1   0.00018     0.039   12.1   0.6     3   154    27   191    25   202 0.69 -
115559at50557_286306_0:000620|STRG.7741.2:261-866|+   -            202 89456at50557         -            230    0.0091   14.2   0.6   1   1   0.00018     0.039   12.1   0.6     3   154    27   191    25   202 0.69 -
115559at50557_286306_0:000620|STRG.7741.3:285-890|+   -            202 89456at50557         -            230    0.0091   14.2   0.6   1   1   0.00018     0.039   12.1   0.6     3   154    27   191    25   202 0.69 -
22862at50557_139723_0:0002ee|STRG.9648.3:9-2804|+     -            932 89456at50557         -            230    0.0092   14.2   1.5   1   2       9.2     2e+03   -3.3   0.1     4    26    18    40    16    50 0.81 -
22862at50557_139723_0:0002ee|STRG.9648.3:9-2804|+     -            932 89456at50557         -            230    0.0092   14.2   1.5   2   2   5.5e-05     0.012   13.8   0.2    49   129    82   167    60   180 0.65 -
22862at50557_139723_0:0002ee|STRG.9648.1:765-3560|+   -            932 89456at50557         -            230    0.0092   14.2   1.5   1   2       9.2     2e+03   -3.3   0.1     4    26    18    40    16    50 0.81 -
22862at50557_139723_0:0002ee|STRG.9648.1:765-3560|+   -            932 89456at50557         -            230    0.0092   14.2   1.5   2   2   5.5e-05     0.012   13.8   0.2    49   129    82   167    60   180 0.65 -
104262at50557_411798_0:001745|STRG.9356.1:171-815|+   -            215 89456at50557         -            230     0.018   13.2   0.1   1   2   0.00051      0.11   10.7   0.1     2    59     5    63     4   115 0.76 -
104262at50557_411798_0:001745|STRG.9356.1:171-815|+   -            215 89456at50557         -            230     0.018   13.2   0.1   2   2      0.56   1.2e+02    0.7   0.0   182   206    96   120    94   140 0.80 -
104262at50557_28612_0:0030d7|STRG.9356.2:135-857|+    -            219 89456at50557         -            230     0.019   13.1   0.1   1   2   0.00053      0.11   10.6   0.1     2    59     9    67     8   119 0.77 -
104262at50557_28612_0:0030d7|STRG.9356.2:135-857|+    -            219 89456at50557         -            230     0.019   13.1   0.1   2   2      0.49   1.1e+02    0.9   0.0   182   206   100   124    85   142 0.82 -
106023at50557_104688_0:002b29|STRG.18617.1:123-659|+  -            179 89456at50557         -            230     0.022   13.0   0.0   1   2   0.00018     0.039   12.1   0.0     2    88    16   100    15   116 0.73 -
106023at50557_104688_0:002b29|STRG.18617.1:123-659|+  -            179 89456at50557         -            230     0.022   13.0   0.0   2   2       5.8   1.3e+03   -2.6   0.0   175   198   154   177   141   179 0.70 -
99773at50557_520822_0:00002c|STRG.18097.2:147-1283|+  -            379 89456at50557         -            230     0.023   12.9   2.3   1   3      0.16        34    2.5   0.1     5    25    37    57    33    61 0.88 -
99773at50557_520822_0:00002c|STRG.18097.2:147-1283|+  -            379 89456at50557         -            230     0.023   12.9   2.3   2   3     0.011       2.5    6.2   0.4    96   112   194   210   106   219 0.71 -
99773at50557_520822_0:00002c|STRG.18097.2:147-1283|+  -            379 89456at50557         -            230     0.023   12.9   2.3   3   3      0.73   1.6e+02    0.3   0.0   130   152   256   278   240   287 0.83 -
108271at50557_28612_0:005172|STRG.16238.1:243-812|+   -            190 89456at50557         -            230     0.024   12.8   0.1   1   1   0.00049      0.11   10.7   0.1     3   122     4   133     2   138 0.72 -
107216at50557_51655_0:0016fc|STRG.4181.1:503-874|+    -            124 89456at50557         -            230     0.026   12.7   0.1   1   1   0.00033     0.071   11.3   0.1     2    59     8    66     7   124 0.76 -
108271at50557_7536_0:004142|STRG.6764.1:678-1217|+    -            180 89456at50557         -            230     0.027   12.6   0.0   1   2   0.00021     0.045   11.9   0.0     4    44     1    41     1    99 0.70 -
108271at50557_7536_0:004142|STRG.6764.1:678-1217|+    -            180 89456at50557         -            230     0.027   12.6   0.0   2   2       7.8   1.7e+03   -3.0   0.0    98   113   105   120   102   128 0.77 -
99773at50557_520822_0:00002c|STRG.18097.1:0-1181|+    -            394 89456at50557         -            230     0.037   12.2   2.8   1   3      0.16        35    2.5   0.1     5    25    37    57    33    61 0.88 -
99773at50557_520822_0:00002c|STRG.18097.1:0-1181|+    -            394 89456at50557         -            230     0.037   12.2   2.8   2   3     0.012       2.5    6.2   0.4    96   112   194   210   106   220 0.71 -
99773at50557_520822_0:00002c|STRG.18097.1:0-1181|+    -            394 89456at50557         -            230     0.037   12.2   2.8   3   3      0.79   1.7e+02    0.2   0.0   130   152   256   278   240   286 0.83 -
107216at50557_51655_0:0016fc|STRG.5672.1:594-1097|+   -            168 89456at50557         -            230     0.046   11.9   0.0   1   2   0.00052      0.11   10.6   0.0     2    31     8    37     7    75 0.80 -
107216at50557_51655_0:0016fc|STRG.5672.1:594-1097|+   -            168 89456at50557         -            230     0.046   11.9   0.0   2   2       3.5   7.4e+02   -1.9   0.0    98   115   118   135   114   140 0.80 -
107216at50557_51655_0:0016fc|STRG.5672.2:594-1097|+   -            168 89456at50557         -            230     0.046   11.9   0.0   1   2   0.00052      0.11   10.6   0.0     2    31     8    37     7    75 0.80 -
107216at50557_51655_0:0016fc|STRG.5672.2:594-1097|+   -            168 89456at50557         -            230     0.046   11.9   0.0   2   2       3.5   7.4e+02   -1.9   0.0    98   115   118   135   114   140 0.80 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/89456at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/89456at50557.out --cpu 1 /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/89456at50557.hmm annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /home/justine/projet_tutore
# Date:            Sun Dec  1 20:10:23 2024
# [ok]
