#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
117699at50557_104421_0:002a75|STRG.16257.2:549-1148|+  -            200 117699at50557        -            170   5.3e-91  302.2   0.1   1   1   6.1e-93   1.1e-90  301.1   0.1     1   169     1   197     1   198 0.94 -
117699at50557_7394_0:002ded|STRG.17400.1:864-1256|+    -            131 117699at50557        -            170   7.9e-22   77.1   0.0   1   1   4.7e-24   8.9e-22   76.9   0.0    29   125    15   112     6   128 0.90 -
117699at50557_7394_0:002ded|STRG.17400.2:1544-1936|+   -            131 117699at50557        -            170   7.9e-22   77.1   0.0   1   1   4.7e-24   8.9e-22   76.9   0.0    29   125    15   112     6   128 0.90 -
117699at50557_7394_0:002ded|STRG.17400.3:864-1256|+    -            131 117699at50557        -            170   7.9e-22   77.1   0.0   1   1   4.7e-24   8.9e-22   76.9   0.0    29   125    15   112     6   128 0.90 -
117699at50557_7394_0:002ded|STRG.17400.4:886-1278|+    -            131 117699at50557        -            170   7.9e-22   77.1   0.0   1   1   4.7e-24   8.9e-22   76.9   0.0    29   125    15   112     6   128 0.90 -
117699at50557_7394_0:002ded|STRG.17400.5:868-1260|+    -            131 117699at50557        -            170   7.9e-22   77.1   0.0   1   1   4.7e-24   8.9e-22   76.9   0.0    29   125    15   112     6   128 0.90 -
117699at50557_7394_0:002ded|STRG.17400.6:887-1279|+    -            131 117699at50557        -            170   7.9e-22   77.1   0.0   1   1   4.7e-24   8.9e-22   76.9   0.0    29   125    15   112     6   128 0.90 -
117699at50557_7394_0:002ded|STRG.17400.7:906-1298|+    -            131 117699at50557        -            170   7.9e-22   77.1   0.0   1   1   4.7e-24   8.9e-22   76.9   0.0    29   125    15   112     6   128 0.90 -
117699at50557_7394_0:002ded|STRG.17400.8:458-850|+     -            131 117699at50557        -            170   7.9e-22   77.1   0.0   1   1   4.7e-24   8.9e-22   76.9   0.0    29   125    15   112     6   128 0.90 -
116934at50557_286706_0:0006a3|STRG.2056.1:1122-1616|+  -            165 117699at50557        -            170   1.6e-21   76.0   0.0   1   1     1e-23   1.9e-21   75.8   0.0    24   110    52   137    29   153 0.91 -
120473at50557_1041015_0:0012df|STRG.20220.1:796-1278|+ -            161 117699at50557        -            170   1.7e-20   72.7   0.0   1   1   3.9e-22   7.4e-20   70.6   0.0    19   125    24   143    11   158 0.83 -
117699at50557_28612_0:004e72|STRG.20614.1:85-465|+     -            127 117699at50557        -            170   5.9e-20   71.0   0.0   1   1   3.5e-22   6.6e-20   70.8   0.0    23   124    26   126    10   127 0.87 -
120473at50557_1041015_0:0012df|STRG.2203.2:784-1257|+  -            158 117699at50557        -            170     3e-19   68.7   0.1   1   1   7.3e-21   1.4e-18   66.5   0.1    32   126    35   141    21   154 0.80 -
120473at50557_1041015_0:0012df|STRG.2203.1:198-686|+   -            163 117699at50557        -            170   3.4e-19   68.5   0.1   1   1   8.1e-21   1.5e-18   66.4   0.1    32   126    40   146    26   159 0.80 -
120473at50557_1041015_0:0012df|STRG.2203.3:249-737|+   -            163 117699at50557        -            170   3.4e-19   68.5   0.1   1   1   8.1e-21   1.5e-18   66.4   0.1    32   126    40   146    26   159 0.80 -
116934at50557_108931_0:001c95|STRG.13554.1:270-692|+   -            141 117699at50557        -            170     7e-19   67.5   0.0   1   1   4.7e-21   8.9e-19   67.1   0.0    35   123    36   123    29   139 0.89 -
120473at50557_1049336_0:000626|STRG.7951.2:305-745|+   -            147 117699at50557        -            170   3.3e-18   65.3   0.0   1   1   1.9e-20   3.6e-18   65.1   0.0    18   118    25   124     5   143 0.91 -
120473at50557_28612_0:003609|STRG.7951.1:266-685|+     -            140 117699at50557        -            170   3.5e-18   65.2   0.0   1   1     2e-20   3.8e-18   65.1   0.0    18   118    18   117     2   136 0.92 -
116934at50557_121225_0:000e6c|STRG.19654.3:168-503|+   -            112 117699at50557        -            170   1.9e-15   56.3   0.0   1   1   1.1e-17   2.1e-15   56.2   0.0    16   109    17   111     7   112 0.91 -
116934at50557_121225_0:000e6c|STRG.19654.1:694-1080|+  -            129 117699at50557        -            170   2.6e-15   55.8   0.0   1   1   1.6e-17     3e-15   55.7   0.0    16   109    34   128    16   129 0.91 -
120473at50557_43041_0:000212|STRG.4353.2:633-1019|+    -            129 117699at50557        -            170   3.2e-15   55.6   0.0   1   1     2e-17   3.8e-15   55.3   0.0    29   123    19   114    14   128 0.86 -
120473at50557_1049336_0:000626|STRG.4353.1:277-726|+   -            150 117699at50557        -            170   4.8e-15   55.0   0.0   1   1   3.3e-17   6.2e-15   54.6   0.0    29   123    40   135    35   149 0.86 -
116934at50557_121225_0:000e6c|STRG.19654.2:240-620|+   -            127 117699at50557        -            170   1.2e-14   53.6   0.0   1   1   7.4e-17   1.4e-14   53.5   0.0    16   107    34   126    16   127 0.90 -
120473at50557_1049336_0:000626|STRG.4210.1:255-740|+   -            162 117699at50557        -            170   5.2e-14   51.6   0.0   1   1   1.2e-15   2.2e-13   49.6   0.0    22   131    29   147     1   157 0.80 -
120473at50557_535359_0:000a36|STRG.4210.2:406-864|+    -            153 117699at50557        -            170     6e-14   51.4   0.0   1   1   1.5e-15   2.9e-13   49.2   0.0    24   132    19   136    10   148 0.82 -
128261at50557_103372_0:000077|STRG.8284.1:350-781|+    -            144 117699at50557        -            170   4.1e-13   48.7   0.0   1   1   3.8e-15   7.1e-13   47.9   0.0    26   112    43   131    32   137 0.87 -
117699at50557_7493_0:0020c6|STRG.5718.6:236-673|+      -            146 117699at50557        -            170   6.9e-13   47.9   0.0   1   1   4.1e-15   7.8e-13   47.8   0.0    41   121    37   123    29   146 0.80 -
117699at50557_7493_0:0020c6|STRG.5718.1:336-665|+      -            110 117699at50557        -            170   2.7e-12   46.0   0.0   1   1   1.6e-14     3e-12   45.9   0.0    40    95    36    90    26   110 0.77 -
117699at50557_7493_0:0020c6|STRG.5718.3:156-485|+      -            110 117699at50557        -            170   2.7e-12   46.0   0.0   1   1   1.6e-14     3e-12   45.9   0.0    40    95    36    90    26   110 0.77 -
117699at50557_7493_0:0020c6|STRG.5718.5:236-565|+      -            110 117699at50557        -            170   2.7e-12   46.0   0.0   1   1   1.6e-14   3.1e-12   45.8   0.0    40    95    36    90    27   110 0.77 -
117699at50557_7244_0:002000|STRG.17248.1:792-1160|+    -            123 117699at50557        -            170   8.4e-12   44.4   0.0   1   1   1.7e-13   3.2e-11   42.5   0.0    12   107    14   122     5   123 0.79 -
117699at50557_7244_0:002000|STRG.17248.2:793-1161|+    -            123 117699at50557        -            170   8.4e-12   44.4   0.0   1   1   1.7e-13   3.2e-11   42.5   0.0    12   107    14   122     5   123 0.79 -
117925at50557_37001_0:0022f0|STRG.18444.1:287-739|+    -            151 117699at50557        -            170     6e-08   31.9   0.0   1   1   4.2e-10   7.9e-08   31.5   0.0     6   109    18   126    13   133 0.79 -
120473at50557_28612_0:003609|STRG.17646.1:7963-8256|+  -             98 117699at50557        -            170   1.4e-07   30.7   0.0   1   1   8.7e-10   1.6e-07   30.5   0.0    34   113     2    93     1    98 0.78 -
120473at50557_56086_0:003e88|STRG.5718.4:591-740|+     -             50 117699at50557        -            170   9.4e-07   28.0   0.0   1   1     5e-09   9.4e-07   28.0   0.0    61    95     1    34     1    49 0.84 -
117925at50557_103372_0:00113b|STRG.19048.1:569-1267|+  -            233 117699at50557        -            170   2.1e-06   26.9   0.0   1   1   1.5e-08   2.8e-06   26.4   0.0    22   110    34   122     9   143 0.83 -
117925at50557_103372_0:00113b|STRG.19048.2:480-1178|+  -            233 117699at50557        -            170   2.1e-06   26.9   0.0   1   1   1.5e-08   2.8e-06   26.4   0.0    22   110    34   122     9   143 0.83 -
117925at50557_307491_0:0033e6|STRG.10588.1:494-943|+   -            150 117699at50557        -            170   2.3e-05   23.5   0.0   1   1   2.5e-07   4.7e-05   22.5   0.0    45   108    55   119     5   142 0.72 -
117925at50557_307491_0:0033e6|STRG.10588.2:549-998|+   -            150 117699at50557        -            170   2.3e-05   23.5   0.0   1   1   2.5e-07   4.7e-05   22.5   0.0    45   108    55   119     5   142 0.72 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/117699at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/117699at50557.out --cpu 1 /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/117699at50557.hmm annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /home/justine/projet_tutore
# Date:            Sun Dec  1 20:02:35 2024
# [ok]
