#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
8280at50557_166423_0:002d2f|STRG.10611.1:452-3613|+    -            868 8280at50557          -           1153         0 1201.9  46.0   1   1         0         0 1201.7  46.0     2   810     2   868     1   868 0.96 -
25718at50557_219809_0:00105d|STRG.14999.2:276-2954|+   -            893 8280at50557          -           1153  8.8e-105  350.3  65.1   3   3   2.1e-42   1.5e-40  137.6  19.8   458   759   546   863   542   867 0.91 -
25718at50557_197043_0:00510d|STRG.6539.2:86-1765|+     -            560 8280at50557          -           1153   4.7e-88  294.9  67.6   1   5   3.5e-25   2.5e-23   80.6   6.1   435   610     2   171     1   176 0.93 -
25718at50557_197043_0:00510d|STRG.6539.2:86-1765|+     -            560 8280at50557          -           1153   4.7e-88  294.9  67.6   2   5   1.7e-20   1.2e-18   65.1   8.5    92   248   100   254    97   256 0.92 -
25718at50557_197043_0:00510d|STRG.6539.2:86-1765|+     -            560 8280at50557          -           1153   4.7e-88  294.9  67.6   3   5   1.1e-23   7.5e-22   75.7  11.3   703   847   153   299   152   300 0.90 -
25718at50557_197043_0:00510d|STRG.6539.2:86-1765|+     -            560 8280at50557          -           1153   4.7e-88  294.9  67.6   4   5     8e-20   5.7e-18   62.8   6.5   695   846   240   397   239   404 0.89 -
25718at50557_197043_0:00510d|STRG.6539.2:86-1765|+     -            560 8280at50557          -           1153   4.7e-88  294.9  67.6   5   5     3e-21   2.1e-19   67.6   3.4   475   604   400   527   397   535 0.95 -
8280at50557_7395_0:001be1|STRG.10612.2:53-889|+        -            279 8280at50557          -           1153   2.2e-82  276.2   6.0   1   2   8.3e-77   5.9e-75  251.6   0.6   920  1120     1   225     1   233 0.92 -
8280at50557_7395_0:001be1|STRG.10612.2:53-889|+        -            279 8280at50557          -           1153   2.2e-82  276.2   6.0   2   2   3.2e-09   2.3e-07   27.7   0.6  1119  1150   248   279   236   279 0.93 -
7376at50557_121225_0:001986|STRG.17997.1:659-3043|+    -            795 8280at50557          -           1153   2.6e-80  269.3  47.1   1   5   1.7e-20   1.2e-18   65.1   0.4   102   225     7   133     3   138 0.91 -
7376at50557_121225_0:001986|STRG.17997.1:659-3043|+    -            795 8280at50557          -           1153   2.6e-80  269.3  47.1   2   5   2.9e-09     2e-07   27.9   0.5   130   198   111   179   109   182 0.83 -
7376at50557_121225_0:001986|STRG.17997.1:659-3043|+    -            795 8280at50557          -           1153   2.6e-80  269.3  47.1   3   5   2.4e-45   1.7e-43  147.4  23.6   434   799   144   513   141   514 0.93 -
7376at50557_121225_0:001986|STRG.17997.1:659-3043|+    -            795 8280at50557          -           1153   2.6e-80  269.3  47.1   4   5     0.004      0.28    7.5   0.2  1080  1131   523   573   518   598 0.79 -
7376at50557_121225_0:001986|STRG.17997.1:659-3043|+    -            795 8280at50557          -           1153   2.6e-80  269.3  47.1   5   5   1.7e-16   1.2e-14   51.8   3.8   488   597   657   765   642   785 0.88 -
25718at50557_2015173_0:002260|STRG.12948.1:406-2958|+  -            851 8280at50557          -           1153   7.9e-78  261.1  54.7   1   6   4.9e-07   3.5e-05   20.5   0.1   114   202    13   107    10   112 0.86 -
25718at50557_2015173_0:002260|STRG.12948.1:406-2958|+  -            851 8280at50557          -           1153   7.9e-78  261.1  54.7   2   6   5.3e-21   3.8e-19   66.7   5.5   486   626   125   267   121   269 0.93 -
25718at50557_2015173_0:002260|STRG.12948.1:406-2958|+  -            851 8280at50557          -           1153   7.9e-78  261.1  54.7   3   6   4.5e-27   3.2e-25   86.8   7.2   102   247   237   380   235   382 0.96 -
25718at50557_2015173_0:002260|STRG.12948.1:406-2958|+  -            851 8280at50557          -           1153   7.9e-78  261.1  54.7   4   6   8.7e-31   6.2e-29   99.1  10.4   471   707   329   566   328   573 0.90 -
25718at50557_2015173_0:002260|STRG.12948.1:406-2958|+  -            851 8280at50557          -           1153   7.9e-78  261.1  54.7   5   6     0.089       6.4    3.1   0.0  1080  1131   576   626   570   636 0.73 -
25718at50557_2015173_0:002260|STRG.12948.1:406-2958|+  -            851 8280at50557          -           1153   7.9e-78  261.1  54.7   6   6   9.7e-14   6.9e-12   42.7   4.2   490   594   711   814   704   820 0.95 -
25718at50557_54969_0:001d6b|STRG.17973.1:934-3381|+    -            816 8280at50557          -           1153   1.9e-75  253.2  42.6   1   6   1.2e-19   8.4e-18   62.3   9.2   763   919     1   162     1   165 0.84 -
25718at50557_54969_0:001d6b|STRG.17973.1:934-3381|+    -            816 8280at50557          -           1153   1.9e-75  253.2  42.6   2   6   1.1e-23   7.5e-22   75.7   2.2   477   596   167   285   164   288 0.96 -
25718at50557_54969_0:001d6b|STRG.17973.1:934-3381|+    -            816 8280at50557          -           1153   1.9e-75  253.2  42.6   3   6   5.1e-23   3.6e-21   73.4   3.9   122   269   280   428   280   435 0.91 -
25718at50557_54969_0:001d6b|STRG.17973.1:934-3381|+    -            816 8280at50557          -           1153   1.9e-75  253.2  42.6   4   6   9.1e-08   6.5e-06   22.9   0.6   115   202   413   498   405   522 0.51 -
25718at50557_54969_0:001d6b|STRG.17973.1:934-3381|+    -            816 8280at50557          -           1153   1.9e-75  253.2  42.6   5   6      0.62        44    0.3   0.1  1074  1111   499   536   490   579 0.71 -
25718at50557_54969_0:001d6b|STRG.17973.1:934-3381|+    -            816 8280at50557          -           1153   1.9e-75  253.2  42.6   6   6   5.5e-14   3.9e-12   43.5   0.0   489   597   639   746   614   757 0.91 -
8280at50557_7200_0:000e97|STRG.15612.1:1547-2626|+     -            360 8280at50557          -           1153     3e-67  226.0  20.6   1   3     1e-24   7.3e-23   79.0   1.7    37   185     3   155     1   156 0.86 -
8280at50557_7200_0:000e97|STRG.15612.1:1547-2626|+     -            360 8280at50557          -           1153     3e-67  226.0  20.6   2   3   8.8e-26   6.2e-24   82.6   1.6    96   205   140   249   140   250 0.97 -
8280at50557_7200_0:000e97|STRG.15612.1:1547-2626|+     -            360 8280at50557          -           1153     3e-67  226.0  20.6   3   3     4e-28   2.8e-26   90.3   2.7    97   205   239   347   239   359 0.96 -
8280at50557_7200_0:000e97|STRG.15612.2:657-1736|+      -            360 8280at50557          -           1153     3e-67  226.0  20.6   1   3     1e-24   7.3e-23   79.0   1.7    37   185     3   155     1   156 0.86 -
8280at50557_7200_0:000e97|STRG.15612.2:657-1736|+      -            360 8280at50557          -           1153     3e-67  226.0  20.6   2   3   8.8e-26   6.2e-24   82.6   1.6    96   205   140   249   140   250 0.97 -
8280at50557_7200_0:000e97|STRG.15612.2:657-1736|+      -            360 8280at50557          -           1153     3e-67  226.0  20.6   3   3     4e-28   2.8e-26   90.3   2.7    97   205   239   347   239   359 0.96 -
8280at50557_7200_0:000e97|STRG.15612.3:727-1806|+      -            360 8280at50557          -           1153     3e-67  226.0  20.6   1   3     1e-24   7.3e-23   79.0   1.7    37   185     3   155     1   156 0.86 -
8280at50557_7200_0:000e97|STRG.15612.3:727-1806|+      -            360 8280at50557          -           1153     3e-67  226.0  20.6   2   3   8.8e-26   6.2e-24   82.6   1.6    96   205   140   249   140   250 0.97 -
8280at50557_7200_0:000e97|STRG.15612.3:727-1806|+      -            360 8280at50557          -           1153     3e-67  226.0  20.6   3   3     4e-28   2.8e-26   90.3   2.7    97   205   239   347   239   359 0.96 -
8280at50557_7200_0:000e97|STRG.15612.4:1589-2668|+     -            360 8280at50557          -           1153     3e-67  226.0  20.6   1   3     1e-24   7.3e-23   79.0   1.7    37   185     3   155     1   156 0.86 -
8280at50557_7200_0:000e97|STRG.15612.4:1589-2668|+     -            360 8280at50557          -           1153     3e-67  226.0  20.6   2   3   8.8e-26   6.2e-24   82.6   1.6    96   205   140   249   140   250 0.97 -
8280at50557_7200_0:000e97|STRG.15612.4:1589-2668|+     -            360 8280at50557          -           1153     3e-67  226.0  20.6   3   3     4e-28   2.8e-26   90.3   2.7    97   205   239   347   239   359 0.96 -
7376at50557_7176_0:003c63|STRG.17994.2:124-2298|+      -            725 8280at50557          -           1153   9.9e-63  211.1  55.8   1   6   1.1e-19   7.8e-18   62.4  11.0   721   856     2   141     1   143 0.79 -
7376at50557_7176_0:003c63|STRG.17994.2:124-2298|+      -            725 8280at50557          -           1153   9.9e-63  211.1  55.8   2   6     5e-21   3.5e-19   66.8   6.2   132   248   140   255   134   257 0.96 -
7376at50557_7176_0:003c63|STRG.17994.2:124-2298|+      -            725 8280at50557          -           1153   9.9e-63  211.1  55.8   3   6   3.2e-17   2.3e-15   54.2   1.3   504   625   235   354   234   356 0.92 -
7376at50557_7176_0:003c63|STRG.17994.2:124-2298|+      -            725 8280at50557          -           1153   9.9e-63  211.1  55.8   4   6   4.9e-09   3.5e-07   27.1   1.1   508   605   356   448   353   459 0.88 -
7376at50557_7176_0:003c63|STRG.17994.2:124-2298|+      -            725 8280at50557          -           1153   9.9e-63  211.1  55.8   5   6       1.4        99   -0.9   0.0  1082  1107   450   475   446   497 0.86 -
7376at50557_7176_0:003c63|STRG.17994.2:124-2298|+      -            725 8280at50557          -           1153   9.9e-63  211.1  55.8   6   6   8.9e-12   6.3e-10   36.2   7.9   490   616   582   707   564   722 0.83 -
7376at50557_1507135_0:001a56|STRG.4876.1:695-3091|+    -            799 8280at50557          -           1153     3e-61  206.1   0.0   1   5   1.1e-14   7.8e-13   45.8   0.0   119   242     4   127     1   160 0.90 -
7376at50557_1507135_0:001a56|STRG.4876.1:695-3091|+    -            799 8280at50557          -           1153     3e-61  206.1   0.0   2   5   1.3e-14   9.3e-13   45.6   0.0   503   612   229   338   208   344 0.68 -
7376at50557_1507135_0:001a56|STRG.4876.1:695-3091|+    -            799 8280at50557          -           1153     3e-61  206.1   0.0   3   5   3.3e-16   2.4e-14   50.8   0.9   533   617   457   542   447   544 0.95 -
7376at50557_1507135_0:001a56|STRG.4876.1:695-3091|+    -            799 8280at50557          -           1153     3e-61  206.1   0.0   4   5   2.1e-09   1.5e-07   28.3   0.0   880   950   529   601   528   629 0.84 -
7376at50557_1507135_0:001a56|STRG.4876.1:695-3091|+    -            799 8280at50557          -           1153     3e-61  206.1   0.0   5   5   1.3e-13   8.9e-12   42.3   0.0   119   222   697   798   690   799 0.92 -
7376at50557_1507135_0:001a56|STRG.4876.2:422-2818|+    -            799 8280at50557          -           1153     3e-61  206.1   0.0   1   5   1.1e-14   7.8e-13   45.8   0.0   119   242     4   127     1   160 0.90 -
7376at50557_1507135_0:001a56|STRG.4876.2:422-2818|+    -            799 8280at50557          -           1153     3e-61  206.1   0.0   2   5   1.3e-14   9.3e-13   45.6   0.0   503   612   229   338   208   344 0.68 -
7376at50557_1507135_0:001a56|STRG.4876.2:422-2818|+    -            799 8280at50557          -           1153     3e-61  206.1   0.0   3   5   3.3e-16   2.4e-14   50.8   0.9   533   617   457   542   447   544 0.95 -
7376at50557_1507135_0:001a56|STRG.4876.2:422-2818|+    -            799 8280at50557          -           1153     3e-61  206.1   0.0   4   5   2.1e-09   1.5e-07   28.3   0.0   880   950   529   601   528   629 0.84 -
7376at50557_1507135_0:001a56|STRG.4876.2:422-2818|+    -            799 8280at50557          -           1153     3e-61  206.1   0.0   5   5   1.3e-13   8.9e-12   42.3   0.0   119   222   697   798   690   799 0.92 -
7376at50557_1507135_0:001a56|STRG.4876.3:1203-3599|+   -            799 8280at50557          -           1153     3e-61  206.1   0.0   1   5   1.1e-14   7.8e-13   45.8   0.0   119   242     4   127     1   160 0.90 -
7376at50557_1507135_0:001a56|STRG.4876.3:1203-3599|+   -            799 8280at50557          -           1153     3e-61  206.1   0.0   2   5   1.3e-14   9.3e-13   45.6   0.0   503   612   229   338   208   344 0.68 -
7376at50557_1507135_0:001a56|STRG.4876.3:1203-3599|+   -            799 8280at50557          -           1153     3e-61  206.1   0.0   3   5   3.3e-16   2.4e-14   50.8   0.9   533   617   457   542   447   544 0.95 -
7376at50557_1507135_0:001a56|STRG.4876.3:1203-3599|+   -            799 8280at50557          -           1153     3e-61  206.1   0.0   4   5   2.1e-09   1.5e-07   28.3   0.0   880   950   529   601   528   629 0.84 -
7376at50557_1507135_0:001a56|STRG.4876.3:1203-3599|+   -            799 8280at50557          -           1153     3e-61  206.1   0.0   5   5   1.3e-13   8.9e-12   42.3   0.0   119   222   697   798   690   799 0.92 -
7376at50557_1507135_0:001a56|STRG.4876.4:1284-3680|+   -            799 8280at50557          -           1153     3e-61  206.1   0.0   1   5   1.1e-14   7.8e-13   45.8   0.0   119   242     4   127     1   160 0.90 -
7376at50557_1507135_0:001a56|STRG.4876.4:1284-3680|+   -            799 8280at50557          -           1153     3e-61  206.1   0.0   2   5   1.3e-14   9.3e-13   45.6   0.0   503   612   229   338   208   344 0.68 -
7376at50557_1507135_0:001a56|STRG.4876.4:1284-3680|+   -            799 8280at50557          -           1153     3e-61  206.1   0.0   3   5   3.3e-16   2.4e-14   50.8   0.9   533   617   457   542   447   544 0.95 -
7376at50557_1507135_0:001a56|STRG.4876.4:1284-3680|+   -            799 8280at50557          -           1153     3e-61  206.1   0.0   4   5   2.1e-09   1.5e-07   28.3   0.0   880   950   529   601   528   629 0.84 -
7376at50557_1507135_0:001a56|STRG.4876.4:1284-3680|+   -            799 8280at50557          -           1153     3e-61  206.1   0.0   5   5   1.3e-13   8.9e-12   42.3   0.0   119   222   697   798   690   799 0.92 -
7376at50557_1507135_0:001a56|STRG.4876.5:862-3258|+    -            799 8280at50557          -           1153     3e-61  206.1   0.0   1   5   1.1e-14   7.8e-13   45.8   0.0   119   242     4   127     1   160 0.90 -
7376at50557_1507135_0:001a56|STRG.4876.5:862-3258|+    -            799 8280at50557          -           1153     3e-61  206.1   0.0   2   5   1.3e-14   9.3e-13   45.6   0.0   503   612   229   338   208   344 0.68 -
7376at50557_1507135_0:001a56|STRG.4876.5:862-3258|+    -            799 8280at50557          -           1153     3e-61  206.1   0.0   3   5   3.3e-16   2.4e-14   50.8   0.9   533   617   457   542   447   544 0.95 -
7376at50557_1507135_0:001a56|STRG.4876.5:862-3258|+    -            799 8280at50557          -           1153     3e-61  206.1   0.0   4   5   2.1e-09   1.5e-07   28.3   0.0   880   950   529   601   528   629 0.84 -
7376at50557_1507135_0:001a56|STRG.4876.5:862-3258|+    -            799 8280at50557          -           1153     3e-61  206.1   0.0   5   5   1.3e-13   8.9e-12   42.3   0.0   119   222   697   798   690   799 0.92 -
7376at50557_1507135_0:001a56|STRG.4876.6:867-3263|+    -            799 8280at50557          -           1153     3e-61  206.1   0.0   1   5   1.1e-14   7.8e-13   45.8   0.0   119   242     4   127     1   160 0.90 -
7376at50557_1507135_0:001a56|STRG.4876.6:867-3263|+    -            799 8280at50557          -           1153     3e-61  206.1   0.0   2   5   1.3e-14   9.3e-13   45.6   0.0   503   612   229   338   208   344 0.68 -
7376at50557_1507135_0:001a56|STRG.4876.6:867-3263|+    -            799 8280at50557          -           1153     3e-61  206.1   0.0   3   5   3.3e-16   2.4e-14   50.8   0.9   533   617   457   542   447   544 0.95 -
7376at50557_1507135_0:001a56|STRG.4876.6:867-3263|+    -            799 8280at50557          -           1153     3e-61  206.1   0.0   4   5   2.1e-09   1.5e-07   28.3   0.0   880   950   529   601   528   629 0.84 -
7376at50557_1507135_0:001a56|STRG.4876.6:867-3263|+    -            799 8280at50557          -           1153     3e-61  206.1   0.0   5   5   1.3e-13   8.9e-12   42.3   0.0   119   222   697   798   690   799 0.92 -
7376at50557_1507135_0:001a56|STRG.4876.7:967-3363|+    -            799 8280at50557          -           1153     3e-61  206.1   0.0   1   5   1.1e-14   7.8e-13   45.8   0.0   119   242     4   127     1   160 0.90 -
7376at50557_1507135_0:001a56|STRG.4876.7:967-3363|+    -            799 8280at50557          -           1153     3e-61  206.1   0.0   2   5   1.3e-14   9.3e-13   45.6   0.0   503   612   229   338   208   344 0.68 -
7376at50557_1507135_0:001a56|STRG.4876.7:967-3363|+    -            799 8280at50557          -           1153     3e-61  206.1   0.0   3   5   3.3e-16   2.4e-14   50.8   0.9   533   617   457   542   447   544 0.95 -
7376at50557_1507135_0:001a56|STRG.4876.7:967-3363|+    -            799 8280at50557          -           1153     3e-61  206.1   0.0   4   5   2.1e-09   1.5e-07   28.3   0.0   880   950   529   601   528   629 0.84 -
7376at50557_1507135_0:001a56|STRG.4876.7:967-3363|+    -            799 8280at50557          -           1153     3e-61  206.1   0.0   5   5   1.3e-13   8.9e-12   42.3   0.0   119   222   697   798   690   799 0.92 -
7376at50557_1507135_0:001a56|STRG.4876.8:835-3231|+    -            799 8280at50557          -           1153     3e-61  206.1   0.0   1   5   1.1e-14   7.8e-13   45.8   0.0   119   242     4   127     1   160 0.90 -
7376at50557_1507135_0:001a56|STRG.4876.8:835-3231|+    -            799 8280at50557          -           1153     3e-61  206.1   0.0   2   5   1.3e-14   9.3e-13   45.6   0.0   503   612   229   338   208   344 0.68 -
7376at50557_1507135_0:001a56|STRG.4876.8:835-3231|+    -            799 8280at50557          -           1153     3e-61  206.1   0.0   3   5   3.3e-16   2.4e-14   50.8   0.9   533   617   457   542   447   544 0.95 -
7376at50557_1507135_0:001a56|STRG.4876.8:835-3231|+    -            799 8280at50557          -           1153     3e-61  206.1   0.0   4   5   2.1e-09   1.5e-07   28.3   0.0   880   950   529   601   528   629 0.84 -
7376at50557_1507135_0:001a56|STRG.4876.8:835-3231|+    -            799 8280at50557          -           1153     3e-61  206.1   0.0   5   5   1.3e-13   8.9e-12   42.3   0.0   119   222   697   798   690   799 0.92 -
25718at50557_7536_0:0032ee|STRG.17994.1:673-2418|+     -            582 8280at50557          -           1153   1.2e-60  204.2  44.2   1   5   4.9e-08   3.5e-06   23.8   0.4   131   225     1   100     1   113 0.81 -
25718at50557_7536_0:0032ee|STRG.17994.1:673-2418|+     -            582 8280at50557          -           1153   1.2e-60  204.2  44.2   2   5   7.6e-21   5.4e-19   66.2  11.3   718   857   136   279   131   280 0.83 -
25718at50557_7536_0:0032ee|STRG.17994.1:673-2418|+     -            582 8280at50557          -           1153   1.2e-60  204.2  44.2   3   5   3.1e-21   2.2e-19   67.5   5.8   132   248   277   392   273   394 0.97 -
25718at50557_7536_0:0032ee|STRG.17994.1:673-2418|+     -            582 8280at50557          -           1153   1.2e-60  204.2  44.2   4   5   2.1e-17   1.5e-15   54.8   1.4   504   625   372   491   370   493 0.92 -
25718at50557_7536_0:0032ee|STRG.17994.1:673-2418|+     -            582 8280at50557          -           1153   1.2e-60  204.2  44.2   5   5   1.8e-08   1.3e-06   25.2   1.3   508   602   493   582   490   582 0.87 -
7376at50557_38123_0:000ed3|STRG.11284.1:478-1575|+     -            366 8280at50557          -           1153   6.6e-58  195.1  16.8   1   3   4.8e-27   3.4e-25   86.8   1.8    88   229    31   170    19   173 0.93 -
7376at50557_38123_0:000ed3|STRG.11284.1:478-1575|+     -            366 8280at50557          -           1153   6.6e-58  195.1  16.8   2   3   2.6e-21   1.8e-19   67.8   0.4    87   220   174   306   167   313 0.93 -
7376at50557_38123_0:000ed3|STRG.11284.1:478-1575|+     -            366 8280at50557          -           1153   6.6e-58  195.1  16.8   3   3   2.1e-20   1.5e-18   64.8   1.8    98   244   209   355   205   365 0.92 -
25718at50557_1629725_0:002070|STRG.5024.1:1-1158|+     -            386 8280at50557          -           1153   5.5e-55  185.4  13.8   1   3   1.1e-15   7.8e-14   49.1   0.2   535   634     3   102     1   114 0.83 -
25718at50557_1629725_0:002070|STRG.5024.1:1-1158|+     -            386 8280at50557          -           1153   5.5e-55  185.4  13.8   2   3   6.2e-25   4.4e-23   79.7   0.8   485   625   119   260   115   263 0.95 -
25718at50557_1629725_0:002070|STRG.5024.1:1-1158|+     -            386 8280at50557          -           1153   5.5e-55  185.4  13.8   3   3   7.6e-21   5.4e-19   66.2   2.3   473   607   253   385   251   386 0.79 -
8280at50557_74869_0:001375|STRG.3776.1:236-1798|+      -            521 8280at50557          -           1153   2.4e-53  180.0  35.5   1   3   7.2e-17   5.1e-15   53.1   0.7   120   250     5   130     2   132 0.92 -
8280at50557_74869_0:001375|STRG.3776.1:236-1798|+      -            521 8280at50557          -           1153   2.4e-53  180.0  35.5   2   3   1.7e-31   1.2e-29  101.5  20.0   545   856   124   426   122   438 0.88 -
8280at50557_74869_0:001375|STRG.3776.1:236-1798|+      -            521 8280at50557          -           1153   2.4e-53  180.0  35.5   3   3   5.1e-16   3.6e-14   50.2   5.7   476   619   372   520   368   521 0.91 -
8280at50557_74869_0:001375|STRG.3776.2:442-2004|+      -            521 8280at50557          -           1153   2.4e-53  180.0  35.5   1   3   7.2e-17   5.1e-15   53.1   0.7   120   250     5   130     2   132 0.92 -
8280at50557_74869_0:001375|STRG.3776.2:442-2004|+      -            521 8280at50557          -           1153   2.4e-53  180.0  35.5   2   3   1.7e-31   1.2e-29  101.5  20.0   545   856   124   426   122   438 0.88 -
8280at50557_74869_0:001375|STRG.3776.2:442-2004|+      -            521 8280at50557          -           1153   2.4e-53  180.0  35.5   3   3   5.1e-16   3.6e-14   50.2   5.7   476   619   372   520   368   521 0.91 -
8280at50557_74869_0:001375|STRG.3776.3:194-1756|+      -            521 8280at50557          -           1153   2.4e-53  180.0  35.5   1   3   7.2e-17   5.1e-15   53.1   0.7   120   250     5   130     2   132 0.92 -
8280at50557_74869_0:001375|STRG.3776.3:194-1756|+      -            521 8280at50557          -           1153   2.4e-53  180.0  35.5   2   3   1.7e-31   1.2e-29  101.5  20.0   545   856   124   426   122   438 0.88 -
8280at50557_74869_0:001375|STRG.3776.3:194-1756|+      -            521 8280at50557          -           1153   2.4e-53  180.0  35.5   3   3   5.1e-16   3.6e-14   50.2   5.7   476   619   372   520   368   521 0.91 -
25718at50557_197043_0:00510d|STRG.13774.1:881-2146|+   -            422 8280at50557          -           1153   2.9e-51  173.1  48.4   1   4   9.9e-20     7e-18   62.5  15.8   472   621    13   159     7   163 0.95 -
25718at50557_197043_0:00510d|STRG.13774.1:881-2146|+   -            422 8280at50557          -           1153   2.9e-51  173.1  48.4   2   4   1.6e-18   1.1e-16   58.6   5.9   478   602   160   283   158   284 0.96 -
25718at50557_197043_0:00510d|STRG.13774.1:881-2146|+   -            422 8280at50557          -           1153   2.9e-51  173.1  48.4   3   4   4.7e-23   3.3e-21   73.5   6.6   486   613   264   393   261   397 0.93 -
25718at50557_197043_0:00510d|STRG.13774.1:881-2146|+   -            422 8280at50557          -           1153   2.9e-51  173.1  48.4   4   4    0.0004     0.029   10.8   0.8  1087  1113   387   413   382   420 0.90 -
8280at50557_113334_0:00096f|STRG.8945.1:913-2133|+     -            407 8280at50557          -           1153   8.7e-50  168.2  24.8   1   3   4.5e-15   3.2e-13   47.1   6.6   115   248     2   138     1   142 0.82 -
8280at50557_113334_0:00096f|STRG.8945.1:913-2133|+     -            407 8280at50557          -           1153   8.7e-50  168.2  24.8   2   3   1.8e-14   1.3e-12   45.1   4.7   136   225   143   232   137   260 0.90 -
8280at50557_113334_0:00096f|STRG.8945.1:913-2133|+     -            407 8280at50557          -           1153   8.7e-50  168.2  24.8   3   3   9.1e-26   6.5e-24   82.5   0.4   473   618   257   401   244   407 0.95 -
