#                                                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
135254at50557_103372_0:002a85|STRG.7181.1:116-490|+     -            125 135254at50557        -            104   1.3e-58  194.6   1.6   1   1   1.1e-60   1.5e-58  194.4   1.6     1   104     7   120     7   120 0.92 -
117816at50557_29058_0:000b65|STRG.13243.2:378-851|+     -            158 135254at50557        -            104   1.1e-06   27.8   0.1   1   2   0.00012     0.016   14.4   0.1    26    83     9    69     3    79 0.77 -
117816at50557_29058_0:000b65|STRG.13243.2:378-851|+     -            158 135254at50557        -            104   1.1e-06   27.8   0.1   2   2   0.00077       0.1   11.8   0.0    15    71    81   143    72   145 0.76 -
117816at50557_29058_0:000b65|STRG.13243.3:481-954|+     -            158 135254at50557        -            104   1.1e-06   27.8   0.1   1   2   0.00012     0.016   14.4   0.1    26    83     9    69     3    79 0.77 -
117816at50557_29058_0:000b65|STRG.13243.3:481-954|+     -            158 135254at50557        -            104   1.1e-06   27.8   0.1   2   2   0.00077       0.1   11.8   0.0    15    71    81   143    72   145 0.76 -
117816at50557_29058_0:000b65|STRG.13243.4:626-1099|+    -            158 135254at50557        -            104   1.1e-06   27.8   0.1   1   2   0.00012     0.016   14.4   0.1    26    83     9    69     3    79 0.77 -
117816at50557_29058_0:000b65|STRG.13243.4:626-1099|+    -            158 135254at50557        -            104   1.1e-06   27.8   0.1   2   2   0.00077       0.1   11.8   0.0    15    71    81   143    72   145 0.76 -
117816at50557_29058_0:000b65|STRG.13243.5:387-860|+     -            158 135254at50557        -            104   1.1e-06   27.8   0.1   1   2   0.00012     0.016   14.4   0.1    26    83     9    69     3    79 0.77 -
117816at50557_29058_0:000b65|STRG.13243.5:387-860|+     -            158 135254at50557        -            104   1.1e-06   27.8   0.1   2   2   0.00077       0.1   11.8   0.0    15    71    81   143    72   145 0.76 -
117816at50557_29058_0:000b65|STRG.13243.7:1202-1675|+   -            158 135254at50557        -            104   1.1e-06   27.8   0.1   1   2   0.00012     0.016   14.4   0.1    26    83     9    69     3    79 0.77 -
117816at50557_29058_0:000b65|STRG.13243.7:1202-1675|+   -            158 135254at50557        -            104   1.1e-06   27.8   0.1   2   2   0.00077       0.1   11.8   0.0    15    71    81   143    72   145 0.76 -
117816at50557_29058_0:000b65|STRG.13243.8:961-1434|+    -            158 135254at50557        -            104   1.1e-06   27.8   0.1   1   2   0.00012     0.016   14.4   0.1    26    83     9    69     3    79 0.77 -
117816at50557_29058_0:000b65|STRG.13243.8:961-1434|+    -            158 135254at50557        -            104   1.1e-06   27.8   0.1   2   2   0.00077       0.1   11.8   0.0    15    71    81   143    72   145 0.76 -
83433at50557_166361_0:0030d8|STRG.13243.6:396-956|+     -            187 135254at50557        -            104   2.5e-06   26.6   0.1   1   2   0.00018     0.024   13.8   0.1    26    84     6    67     1    78 0.77 -
83433at50557_166361_0:0030d8|STRG.13243.6:396-956|+     -            187 135254at50557        -            104   2.5e-06   26.6   0.1   2   2    0.0011      0.14   11.3   0.0    15    71    78   140    67   142 0.76 -
117816at50557_7200_0:0014c2|STRG.20705.7:1406-2338|+    -            311 135254at50557        -            104   4.6e-06   25.7   0.0   1   2    0.0079       1.1    8.5   0.0    28    86    10    68     4    78 0.86 -
117816at50557_7200_0:0014c2|STRG.20705.7:1406-2338|+    -            311 135254at50557        -            104   4.6e-06   25.7   0.0   2   2   0.00012     0.016   14.4   0.0    28    83   245   303   220   310 0.78 -
100341at50557_319348_0:001dc7|STRG.20705.6:1364-2371|+  -            336 135254at50557        -            104   5.6e-06   25.5   0.0   1   2    0.0058      0.79    8.9   0.0    27    86    23    82     4    92 0.83 -
100341at50557_319348_0:001dc7|STRG.20705.6:1364-2371|+  -            336 135254at50557        -            104   5.6e-06   25.5   0.0   2   2   0.00017     0.023   13.9   0.0    28    83   273   331   246   336 0.78 -
100341at50557_319348_0:001dc7|STRG.20705.13:1513-2547|+ -            345 135254at50557        -            104   6.1e-06   25.3   0.0   1   2    0.0061      0.82    8.9   0.0    27    86    23    82     4    92 0.83 -
100341at50557_319348_0:001dc7|STRG.20705.13:1513-2547|+ -            345 135254at50557        -            104   6.1e-06   25.3   0.0   2   2   0.00018     0.024   13.8   0.0    28    83   282   340   255   345 0.78 -
100341at50557_319348_0:001dc7|STRG.20705.14:1687-2721|+ -            345 135254at50557        -            104   6.1e-06   25.3   0.0   1   2    0.0061      0.82    8.9   0.0    27    86    23    82     4    92 0.83 -
100341at50557_319348_0:001dc7|STRG.20705.14:1687-2721|+ -            345 135254at50557        -            104   6.1e-06   25.3   0.0   2   2   0.00018     0.024   13.8   0.0    28    83   282   340   255   345 0.78 -
100341at50557_319348_0:001dc7|STRG.20705.15:1684-2718|+ -            345 135254at50557        -            104   6.1e-06   25.3   0.0   1   2    0.0061      0.82    8.9   0.0    27    86    23    82     4    92 0.83 -
100341at50557_319348_0:001dc7|STRG.20705.15:1684-2718|+ -            345 135254at50557        -            104   6.1e-06   25.3   0.0   2   2   0.00018     0.024   13.8   0.0    28    83   282   340   255   345 0.78 -
100341at50557_319348_0:001dc7|STRG.20705.16:749-1783|+  -            345 135254at50557        -            104   6.1e-06   25.3   0.0   1   2    0.0061      0.82    8.9   0.0    27    86    23    82     4    92 0.83 -
100341at50557_319348_0:001dc7|STRG.20705.16:749-1783|+  -            345 135254at50557        -            104   6.1e-06   25.3   0.0   2   2   0.00018     0.024   13.8   0.0    28    83   282   340   255   345 0.78 -
100341at50557_319348_0:001dc7|STRG.20705.1:700-1734|+   -            345 135254at50557        -            104   6.1e-06   25.3   0.0   1   2    0.0061      0.82    8.9   0.0    27    86    23    82     4    92 0.83 -
100341at50557_319348_0:001dc7|STRG.20705.1:700-1734|+   -            345 135254at50557        -            104   6.1e-06   25.3   0.0   2   2   0.00018     0.024   13.8   0.0    28    83   282   340   255   345 0.78 -
100341at50557_319348_0:001dc7|STRG.20705.9:1364-2398|+  -            345 135254at50557        -            104   6.1e-06   25.3   0.0   1   2    0.0061      0.82    8.9   0.0    27    86    23    82     4    92 0.83 -
100341at50557_319348_0:001dc7|STRG.20705.9:1364-2398|+  -            345 135254at50557        -            104   6.1e-06   25.3   0.0   2   2   0.00018     0.024   13.8   0.0    28    83   282   340   255   345 0.78 -
101501at50557_103372_0:00154d|STRG.5239.1:395-2734|+    -            780 135254at50557        -            104   2.5e-05   23.4   2.0   1   2   0.00027     0.036   13.2   0.1    15    93   191   274   176   284 0.77 -
101501at50557_103372_0:00154d|STRG.5239.1:395-2734|+    -            780 135254at50557        -            104   2.5e-05   23.4   2.0   2   2     0.015         2    7.6   0.0    14    66   392   450   378   484 0.62 -
129956at50557_13686_0:0011f5|STRG.2538.1:1985-2212|+    -             76 135254at50557        -            104   0.00016   20.8   0.0   1   1   1.3e-06   0.00017   20.7   0.0    27    78    18    69     1    73 0.72 -
129956at50557_13686_0:0011f5|STRG.2538.2:2046-2273|+    -             76 135254at50557        -            104   0.00016   20.8   0.0   1   1   1.3e-06   0.00017   20.7   0.0    27    78    18    69     1    73 0.72 -
129956at50557_13686_0:0011f5|STRG.2538.3:804-1031|+     -             76 135254at50557        -            104   0.00016   20.8   0.0   1   1   1.3e-06   0.00017   20.7   0.0    27    78    18    69     1    73 0.72 -
129956at50557_13686_0:0011f5|STRG.2538.4:1444-1671|+    -             76 135254at50557        -            104   0.00016   20.8   0.0   1   1   1.3e-06   0.00017   20.7   0.0    27    78    18    69     1    73 0.72 -
129956at50557_13686_0:0011f5|STRG.2538.5:1505-1732|+    -             76 135254at50557        -            104   0.00016   20.8   0.0   1   1   1.3e-06   0.00017   20.7   0.0    27    78    18    69     1    73 0.72 -
129956at50557_13686_0:0011f5|STRG.2538.6:951-1178|+     -             76 135254at50557        -            104   0.00016   20.8   0.0   1   1   1.3e-06   0.00017   20.7   0.0    27    78    18    69     1    73 0.72 -
129956at50557_13686_0:0011f5|STRG.2538.7:957-1184|+     -             76 135254at50557        -            104   0.00016   20.8   0.0   1   1   1.3e-06   0.00017   20.7   0.0    27    78    18    69     1    73 0.72 -
129956at50557_441921_0:0017da|STRG.10508.10:159-401|+   -             81 135254at50557        -            104   0.00079   18.6   0.0   1   1   6.6e-06    0.0009   18.4   0.0    17    76    15    75     7    80 0.82 -
129956at50557_441921_0:0017da|STRG.10508.11:173-415|+   -             81 135254at50557        -            104   0.00079   18.6   0.0   1   1   6.6e-06    0.0009   18.4   0.0    17    76    15    75     7    80 0.82 -
129956at50557_441921_0:0017da|STRG.10508.1:159-401|+    -             81 135254at50557        -            104   0.00079   18.6   0.0   1   1   6.6e-06    0.0009   18.4   0.0    17    76    15    75     7    80 0.82 -
129956at50557_441921_0:0017da|STRG.10508.2:159-401|+    -             81 135254at50557        -            104   0.00079   18.6   0.0   1   1   6.6e-06    0.0009   18.4   0.0    17    76    15    75     7    80 0.82 -
129956at50557_441921_0:0017da|STRG.10508.3:159-401|+    -             81 135254at50557        -            104   0.00079   18.6   0.0   1   1   6.6e-06    0.0009   18.4   0.0    17    76    15    75     7    80 0.82 -
129956at50557_441921_0:0017da|STRG.10508.7:159-401|+    -             81 135254at50557        -            104   0.00079   18.6   0.0   1   1   6.6e-06    0.0009   18.4   0.0    17    76    15    75     7    80 0.82 -
129956at50557_441921_0:0017da|STRG.10508.8:159-401|+    -             81 135254at50557        -            104   0.00079   18.6   0.0   1   1   6.6e-06    0.0009   18.4   0.0    17    76    15    75     7    80 0.82 -
129956at50557_441921_0:0017da|STRG.10508.9:159-401|+    -             81 135254at50557        -            104   0.00079   18.6   0.0   1   1   6.6e-06    0.0009   18.4   0.0    17    76    15    75     7    80 0.82 -
129956at50557_7160_0:003f5c|STRG.15315.1:648-860|+      -             71 135254at50557        -            104    0.0018   17.4   0.0   1   1   1.5e-05     0.002   17.3   0.0    26    77    12    66     4    70 0.80 -
129956at50557_7160_0:003f5c|STRG.15315.2:561-773|+      -             71 135254at50557        -            104    0.0018   17.4   0.0   1   1   1.5e-05     0.002   17.3   0.0    26    77    12    66     4    70 0.80 -
129956at50557_7160_0:003f5c|STRG.15315.3:644-856|+      -             71 135254at50557        -            104    0.0018   17.4   0.0   1   1   1.5e-05     0.002   17.3   0.0    26    77    12    66     4    70 0.80 -
129956at50557_7160_0:003f5c|STRG.15315.4:560-772|+      -             71 135254at50557        -            104    0.0018   17.4   0.0   1   1   1.5e-05     0.002   17.3   0.0    26    77    12    66     4    70 0.80 -
129956at50557_7160_0:003f5c|STRG.15315.5:561-773|+      -             71 135254at50557        -            104    0.0018   17.4   0.0   1   1   1.5e-05     0.002   17.3   0.0    26    77    12    66     4    70 0.80 -
129956at50557_34720_0:00189a|STRG.10911.1:159-575|+     -            139 135254at50557        -            104    0.0019   17.3   0.1   1   1   1.9e-05    0.0026   16.9   0.1    25    94    51   120    21   129 0.76 -
129956at50557_441921_0:0017da|STRG.19687.1:161-436|+    -             92 135254at50557        -            104    0.0039   16.3   0.0   1   1   4.4e-05    0.0059   15.8   0.0    22    78    34    88    12    91 0.86 -
117816at50557_7200_0:000429|STRG.20705.10:1406-1918|+   -            171 135254at50557        -            104      0.01   15.0   0.0   1   2    0.0024      0.33   10.1   0.0    27    86     9    68     4    79 0.86 -
117816at50557_7200_0:000429|STRG.20705.10:1406-1918|+   -            171 135254at50557        -            104      0.01   15.0   0.0   2   2      0.39        52    3.1   0.0    27    71    92   139    74   141 0.67 -
101501at50557_1218281_0:0033ae|STRG.7750.1:252-470|+    -             73 135254at50557        -            104     0.013   14.6   0.0   1   1   9.7e-05     0.013   14.6   0.0    28    72    15    59     1    71 0.79 -
101501at50557_1218281_0:0033ae|STRG.7750.2:254-472|+    -             73 135254at50557        -            104     0.013   14.6   0.0   1   1   9.7e-05     0.013   14.6   0.0    28    72    15    59     1    71 0.79 -
129956at50557_441921_0:0017da|STRG.15172.1:1195-1425|+  -             77 135254at50557        -            104     0.014   14.5   0.0   1   1   0.00011     0.015   14.5   0.0    26    74    14    64     1    72 0.75 -
129956at50557_441921_0:0017da|STRG.15171.1:1230-1460|+  -             77 135254at50557        -            104     0.016   14.3   0.0   1   1   0.00012     0.017   14.3   0.0    26    74    14    64     1    72 0.76 -
117816at50557_121225_0:000cee|STRG.2963.1:157-660|+     -            168 135254at50557        -            104     0.017   14.3   0.0   1   1   0.00029     0.039   13.1   0.0    17    83    94   167    78   168 0.73 -
117816at50557_121225_0:000cee|STRG.2963.2:106-609|+     -            168 135254at50557        -            104     0.017   14.3   0.0   1   1   0.00029     0.039   13.1   0.0    17    83    94   167    78   168 0.73 -
117816at50557_121225_0:000cee|STRG.2963.3:506-1009|+    -            168 135254at50557        -            104     0.017   14.3   0.0   1   1   0.00029     0.039   13.1   0.0    17    83    94   167    78   168 0.73 -
108346at50557_113334_0:0032e8|STRG.9869.1:119-1447|+    -            443 135254at50557        -            104     0.018   14.2   0.0   1   1   0.00074       0.1   11.8   0.0    12    82   368   440   356   443 0.78 -
117816at50557_123851_0:00306e|STRG.20705.2:1616-2224|+  -            203 135254at50557        -            104     0.019   14.1   0.0   1   2    0.0035      0.48    9.6   0.0    27    86     9    68     4    79 0.86 -
117816at50557_123851_0:00306e|STRG.20705.2:1616-2224|+  -            203 135254at50557        -            104     0.019   14.1   0.0   2   2      0.59        80    2.5   0.0    27    71    92   139    76   141 0.66 -
117816at50557_123851_0:00306e|STRG.20705.4:1406-2014|+  -            203 135254at50557        -            104     0.019   14.1   0.0   1   2    0.0035      0.48    9.6   0.0    27    86     9    68     4    79 0.86 -
117816at50557_123851_0:00306e|STRG.20705.4:1406-2014|+  -            203 135254at50557        -            104     0.019   14.1   0.0   2   2      0.59        80    2.5   0.0    27    71    92   139    76   141 0.66 -
117816at50557_7200_0:0014c2|STRG.20705.12:1406-2149|+   -            248 135254at50557        -            104     0.034   13.3   0.0   1   2    0.0053      0.72    9.1   0.0    28    86    10    68     4    78 0.86 -
117816at50557_7200_0:0014c2|STRG.20705.12:1406-2149|+   -            248 135254at50557        -            104     0.034   13.3   0.0   2   2      0.85   1.2e+02    2.0   0.0    27    71    92   139    76   141 0.66 -
129956at50557_7425_0:001fb1|STRG.19679.1:824-1066|+     -             81 135254at50557        -            104      0.04   13.1   0.0   1   1   0.00035     0.048   12.8   0.0    26    81    17    72     7    77 0.89 -
129956at50557_7425_0:001fb1|STRG.19679.2:811-1053|+     -             81 135254at50557        -            104      0.04   13.1   0.0   1   1   0.00035     0.048   12.8   0.0    26    81    17    72     7    77 0.89 -
104832at50557_315563_0:002a5b|STRG.2219.1:3363-3986|+   -            208 135254at50557        -            104     0.054   12.7   0.0   1   2     0.058       7.9    5.7   0.0    10    67    50   110    44   122 0.81 -
104832at50557_315563_0:002a5b|STRG.2219.1:3363-3986|+   -            208 135254at50557        -            104     0.054   12.7   0.0   2   2       0.1        14    4.9   0.0    33    81   155   200   143   205 0.77 -
104832at50557_315563_0:002a5b|STRG.2219.2:3363-3986|+   -            208 135254at50557        -            104     0.054   12.7   0.0   1   2     0.058       7.9    5.7   0.0    10    67    50   110    44   122 0.81 -
104832at50557_315563_0:002a5b|STRG.2219.2:3363-3986|+   -            208 135254at50557        -            104     0.054   12.7   0.0   2   2       0.1        14    4.9   0.0    33    81   155   200   143   205 0.77 -
104832at50557_315563_0:002a5b|STRG.2219.3:1795-2418|+   -            208 135254at50557        -            104     0.054   12.7   0.0   1   2     0.058       7.9    5.7   0.0    10    67    50   110    44   122 0.81 -
104832at50557_315563_0:002a5b|STRG.2219.3:1795-2418|+   -            208 135254at50557        -            104     0.054   12.7   0.0   2   2       0.1        14    4.9   0.0    33    81   155   200   143   205 0.77 -
104832at50557_315563_0:002a5b|STRG.2219.4:1795-2418|+   -            208 135254at50557        -            104     0.054   12.7   0.0   1   2     0.058       7.9    5.7   0.0    10    67    50   110    44   122 0.81 -
104832at50557_315563_0:002a5b|STRG.2219.4:1795-2418|+   -            208 135254at50557        -            104     0.054   12.7   0.0   2   2       0.1        14    4.9   0.0    33    81   155   200   143   205 0.77 -
104832at50557_315563_0:002a5b|STRG.2219.5:1795-2418|+   -            208 135254at50557        -            104     0.054   12.7   0.0   1   2     0.058       7.9    5.7   0.0    10    67    50   110    44   122 0.81 -
104832at50557_315563_0:002a5b|STRG.2219.5:1795-2418|+   -            208 135254at50557        -            104     0.054   12.7   0.0   2   2       0.1        14    4.9   0.0    33    81   155   200   143   205 0.77 -
104832at50557_315563_0:002a5b|STRG.2219.6:1242-1865|+   -            208 135254at50557        -            104     0.054   12.7   0.0   1   2     0.058       7.9    5.7   0.0    10    67    50   110    44   122 0.81 -
104832at50557_315563_0:002a5b|STRG.2219.6:1242-1865|+   -            208 135254at50557        -            104     0.054   12.7   0.0   2   2       0.1        14    4.9   0.0    33    81   155   200   143   205 0.77 -
129956at50557_37344_0:0029cb|STRG.11253.1:162-497|+     -            112 135254at50557        -            104     0.087   12.0   0.0   1   1    0.0008      0.11   11.7   0.0    10    81    21    98    13   110 0.80 -
129956at50557_37344_0:0029cb|STRG.11253.2:162-497|+     -            112 135254at50557        -            104     0.087   12.0   0.0   1   1    0.0008      0.11   11.7   0.0    10    81    21    98    13   110 0.80 -
129956at50557_37344_0:0029cb|STRG.11253.3:162-497|+     -            112 135254at50557        -            104     0.087   12.0   0.0   1   1    0.0008      0.11   11.7   0.0    10    81    21    98    13   110 0.80 -
129956at50557_37344_0:0029cb|STRG.11253.4:162-497|+     -            112 135254at50557        -            104     0.087   12.0   0.0   1   1    0.0008      0.11   11.7   0.0    10    81    21    98    13   110 0.80 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/135254at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/135254at50557.out --cpu 1 /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/135254at50557.hmm annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /home/justine/projet_tutore
# Date:            Sun Dec  1 20:03:01 2024
# [ok]
