#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
35385at50557_326594_0:000491|STRG.20875.1:136-1966|+   -            608 35385at50557         -            530  7.8e-292  967.9   0.7   1   1    1e-293  1.2e-291  967.3   0.7     5   530    26   608    24   608 0.94 -
35385at50557_37001_0:001231|STRG.5735.2:1182-2459|+    -            426 35385at50557         -            530   9.3e-74  248.2   0.1   1   1   9.9e-76   1.1e-73  248.0   0.1   127   477    54   426    27   426 0.87 -
35385at50557_37001_0:001231|STRG.5735.3:872-2149|+     -            426 35385at50557         -            530   9.3e-74  248.2   0.1   1   1   9.9e-76   1.1e-73  248.0   0.1   127   477    54   426    27   426 0.87 -
18450at50557_1155016_0:0026c2|STRG.16192.1:1130-2332|+ -            401 35385at50557         -            530   2.1e-73  247.1   0.0   1   1   2.2e-75   2.5e-73  246.8   0.0   126   483    10   400     2   401 0.85 -
18450at50557_1155016_0:0026c2|STRG.16192.2:1076-2278|+ -            401 35385at50557         -            530   2.1e-73  247.1   0.0   1   1   2.2e-75   2.5e-73  246.8   0.0   126   483    10   400     2   401 0.85 -
18450at50557_1155016_0:0026c2|STRG.16192.3:1022-2224|+ -            401 35385at50557         -            530   2.1e-73  247.1   0.0   1   1   2.2e-75   2.5e-73  246.8   0.0   126   483    10   400     2   401 0.85 -
18450at50557_1155016_0:0026c2|STRG.16192.4:1184-2386|+ -            401 35385at50557         -            530   2.1e-73  247.1   0.0   1   1   2.2e-75   2.5e-73  246.8   0.0   126   483    10   400     2   401 0.85 -
18450at50557_1155016_0:0026c2|STRG.16192.5:1130-2332|+ -            401 35385at50557         -            530   2.1e-73  247.1   0.0   1   1   2.2e-75   2.5e-73  246.8   0.0   126   483    10   400     2   401 0.85 -
18450at50557_144034_0:001371|STRG.15017.1:169-3258|+   -           1030 35385at50557         -            530   4.4e-71  239.4   0.0   1   1   7.3e-73   8.1e-71  238.5   0.0   126   489   365   751   338   764 0.85 -
18450at50557_144034_0:001371|STRG.15017.2:169-3267|+   -           1033 35385at50557         -            530   4.5e-71  239.4   0.0   1   1   7.3e-73   8.1e-71  238.5   0.0   126   489   368   754   341   767 0.85 -
35385at50557_37001_0:001231|STRG.3240.3:299-1378|+     -            360 35385at50557         -            530   3.4e-60  203.5   0.0   1   1   3.7e-62   4.1e-60  203.2   0.0   106   420    30   360    17   360 0.84 -
35385at50557_37001_0:001231|STRG.3240.6:236-1315|+     -            360 35385at50557         -            530   3.4e-60  203.5   0.0   1   1   3.7e-62   4.1e-60  203.2   0.0   106   420    30   360    17   360 0.84 -
35385at50557_37001_0:001231|STRG.9129.2:512-1704|+     -            360 35385at50557         -            530   1.1e-59  201.7   0.0   1   1   1.2e-61   1.4e-59  201.5   0.0   112   420    30   360    15   360 0.85 -
35385at50557_37001_0:001231|STRG.3240.5:220-1522|+     -            358 35385at50557         -            530   1.1e-58  198.5   0.0   1   1   1.2e-60   1.3e-58  198.2   0.0   106   420    30   358    17   358 0.84 -
43304at50557_568069_0:003ee6|STRG.15276.1:142-1434|+   -            431 35385at50557         -            530   8.3e-58  195.6   1.1   1   1   9.5e-60   1.1e-57  195.3   1.1   130   472    18   375     8   419 0.86 -
29312at50557_116153_0:001f21|STRG.20560.1:766-1905|+   -            380 35385at50557         -            530   2.7e-57  193.9   0.7   1   1   2.9e-59   3.2e-57  193.7   0.7   130   479     1   369     1   374 0.87 -
46658at50557_28612_0:0048c7|STRG.10682.1:138-1259|+    -            374 35385at50557         -            530   1.6e-55  188.1   0.0   1   1   1.9e-57   2.1e-55  187.7   0.0   130   470     6   364     2   372 0.84 -
46658at50557_28612_0:0048c7|STRG.10682.2:93-1214|+     -            374 35385at50557         -            530   1.6e-55  188.1   0.0   1   1   1.9e-57   2.1e-55  187.7   0.0   130   470     6   364     2   372 0.84 -
65449at50557_7237_0:000776|STRG.11123.1:357-1838|+     -            494 35385at50557         -            530   3.2e-52  177.2   0.0   1   1   3.8e-54   4.2e-52  176.8   0.0   135   450    11   345     3   370 0.83 -
46658at50557_211228_0:001f32|STRG.6659.1:227-1321|+    -            365 35385at50557         -            530   1.1e-51  175.4   1.6   1   1   1.2e-53   1.4e-51  175.1   1.6   131   470     1   355     1   364 0.85 -
46658at50557_211228_0:001f32|STRG.6659.2:227-1321|+    -            365 35385at50557         -            530   1.1e-51  175.4   1.6   1   1   1.2e-53   1.4e-51  175.1   1.6   131   470     1   355     1   364 0.85 -
68043at50557_34720_0:001307|STRG.4166.1:61-1737|+      -            559 35385at50557         -            530   1.2e-50  172.0   0.1   1   1   1.5e-52   1.7e-50  171.5   0.1   111   488   108   516    55   521 0.83 -
46658at50557_1155016_0:0008f1|STRG.11013.1:90-1193|+   -            368 35385at50557         -            530     5e-50  169.9   0.8   1   1   5.2e-52   5.8e-50  169.7   0.8   131   470     1   355     1   366 0.86 -
65449at50557_7237_0:000776|STRG.13829.2:21-1178|+      -            386 35385at50557         -            530   3.6e-49  167.1   0.3   1   1   5.1e-51   5.6e-49  166.4   0.3   130   462     2   355     1   366 0.80 -
65449at50557_7274_0:002e60|STRG.16378.1:264-1577|+     -            438 35385at50557         -            530   2.2e-48  164.5   0.0   1   1   2.4e-50   2.7e-48  164.2   0.0   132   449     2   338     1   360 0.85 -
46658at50557_219809_0:0017ae|STRG.5459.1:451-1869|+    -            473 35385at50557         -            530   1.4e-46  158.5   1.2   1   1   1.6e-48   1.8e-46  158.2   1.2   123   468    78   436    23   452 0.83 -
65449at50557_34720_0:000b83|STRG.8839.2:155-1915|+     -            587 35385at50557         -            530   4.5e-45  153.6   0.1   1   1   7.2e-47     8e-45  152.8   0.1   134   452    11   351     3   398 0.84 -
29312at50557_143948_0:00066e|STRG.9275.3:2915-3746|+   -            264 35385at50557         -            530   5.4e-44  150.0   0.8   1   2   2.8e-16   3.2e-14   51.8   0.0   251   342    37   130     6   133 0.84 -
29312at50557_143948_0:00066e|STRG.9275.3:2915-3746|+   -            264 35385at50557         -            530   5.4e-44  150.0   0.8   2   2   3.4e-30   3.8e-28   97.7   0.2   365   483   132   260   126   264 0.89 -
46658at50557_28612_0:0048c7|STRG.15422.1:204-1385|+    -            394 35385at50557         -            530   5.9e-44  149.9   2.0   1   1   6.6e-46   7.3e-44  149.6   2.0   129   469    16   375     3   386 0.83 -
46658at50557_28612_0:0048c7|STRG.15422.2:265-1446|+    -            394 35385at50557         -            530   5.9e-44  149.9   2.0   1   1   6.6e-46   7.3e-44  149.6   2.0   129   469    16   375     3   386 0.83 -
46658at50557_28612_0:0048c7|STRG.15422.3:78-1262|+     -            395 35385at50557         -            530   5.9e-44  149.9   2.0   1   1   6.6e-46   7.4e-44  149.6   2.0   129   469    16   375     3   386 0.83 -
46658at50557_28612_0:0048c7|STRG.15422.4:78-2450|+     -            395 35385at50557         -            530   5.9e-44  149.9   2.0   1   1   6.6e-46   7.4e-44  149.6   2.0   129   469    16   375     3   386 0.83 -
65449at50557_34720_0:000b83|STRG.8839.4:2-1917|+       -            556 35385at50557         -            530   2.6e-43  147.8   0.1   1   1     4e-45   4.4e-43  147.0   0.1   157   452     1   320     1   367 0.84 -
65449at50557_42026_0:002fbc|STRG.6494.1:1314-3122|+    -            603 35385at50557         -            530   1.8e-42  145.0   0.9   1   3   2.4e-28   2.7e-26   91.6   0.0   146   297     2   164     1   169 0.84 -
65449at50557_42026_0:002fbc|STRG.6494.1:1314-3122|+    -            603 35385at50557         -            530   1.8e-42  145.0   0.9   2   3      0.13        14    3.4   0.0   298   329   271   302   250   310 0.82 -
65449at50557_42026_0:002fbc|STRG.6494.1:1314-3122|+    -            603 35385at50557         -            530   1.8e-42  145.0   0.9   3   3   8.5e-15   9.4e-13   46.9   0.1   389   477   402   496   385   520 0.76 -
35385at50557_64838_0:000109|STRG.9275.1:3032-3716|+    -            212 35385at50557         -            530   4.7e-41  140.3   0.7   1   2   2.4e-15   2.7e-13   48.7   0.0   254   340     1    88     1    91 0.87 -
35385at50557_64838_0:000109|STRG.9275.1:3032-3716|+    -            212 35385at50557         -            530   4.7e-41  140.3   0.7   2   2   2.5e-28   2.8e-26   91.5   0.2   365   477    90   212    85   212 0.89 -
35385at50557_64838_0:000109|STRG.9275.4:2903-3587|+    -            212 35385at50557         -            530   4.7e-41  140.3   0.7   1   2   2.4e-15   2.7e-13   48.7   0.0   254   340     1    88     1    91 0.87 -
35385at50557_64838_0:000109|STRG.9275.4:2903-3587|+    -            212 35385at50557         -            530   4.7e-41  140.3   0.7   2   2   2.5e-28   2.8e-26   91.5   0.2   365   477    90   212    85   212 0.89 -
18450at50557_197043_0:00065e|STRG.13829.1:1090-2196|+  -            304 35385at50557         -            530   1.5e-40  138.6   0.0   1   2   2.2e-28   2.4e-26   91.8   0.0   128   291     1   168     1   192 0.86 -
18450at50557_197043_0:00065e|STRG.13829.1:1090-2196|+  -            304 35385at50557         -            530   1.5e-40  138.6   0.0   2   2   2.5e-14   2.8e-12   45.4   0.0   389   452   228   294   182   302 0.87 -
25910at50557_103372_0:001a63|STRG.10817.1:22-2205|+    -            728 35385at50557         -            530   1.8e-40  138.4   0.0   1   3     9e-08     1e-05   23.7   0.0   129   208     2    81     1    88 0.89 -
25910at50557_103372_0:001a63|STRG.10817.1:22-2205|+    -            728 35385at50557         -            530   1.8e-40  138.4   0.0   2   3   3.4e-18   3.8e-16   58.1   0.0   200   292   283   387   257   433 0.83 -
25910at50557_103372_0:001a63|STRG.10817.1:22-2205|+    -            728 35385at50557         -            530   1.8e-40  138.4   0.0   3   3   1.3e-16   1.4e-14   52.9   0.0   365   464   507   619   474   624 0.85 -
65449at50557_174628_0:0019f8|STRG.10682.3:114-1081|+   -            312 35385at50557         -            530   2.3e-39  134.7   0.1   1   2   1.2e-17   1.3e-15   56.4   0.0   133   256     2   129     1   130 0.84 -
65449at50557_174628_0:0019f8|STRG.10682.3:114-1081|+   -            312 35385at50557         -            530   2.3e-39  134.7   0.1   2   2   4.5e-24     5e-22   77.5   0.0   300   468   130   311   129   312 0.81 -
43304at50557_34720_0:00174e|STRG.7242.1:74-2281|+      -            736 35385at50557         -            530   3.8e-39  134.0   0.0   1   3   8.2e-11   9.1e-09   33.8   0.0   128   192   139   204   125   216 0.87 -
43304at50557_34720_0:00174e|STRG.7242.1:74-2281|+      -            736 35385at50557         -            530   3.8e-39  134.0   0.0   2   3   2.4e-13   2.7e-11   42.1   0.0   203   310   255   380   235   389 0.75 -
43304at50557_34720_0:00174e|STRG.7242.1:74-2281|+      -            736 35385at50557         -            530   3.8e-39  134.0   0.0   3   3   7.3e-17   8.1e-15   53.7   0.0   389   461   491   569   443   586 0.77 -
43304at50557_34720_0:00174e|STRG.7242.2:84-2291|+      -            736 35385at50557         -            530   3.8e-39  134.0   0.0   1   3   8.2e-11   9.1e-09   33.8   0.0   128   192   139   204   125   216 0.87 -
43304at50557_34720_0:00174e|STRG.7242.2:84-2291|+      -            736 35385at50557         -            530   3.8e-39  134.0   0.0   2   3   2.4e-13   2.7e-11   42.1   0.0   203   310   255   380   235   389 0.75 -
43304at50557_34720_0:00174e|STRG.7242.2:84-2291|+      -            736 35385at50557         -            530   3.8e-39  134.0   0.0   3   3   7.3e-17   8.1e-15   53.7   0.0   389   461   491   569   443   586 0.77 -
41619at50557_34720_0:0004fb|STRG.2989.1:116-1981|+     -            544 35385at50557         -            530   7.3e-38  129.8   0.3   1   2   3.8e-30   4.3e-28   97.6   0.1   126   327     9   221     3   272 0.87 -
41619at50557_34720_0:0004fb|STRG.2989.1:116-1981|+     -            544 35385at50557         -            530   7.3e-38  129.8   0.3   2   2   8.3e-10   9.2e-08   30.4   0.0   417   495   341   427   323   463 0.79 -
41619at50557_34720_0:0004fb|STRG.2989.2:91-1722|+      -            544 35385at50557         -            530   7.3e-38  129.8   0.3   1   2   3.8e-30   4.3e-28   97.6   0.1   126   327     9   221     3   272 0.87 -
41619at50557_34720_0:0004fb|STRG.2989.2:91-1722|+      -            544 35385at50557         -            530   7.3e-38  129.8   0.3   2   2   8.3e-10   9.2e-08   30.4   0.0   417   495   341   427   323   463 0.79 -
65449at50557_103372_0:002499|STRG.8839.5:2-583|+       -            194 35385at50557         -            530   5.9e-31  107.0   0.0   1   1     6e-33   6.6e-31  106.8   0.0   157   330     1   186     1   193 0.88 -
123578at50557_7168_0:0013fb|STRG.11753.1:402-1766|+    -            455 35385at50557         -            530   1.2e-30  106.0   0.1   1   1   2.3e-32   2.6e-30  104.9   0.1   124   452    67   428    48   445 0.80 -
46658at50557_7260_0:0034ab|STRG.9385.1:516-1625|+      -            370 35385at50557         -            530   1.1e-29  102.7   0.3   1   1   1.4e-31   1.6e-29  102.3   0.3   133   462     3   352     1   364 0.80 -
46658at50557_7260_0:0034ab|STRG.9385.2:395-1504|+      -            370 35385at50557         -            530   1.1e-29  102.7   0.3   1   1   1.4e-31   1.6e-29  102.3   0.3   133   462     3   352     1   364 0.80 -
46658at50557_7260_0:0034ab|STRG.9385.3:437-1546|+      -            370 35385at50557         -            530   1.1e-29  102.7   0.3   1   1   1.4e-31   1.6e-29  102.3   0.3   133   462     3   352     1   364 0.80 -
29312at50557_29031_0:001a6d|STRG.10391.1:61-610|+      -            178 35385at50557         -            530   1.3e-29  102.5   0.6   1   1   1.3e-31   1.5e-29  102.4   0.6   270   438     2   178     1   178 0.88 -
29312at50557_29031_0:001a6d|STRG.10391.2:61-610|+      -            178 35385at50557         -            530   1.3e-29  102.5   0.6   1   1   1.3e-31   1.5e-29  102.4   0.6   270   438     2   178     1   178 0.88 -
29312at50557_29031_0:001a6d|STRG.10391.3:282-831|+     -            178 35385at50557         -            530   1.3e-29  102.5   0.6   1   1   1.3e-31   1.5e-29  102.4   0.6   270   438     2   178     1   178 0.88 -
43304at50557_34720_0:00174e|STRG.7242.3:50-1703|+      -            529 35385at50557         -            530   3.1e-27   94.7   5.7   1   2   1.2e-13   1.3e-11   43.2   0.0   203   310    48   173    27   226 0.80 -
43304at50557_34720_0:00174e|STRG.7242.3:50-1703|+      -            529 35385at50557         -            530   3.1e-27   94.7   5.7   2   2   4.2e-17   4.7e-15   54.5   0.0   389   461   284   362   229   379 0.77 -
35385at50557_1155016_0:002498|STRG.9275.2:90-455|+     -            122 35385at50557         -            530   1.6e-26   92.3   0.3   1   1   1.6e-28   1.8e-26   92.2   0.3   366   477     1   122     1   122 0.90 -
57791at50557_34720_0:001e64|STRG.10191.1:98-2086|+     -            663 35385at50557         -            530   3.5e-25   87.9   2.1   1   2   9.9e-12   1.1e-09   36.8   0.4   165   282   236   367    23   426 0.75 -
57791at50557_34720_0:001e64|STRG.10191.1:98-2086|+     -            663 35385at50557         -            530   3.5e-25   87.9   2.1   2   2   7.7e-16   8.5e-14   50.3   0.1   397   522   520   651   464   660 0.73 -
57791at50557_34720_0:001e64|STRG.10191.2:92-2080|+     -            663 35385at50557         -            530   3.5e-25   87.9   2.1   1   2   9.9e-12   1.1e-09   36.8   0.4   165   282   236   367    23   426 0.75 -
57791at50557_34720_0:001e64|STRG.10191.2:92-2080|+     -            663 35385at50557         -            530   3.5e-25   87.9   2.1   2   2   7.7e-16   8.5e-14   50.3   0.1   397   522   520   651   464   660 0.73 -
57791at50557_34720_0:001e64|STRG.10191.3:69-2057|+     -            663 35385at50557         -            530   3.5e-25   87.9   2.1   1   2   9.9e-12   1.1e-09   36.8   0.4   165   282   236   367    23   426 0.75 -
57791at50557_34720_0:001e64|STRG.10191.3:69-2057|+     -            663 35385at50557         -            530   3.5e-25   87.9   2.1   2   2   7.7e-16   8.5e-14   50.3   0.1   397   522   520   651   464   660 0.73 -
57791at50557_34720_0:001e64|STRG.10191.4:94-2082|+     -            663 35385at50557         -            530   3.5e-25   87.9   2.1   1   2   9.9e-12   1.1e-09   36.8   0.4   165   282   236   367    23   426 0.75 -
57791at50557_34720_0:001e64|STRG.10191.4:94-2082|+     -            663 35385at50557         -            530   3.5e-25   87.9   2.1   2   2   7.7e-16   8.5e-14   50.3   0.1   397   522   520   651   464   660 0.73 -
29312at50557_29031_0:001a6d|STRG.10682.3:509-1057|+    -            183 35385at50557         -            530   1.6e-22   79.2   0.0   1   1   1.6e-24   1.8e-22   79.0   0.0   299   456     8   175     5   183 0.83 -
46658at50557_56086_0:000311|STRG.11371.1:177-671|+     -            165 35385at50557         -            530   2.5e-14   52.1   0.4   1   1   2.5e-16   2.8e-14   51.9   0.4   129   275    15   164     2   165 0.81 -
65449at50557_42026_0:002fbc|STRG.11027.2:784-2195|+    -            351 35385at50557         -            530   2.8e-14   51.9   0.1   1   3   8.5e-11   9.5e-09   33.7   0.0   141   215    18    90     3    96 0.88 -
65449at50557_42026_0:002fbc|STRG.11027.2:784-2195|+    -            351 35385at50557         -            530   2.8e-14   51.9   0.1   2   3     0.064       7.2    4.4   0.0   247   291    96   142    90   150 0.81 -
65449at50557_42026_0:002fbc|STRG.11027.2:784-2195|+    -            351 35385at50557         -            530   2.8e-14   51.9   0.1   3   3   0.00099      0.11   10.4   0.0   428   450   202   224   193   258 0.84 -
65449at50557_42026_0:002fbc|STRG.11027.4:491-1902|+    -            351 35385at50557         -            530   2.8e-14   51.9   0.1   1   3   8.5e-11   9.5e-09   33.7   0.0   141   215    18    90     3    96 0.88 -
65449at50557_42026_0:002fbc|STRG.11027.4:491-1902|+    -            351 35385at50557         -            530   2.8e-14   51.9   0.1   2   3     0.064       7.2    4.4   0.0   247   291    96   142    90   150 0.81 -
65449at50557_42026_0:002fbc|STRG.11027.4:491-1902|+    -            351 35385at50557         -            530   2.8e-14   51.9   0.1   3   3   0.00099      0.11   10.4   0.0   428   450   202   224   193   258 0.84 -
65449at50557_42026_0:002fbc|STRG.11027.5:487-1898|+    -            351 35385at50557         -            530   2.8e-14   51.9   0.1   1   3   8.5e-11   9.5e-09   33.7   0.0   141   215    18    90     3    96 0.88 -
65449at50557_42026_0:002fbc|STRG.11027.5:487-1898|+    -            351 35385at50557         -            530   2.8e-14   51.9   0.1   2   3     0.064       7.2    4.4   0.0   247   291    96   142    90   150 0.81 -
65449at50557_42026_0:002fbc|STRG.11027.5:487-1898|+    -            351 35385at50557         -            530   2.8e-14   51.9   0.1   3   3   0.00099      0.11   10.4   0.0   428   450   202   224   193   258 0.84 -
65449at50557_42026_0:002fbc|STRG.11027.6:278-1592|+    -            382 35385at50557         -            530   3.2e-13   48.5   0.3   1   3   8.7e-11   9.7e-09   33.7   0.0   141   215    18    90     3    99 0.88 -
65449at50557_42026_0:002fbc|STRG.11027.6:278-1592|+    -            382 35385at50557         -            530   3.2e-13   48.5   0.3   2   3     0.078       8.7    4.1   0.0   247   291    96   142    91   150 0.81 -
65449at50557_42026_0:002fbc|STRG.11027.6:278-1592|+    -            382 35385at50557         -            530   3.2e-13   48.5   0.3   3   3     0.008      0.89    7.4   0.0   430   450   235   255   177   285 0.84 -
65449at50557_34720_0:000b83|STRG.8839.1:326-1258|+     -            311 35385at50557         -            530   2.4e-09   35.7   0.0   1   1   2.2e-11   2.4e-09   35.7   0.0   391   452    11    75     5   124 0.82 -
65449at50557_34720_0:000b83|STRG.8839.3:965-1897|+     -            311 35385at50557         -            530   2.4e-09   35.7   0.0   1   1   2.2e-11   2.4e-09   35.7   0.0   391   452    11    75     5   124 0.82 -
19244at50557_34720_0:002014|STRG.597.1:97-4662|+       -           1522 35385at50557         -            530   1.2e-05   23.5   0.0   1   2      0.74        83    0.9   0.0   143   189   820   866   789   877 0.82 -
19244at50557_34720_0:002014|STRG.597.1:97-4662|+       -           1522 35385at50557         -            530   1.2e-05   23.5   0.0   2   2   1.4e-06   0.00016   19.8   0.0   408   468  1119  1182  1096  1212 0.78 -
19244at50557_29053_0:002948|STRG.8686.1:1687-2874|+    -            396 35385at50557         -            530   2.1e-05   22.6   0.1   1   2       0.1        11    3.8   0.0   153   188     8    43     3    55 0.89 -
19244at50557_29053_0:002948|STRG.8686.1:1687-2874|+    -            396 35385at50557         -            530   2.1e-05   22.6   0.1   2   2   1.2e-05    0.0013   16.7   0.0   409   494   280   368   250   380 0.78 -
19244at50557_29053_0:002948|STRG.8686.2:1660-2847|+    -            396 35385at50557         -            530   2.1e-05   22.6   0.1   1   2       0.1        11    3.8   0.0   153   188     8    43     3    55 0.89 -
19244at50557_29053_0:002948|STRG.8686.2:1660-2847|+    -            396 35385at50557         -            530   2.1e-05   22.6   0.1   2   2   1.2e-05    0.0013   16.7   0.0   409   494   280   368   250   380 0.78 -
19244at50557_116153_0:001e22|STRG.4938.2:129-1178|+    -            350 35385at50557         -            530   0.00067   17.7   0.0   1   2     0.021       2.3    6.0   0.0   154   193    17    55    13    71 0.78 -
19244at50557_116153_0:001e22|STRG.4938.2:129-1178|+    -            350 35385at50557         -            530   0.00067   17.7   0.0   2   2     0.002      0.23    9.4   0.0   367   451   251   342   244   346 0.79 -
19244at50557_116153_0:001e22|STRG.2984.6:471-1406|+    -            312 35385at50557         -            530    0.0026   15.7   0.1   1   2      0.48        53    1.5   0.0   164   189     2    27     1   122 0.90 -
19244at50557_116153_0:001e22|STRG.2984.6:471-1406|+    -            312 35385at50557         -            530    0.0026   15.7   0.1   2   2   0.00026     0.029   12.3   0.0   407   451   263   307   239   311 0.90 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/35385at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/35385at50557.out --cpu 1 /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/35385at50557.hmm annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /home/justine/projet_tutore
# Date:            Sun Dec  1 20:05:39 2024
# [ok]
