#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
54603at50557_103372_0:00290d|STRG.7595.1:75-1919|+     -            615 54603at50557         -            483    6e-232  769.4  24.4   1   1  1.1e-233  7.7e-232  769.0  24.4     1   481    96   613    96   615 0.95 -
54603at50557_217634_0:0030bb|STRG.16414.1:512-1612|+   -            367 54603at50557         -            483   7.4e-56  188.7  36.0   2   4   1.8e-22   1.3e-20   72.4   3.1   336   435   142   243   141   247 0.94 -
54603at50557_217634_0:0030bb|STRG.16414.1:512-1612|+   -            367 54603at50557         -            483   7.4e-56  188.7  36.0   3   4   5.9e-18   4.3e-16   57.5   9.5   339   435   237   335   234   338 0.94 -
54603at50557_217634_0:0030bb|STRG.16414.1:512-1612|+   -            367 54603at50557         -            483   7.4e-56  188.7  36.0   4   4     5e-05    0.0036   14.9   0.0   163   201   326   364   324   367 0.74 -
54603at50557_217634_0:0030bb|STRG.16414.2:512-1612|+   -            367 54603at50557         -            483   7.4e-56  188.7  36.0   1   4   1.8e-24   1.3e-22   79.0   5.2   271   431    27   193    21   195 0.91 -
54603at50557_217634_0:0030bb|STRG.16414.2:512-1612|+   -            367 54603at50557         -            483   7.4e-56  188.7  36.0   2   4   1.8e-22   1.3e-20   72.4   3.1   336   435   142   243   141   247 0.94 -
54603at50557_217634_0:0030bb|STRG.16414.2:512-1612|+   -            367 54603at50557         -            483   7.4e-56  188.7  36.0   3   4   5.9e-18   4.3e-16   57.5   9.5   339   435   237   335   234   338 0.94 -
54603at50557_217634_0:0030bb|STRG.16414.2:512-1612|+   -            367 54603at50557         -            483   7.4e-56  188.7  36.0   4   4     5e-05    0.0036   14.9   0.0   163   201   326   364   324   367 0.74 -
54603at50557_217634_0:0030bb|STRG.16414.3:512-1612|+   -            367 54603at50557         -            483   7.4e-56  188.7  36.0   1   4   1.8e-24   1.3e-22   79.0   5.2   271   431    27   193    21   195 0.91 -
54603at50557_217634_0:0030bb|STRG.16414.3:512-1612|+   -            367 54603at50557         -            483   7.4e-56  188.7  36.0   2   4   1.8e-22   1.3e-20   72.4   3.1   336   435   142   243   141   247 0.94 -
54603at50557_217634_0:0030bb|STRG.16414.3:512-1612|+   -            367 54603at50557         -            483   7.4e-56  188.7  36.0   3   4   5.9e-18   4.3e-16   57.5   9.5   339   435   237   335   234   338 0.94 -
54603at50557_217634_0:0030bb|STRG.16414.3:512-1612|+   -            367 54603at50557         -            483   7.4e-56  188.7  36.0   4   4     5e-05    0.0036   14.9   0.0   163   201   326   364   324   367 0.74 -
54603at50557_217634_0:0030bb|STRG.16414.4:512-1612|+   -            367 54603at50557         -            483   7.4e-56  188.7  36.0   1   4   1.8e-24   1.3e-22   79.0   5.2   271   431    27   193    21   195 0.91 -
54603at50557_217634_0:0030bb|STRG.16414.4:512-1612|+   -            367 54603at50557         -            483   7.4e-56  188.7  36.0   2   4   1.8e-22   1.3e-20   72.4   3.1   336   435   142   243   141   247 0.94 -
54603at50557_217634_0:0030bb|STRG.16414.4:512-1612|+   -            367 54603at50557         -            483   7.4e-56  188.7  36.0   3   4   5.9e-18   4.3e-16   57.5   9.5   339   435   237   335   234   338 0.94 -
54603at50557_217634_0:0030bb|STRG.16414.4:512-1612|+   -            367 54603at50557         -            483   7.4e-56  188.7  36.0   4   4     5e-05    0.0036   14.9   0.0   163   201   326   364   324   367 0.74 -
54603at50557_217634_0:0030bb|STRG.16414.5:136-1236|+   -            367 54603at50557         -            483   7.4e-56  188.7  36.0   1   4   1.8e-24   1.3e-22   79.0   5.2   271   431    27   193    21   195 0.91 -
54603at50557_217634_0:0030bb|STRG.16414.5:136-1236|+   -            367 54603at50557         -            483   7.4e-56  188.7  36.0   2   4   1.8e-22   1.3e-20   72.4   3.1   336   435   142   243   141   247 0.94 -
54603at50557_217634_0:0030bb|STRG.16414.5:136-1236|+   -            367 54603at50557         -            483   7.4e-56  188.7  36.0   3   4   5.9e-18   4.3e-16   57.5   9.5   339   435   237   335   234   338 0.94 -
54603at50557_217634_0:0030bb|STRG.16414.5:136-1236|+   -            367 54603at50557         -            483   7.4e-56  188.7  36.0   4   4     5e-05    0.0036   14.9   0.0   163   201   326   364   324   367 0.74 -
54603at50557_217634_0:0030bb|STRG.16414.6:136-1236|+   -            367 54603at50557         -            483   7.4e-56  188.7  36.0   1   4   1.8e-24   1.3e-22   79.0   5.2   271   431    27   193    21   195 0.91 -
54603at50557_217634_0:0030bb|STRG.16414.6:136-1236|+   -            367 54603at50557         -            483   7.4e-56  188.7  36.0   2   4   1.8e-22   1.3e-20   72.4   3.1   336   435   142   243   141   247 0.94 -
54603at50557_217634_0:0030bb|STRG.16414.6:136-1236|+   -            367 54603at50557         -            483   7.4e-56  188.7  36.0   3   4   5.9e-18   4.3e-16   57.5   9.5   339   435   237   335   234   338 0.94 -
54603at50557_217634_0:0030bb|STRG.16414.6:136-1236|+   -            367 54603at50557         -            483   7.4e-56  188.7  36.0   4   4     5e-05    0.0036   14.9   0.0   163   201   326   364   324   367 0.74 -
54603at50557_217634_0:0030bb|STRG.16414.7:136-1236|+   -            367 54603at50557         -            483   7.4e-56  188.7  36.0   1   4   1.8e-24   1.3e-22   79.0   5.2   271   431    27   193    21   195 0.91 -
54603at50557_217634_0:0030bb|STRG.16414.7:136-1236|+   -            367 54603at50557         -            483   7.4e-56  188.7  36.0   2   4   1.8e-22   1.3e-20   72.4   3.1   336   435   142   243   141   247 0.94 -
54603at50557_217634_0:0030bb|STRG.16414.7:136-1236|+   -            367 54603at50557         -            483   7.4e-56  188.7  36.0   3   4   5.9e-18   4.3e-16   57.5   9.5   339   435   237   335   234   338 0.94 -
54603at50557_217634_0:0030bb|STRG.16414.7:136-1236|+   -            367 54603at50557         -            483   7.4e-56  188.7  36.0   4   4     5e-05    0.0036   14.9   0.0   163   201   326   364   324   367 0.74 -
54603at50557_116153_0:001d7a|STRG.19225.1:463-1908|+   -            482 54603at50557         -            483   6.4e-47  159.2  40.7   1   5   4.4e-18   3.2e-16   58.0   8.2   334   429    14   111     2   111 0.93 -
54603at50557_116153_0:001d7a|STRG.19225.1:463-1908|+   -            482 54603at50557         -            483   6.4e-47  159.2  40.7   2   5     3e-08   2.2e-06   25.5   0.3    66   119    92   145    90   148 0.94 -
54603at50557_116153_0:001d7a|STRG.19225.1:463-1908|+   -            482 54603at50557         -            483   6.4e-47  159.2  40.7   3   5   2.1e-16   1.5e-14   52.4   8.0   298   435   111   254   111   275 0.87 -
54603at50557_116153_0:001d7a|STRG.19225.1:463-1908|+   -            482 54603at50557         -            483   6.4e-47  159.2  40.7   4   5   1.4e-06    0.0001   20.0   0.1   141   205   311   376   302   379 0.78 -
54603at50557_116153_0:001d7a|STRG.19225.1:463-1908|+   -            482 54603at50557         -            483   6.4e-47  159.2  40.7   5   5   5.6e-12   4.1e-10   37.8   5.4   336   433   381   481   378   482 0.92 -
54603at50557_116153_0:001d7a|STRG.19225.3:316-1761|+   -            482 54603at50557         -            483   6.4e-47  159.2  40.7   1   5   4.4e-18   3.2e-16   58.0   8.2   334   429    14   111     2   111 0.93 -
54603at50557_116153_0:001d7a|STRG.19225.3:316-1761|+   -            482 54603at50557         -            483   6.4e-47  159.2  40.7   2   5     3e-08   2.2e-06   25.5   0.3    66   119    92   145    90   148 0.94 -
54603at50557_116153_0:001d7a|STRG.19225.3:316-1761|+   -            482 54603at50557         -            483   6.4e-47  159.2  40.7   3   5   2.1e-16   1.5e-14   52.4   8.0   298   435   111   254   111   275 0.87 -
54603at50557_116153_0:001d7a|STRG.19225.3:316-1761|+   -            482 54603at50557         -            483   6.4e-47  159.2  40.7   4   5   1.4e-06    0.0001   20.0   0.1   141   205   311   376   302   379 0.78 -
54603at50557_116153_0:001d7a|STRG.19225.3:316-1761|+   -            482 54603at50557         -            483   6.4e-47  159.2  40.7   5   5   5.6e-12   4.1e-10   37.8   5.4   336   433   381   481   378   482 0.92 -
8280at50557_83485_0:001d33|STRG.19517.1:212-3646|+     -           1145 54603at50557         -            483   5.8e-43  146.1  54.9   1   8   3.4e-10   2.5e-08   31.9   2.0    77   416   101   235    57   246 0.50 -
8280at50557_83485_0:001d33|STRG.19517.1:212-3646|+     -           1145 54603at50557         -            483   5.8e-43  146.1  54.9   2   8   6.8e-09     5e-07   27.6   2.9   334   435   243   350   235   355 0.71 -
8280at50557_83485_0:001d33|STRG.19517.1:212-3646|+     -           1145 54603at50557         -            483   5.8e-43  146.1  54.9   3   8     0.001     0.073   10.6   0.0   270   326   365   421   355   421 0.87 -
8280at50557_83485_0:001d33|STRG.19517.1:212-3646|+     -           1145 54603at50557         -            483   5.8e-43  146.1  54.9   4   8   6.2e-12   4.5e-10   37.7   0.5   271   416   414   575   405   578 0.80 -
8280at50557_83485_0:001d33|STRG.19517.1:212-3646|+     -           1145 54603at50557         -            483   5.8e-43  146.1  54.9   5   8   9.2e-06   0.00067   17.3   3.7    75   221   555   717   537   720 0.67 -
8280at50557_83485_0:001d33|STRG.19517.1:212-3646|+     -           1145 54603at50557         -            483   5.8e-43  146.1  54.9   6   8   2.7e-09     2e-07   29.0   0.4    39   120   705   790   696   801 0.83 -
8280at50557_83485_0:001d33|STRG.19517.1:212-3646|+     -           1145 54603at50557         -            483   5.8e-43  146.1  54.9   7   8   9.4e-08   6.8e-06   23.9  10.5   252   435   780   970   778   997 0.76 -
8280at50557_83485_0:001d33|STRG.19517.1:212-3646|+     -           1145 54603at50557         -            483   5.8e-43  146.1  54.9   8   8       1.5   1.1e+02    0.1   0.1    92   123  1078  1106  1017  1115 0.55 -
7376at50557_121225_0:001986|STRG.17997.1:659-3043|+    -            795 54603at50557         -            483   8.6e-38  129.1  37.4   1   7    0.0076      0.56    7.7   0.0    79   121    16    59     9    65 0.80 -
7376at50557_121225_0:001986|STRG.17997.1:659-3043|+    -            795 54603at50557         -            483   8.6e-38  129.1  37.4   2   7   2.2e-07   1.6e-05   22.7   0.3    76   138    65   129    59   132 0.88 -
7376at50557_121225_0:001986|STRG.17997.1:659-3043|+    -            795 54603at50557         -            483   8.6e-38  129.1  37.4   3   7   1.2e-21   8.8e-20   69.7  11.3    56   306   116   372   112   376 0.83 -
7376at50557_121225_0:001986|STRG.17997.1:659-3043|+    -            795 54603at50557         -            483   8.6e-38  129.1  37.4   4   7   7.7e-08   5.6e-06   24.2   0.4   355   415   358   420   357   425 0.92 -
7376at50557_121225_0:001986|STRG.17997.1:659-3043|+    -            795 54603at50557         -            483   8.6e-38  129.1  37.4   5   7   0.00012    0.0084   13.7   1.1   229   308   437   514   422   519 0.90 -
7376at50557_121225_0:001986|STRG.17997.1:659-3043|+    -            795 54603at50557         -            483   8.6e-38  129.1  37.4   6   7   2.8e-06    0.0002   19.0   0.3   316   433   633   758   626   760 0.79 -
7376at50557_121225_0:001986|STRG.17997.1:659-3043|+    -            795 54603at50557         -            483   8.6e-38  129.1  37.4   7   7     0.011      0.81    7.2   0.1   271   308   727   764   719   780 0.64 -
25718at50557_197043_0:00510d|STRG.6539.2:86-1765|+     -            560 54603at50557         -            483   1.5e-36  125.0  32.2   1   4   2.6e-07   1.9e-05   22.4   0.7   337   420     2    90     1    97 0.78 -
25718at50557_197043_0:00510d|STRG.6539.2:86-1765|+     -            560 54603at50557         -            483   1.5e-36  125.0  32.2   2   4    0.0001    0.0075   13.8   0.2   271   307    97   133    91   137 0.93 -
25718at50557_197043_0:00510d|STRG.6539.2:86-1765|+     -            560 54603at50557         -            483   1.5e-36  125.0  32.2   3   4     2e-17   1.4e-15   55.8   6.6    46   221   155   351   150   375 0.79 -
25718at50557_197043_0:00510d|STRG.6539.2:86-1765|+     -            560 54603at50557         -            483   1.5e-36  125.0  32.2   4   4   8.4e-14   6.1e-12   43.8   5.5    55   179   383   522   363   538 0.82 -
25718at50557_219809_0:00105d|STRG.14999.1:515-3139|+   -            875 54603at50557         -            483   2.8e-36  124.1  55.6   1   6   1.6e-14   1.2e-12   46.2  18.9    36   308   148   450    95   458 0.49 -
25718at50557_219809_0:00105d|STRG.14999.1:515-3139|+   -            875 54603at50557         -            483   2.8e-36  124.1  55.6   2   6   6.3e-13   4.6e-11   40.9   5.7   273   415   343   497   340   501 0.55 -
25718at50557_219809_0:00105d|STRG.14999.1:515-3139|+   -            875 54603at50557         -            483   2.8e-36  124.1  55.6   3   6   4.1e-11     3e-09   35.0   2.8   271   416   461   616   453   620 0.84 -
25718at50557_219809_0:00105d|STRG.14999.1:515-3139|+   -            875 54603at50557         -            483   2.8e-36  124.1  55.6   4   6     0.013      0.94    6.9   0.2   271   310   627   666   621   672 0.88 -
25718at50557_219809_0:00105d|STRG.14999.1:515-3139|+   -            875 54603at50557         -            483   2.8e-36  124.1  55.6   5   6   1.8e-06   0.00013   19.6   2.9   140   201   648   717   647   748 0.76 -
25718at50557_219809_0:00105d|STRG.14999.1:515-3139|+   -            875 54603at50557         -            483   2.8e-36  124.1  55.6   6   6   5.6e-07   4.1e-05   21.3   5.0   273   372   732   841   730   850 0.76 -
25718at50557_219809_0:00105d|STRG.14999.2:276-2954|+   -            893 54603at50557         -            483   2.9e-36  124.1  55.3   1   6   1.7e-14   1.3e-12   46.1  18.9    36   308   166   468   111   476 0.49 -
25718at50557_219809_0:00105d|STRG.14999.2:276-2954|+   -            893 54603at50557         -            483   2.9e-36  124.1  55.3   2   6   3.2e-13   2.3e-11   41.9   5.5   273   416   361   516   357   528 0.54 -
25718at50557_219809_0:00105d|STRG.14999.2:276-2954|+   -            893 54603at50557         -            483   2.9e-36  124.1  55.3   3   6   4.5e-11   3.3e-09   34.8   2.8   271   416   479   634   474   642 0.84 -
25718at50557_219809_0:00105d|STRG.14999.2:276-2954|+   -            893 54603at50557         -            483   2.9e-36  124.1  55.3   4   6     0.014         1    6.8   0.3   271   310   645   684   639   688 0.88 -
25718at50557_219809_0:00105d|STRG.14999.2:276-2954|+   -            893 54603at50557         -            483   2.9e-36  124.1  55.3   5   6   1.6e-06   0.00012   19.8   2.7   140   201   666   735   665   766 0.76 -
25718at50557_219809_0:00105d|STRG.14999.2:276-2954|+   -            893 54603at50557         -            483   2.9e-36  124.1  55.3   6   6   4.6e-05    0.0034   15.0   1.1   334   373   819   860   814   868 0.86 -
54603at50557_224129_0:0029b4|STRG.12913.1:12-1205|+    -            398 54603at50557         -            483   1.8e-33  114.9  36.4   1   3   1.3e-16   9.5e-15   53.1  12.3    53   196    25   182    20   186 0.87 -
54603at50557_224129_0:0029b4|STRG.12913.1:12-1205|+    -            398 54603at50557         -            483   1.8e-33  114.9  36.4   2   3   1.4e-18     1e-16   59.6  11.3   268   428   169   340   165   341 0.88 -
54603at50557_224129_0:0029b4|STRG.12913.1:12-1205|+    -            398 54603at50557         -            483   1.8e-33  114.9  36.4   3   3   1.6e-08   1.2e-06   26.4   0.1   352   414   309   372   305   383 0.64 -
8280at50557_166423_0:002d2f|STRG.10611.1:452-3613|+    -            868 54603at50557         -            483   5.1e-33  113.4  50.7   1   6   9.4e-06   0.00068   17.3   0.2   347   418    61   135    52   136 0.86 -
8280at50557_166423_0:002d2f|STRG.10611.1:452-3613|+    -            868 54603at50557         -            483   5.1e-33  113.4  50.7   2   6   4.8e-16   3.5e-14   51.2  20.5    40   415   122   529   116   530 0.71 -
8280at50557_166423_0:002d2f|STRG.10611.1:452-3613|+    -            868 54603at50557         -            483   5.1e-33  113.4  50.7   3   6   0.00051     0.037   11.6   5.9   270   415   440   603   419   607 0.76 -
8280at50557_166423_0:002d2f|STRG.10611.1:452-3613|+    -            868 54603at50557         -            483   5.1e-33  113.4  50.7   4   6   1.8e-06   0.00013   19.7   6.7   280   416   502   652   492   674 0.62 -
8280at50557_166423_0:002d2f|STRG.10611.1:452-3613|+    -            868 54603at50557         -            483   5.1e-33  113.4  50.7   5   6    0.0012     0.089   10.3   0.3   102   139   696   735   663   742 0.69 -
8280at50557_166423_0:002d2f|STRG.10611.1:452-3613|+    -            868 54603at50557         -            483   5.1e-33  113.4  50.7   6   6     7e-12   5.1e-10   37.5   5.7    81   202   723   861   719   868 0.79 -
25718at50557_2015173_0:002260|STRG.12948.1:406-2958|+  -            851 54603at50557         -            483     3e-32  110.8  37.8   1   5   2.2e-06   0.00016   19.3   1.1    92   200    55   164     8   167 0.82 -
25718at50557_2015173_0:002260|STRG.12948.1:406-2958|+  -            851 54603at50557         -            483     3e-32  110.8  37.8   2   5   7.8e-15   5.7e-13   47.2   9.8    40   230   127   343   115   346 0.82 -
25718at50557_2015173_0:002260|STRG.12948.1:406-2958|+  -            851 54603at50557         -            483     3e-32  110.8  37.8   3   5   2.9e-08   2.1e-06   25.6   0.3    81   155   343   427   341   434 0.81 -
25718at50557_2015173_0:002260|STRG.12948.1:406-2958|+  -            851 54603at50557         -            483     3e-32  110.8  37.8   4   5     1e-05   0.00073   17.2   6.7    54   221   386   567   382   572 0.77 -
25718at50557_2015173_0:002260|STRG.12948.1:406-2958|+  -            851 54603at50557         -            483     3e-32  110.8  37.8   5   5   5.1e-10   3.7e-08   31.4   0.6    40   173   688   823   680   831 0.85 -
25718at50557_54969_0:001d6b|STRG.17973.1:934-3381|+    -            816 54603at50557         -            483   1.9e-31  108.1  41.2   1   9     0.043       3.1    5.2   0.2   164   200     2    39     1    45 0.57 -
25718at50557_54969_0:001d6b|STRG.17973.1:934-3381|+    -            816 54603at50557         -            483   1.9e-31  108.1  41.2   2   9   1.6e-05    0.0012   16.5   0.3    78   137    50   111    41   112 0.88 -
25718at50557_54969_0:001d6b|STRG.17973.1:934-3381|+    -            816 54603at50557         -            483   1.9e-31  108.1  41.2   3   9   3.3e-07   2.4e-05   22.1   2.5    54   138    97   186    89   195 0.84 -
25718at50557_54969_0:001d6b|STRG.17973.1:934-3381|+    -            816 54603at50557         -            483   1.9e-31  108.1  41.2   4   9     2e-06   0.00015   19.5   4.1    57   139   124   211   122   215 0.87 -
25718at50557_54969_0:001d6b|STRG.17973.1:934-3381|+    -            816 54603at50557         -            483   1.9e-31  108.1  41.2   5   9   4.1e-05     0.003   15.2   0.1   270   307   199   236   195   243 0.91 -
25718at50557_54969_0:001d6b|STRG.17973.1:934-3381|+    -            816 54603at50557         -            483   1.9e-31  108.1  41.2   6   9   4.1e-10     3e-08   31.7   2.5    56   156   245   356   238   361 0.81 -
25718at50557_54969_0:001d6b|STRG.17973.1:934-3381|+    -            816 54603at50557         -            483   1.9e-31  108.1  41.2   7   9     6e-06   0.00043   17.9   0.4   340   414   323   401   318   416 0.81 -
25718at50557_54969_0:001d6b|STRG.17973.1:934-3381|+    -            816 54603at50557         -            483   1.9e-31  108.1  41.2   8   9    0.0017      0.12    9.9   0.3   270   308   458   496   452   501 0.93 -
25718at50557_54969_0:001d6b|STRG.17973.1:934-3381|+    -            816 54603at50557         -            483   1.9e-31  108.1  41.2   9   9   1.3e-06   9.4e-05   20.1   0.1    40   153   617   742   612   749 0.81 -
54603at50557_13249_0:001070|STRG.15215.2:267-1484|+    -            406 54603at50557         -            483   5.7e-28   96.7  33.1   1   5   9.8e-11   7.1e-09   33.7   6.8   341   420     3    84     1    94 0.90 -
54603at50557_13249_0:001070|STRG.15215.2:267-1484|+    -            406 54603at50557         -            483   5.7e-28   96.7  33.1   2   5   0.00065     0.047   11.2   4.7   139   206   110   177   103   190 0.72 -
54603at50557_13249_0:001070|STRG.15215.2:267-1484|+    -            406 54603at50557         -            483   5.7e-28   96.7  33.1   3   5   3.2e-05    0.0023   15.5   0.2   142   202   176   238   169   241 0.82 -
54603at50557_13249_0:001070|STRG.15215.2:267-1484|+    -            406 54603at50557         -            483   5.7e-28   96.7  33.1   4   5   2.3e-11   1.6e-09   35.8   1.5   335   435   221   330   217   339 0.89 -
54603at50557_13249_0:001070|STRG.15215.2:267-1484|+    -            406 54603at50557         -            483   5.7e-28   96.7  33.1   5   5   6.1e-08   4.4e-06   24.5   0.2   336   417   321   406   319   406 0.77 -
8280at50557_103372_0:001996|STRG.10611.2:748-2971|+    -            718 54603at50557         -            483   4.5e-27   93.7  44.6   1   7   4.7e-07   3.4e-05   21.6   0.1    66   133     1    73     1    74 0.81 -
8280at50557_103372_0:001996|STRG.10611.2:748-2971|+    -            718 54603at50557         -            483   4.5e-27   93.7  44.6   2   7   4.1e-05     0.003   15.2   0.3    81   139    67   132    63   136 0.78 -
8280at50557_103372_0:001996|STRG.10611.2:748-2971|+    -            718 54603at50557         -            483   4.5e-27   93.7  44.6   3   7    0.0039      0.28    8.7   0.5    58   118   167   230   156   248 0.83 -
8280at50557_103372_0:001996|STRG.10611.2:748-2971|+    -            718 54603at50557         -            483   4.5e-27   93.7  44.6   4   7      0.04       2.9    5.3   0.2   349   418   257   330   247   337 0.71 -
8280at50557_103372_0:001996|STRG.10611.2:748-2971|+    -            718 54603at50557         -            483   4.5e-27   93.7  44.6   5   7   1.9e-06   0.00014   19.6   7.1   280   416   352   502   349   526 0.59 -
8280at50557_103372_0:001996|STRG.10611.2:748-2971|+    -            718 54603at50557         -            483   4.5e-27   93.7  44.6   6   7    0.0013     0.092   10.3   0.3   102   139   546   585   516   589 0.74 -
8280at50557_103372_0:001996|STRG.10611.2:748-2971|+    -            718 54603at50557         -            483   4.5e-27   93.7  44.6   7   7   2.2e-11   1.6e-09   35.9   6.8    82   202   574   711   573   718 0.78 -
8280at50557_7160_0:00112a|STRG.11972.1:1069-2253|+     -            395 54603at50557         -            483   4.8e-25   87.0  14.2   1   3   8.2e-16     6e-14   50.5   0.0   279   417    11   161     2   162 0.86 -
8280at50557_7160_0:00112a|STRG.11972.1:1069-2253|+     -            395 54603at50557         -            483   4.8e-25   87.0  14.2   2   3   3.3e-10   2.4e-08   32.0   1.1    58   197    98   230    95   234 0.57 -
8280at50557_7160_0:00112a|STRG.11972.1:1069-2253|+     -            395 54603at50557         -            483   4.8e-25   87.0  14.2   3   3   2.2e-08   1.6e-06   26.0   3.2   269   389   169   299   166   307 0.84 -
83902at50557_13686_0:0017a1|STRG.7653.1:0-851|+        -            284 54603at50557         -            483   5.5e-25   86.9  18.7   1   2   2.3e-09   1.7e-07   29.2   2.4    35   143    27   139    11   143 0.72 -
83902at50557_13686_0:0017a1|STRG.7653.1:0-851|+        -            284 54603at50557         -            483   5.5e-25   86.9  18.7   2   2   6.3e-22   4.6e-20   70.6   8.6   265   426    49   218    41   230 0.89 -
83902at50557_7165_0:002695|STRG.13617.1:135-680|+      -            182 54603at50557         -            483   1.8e-24   85.2   8.2   1   2   1.3e-14   9.7e-13   46.5   0.5    57   138    51   132    39   134 0.96 -
83902at50557_7165_0:002695|STRG.13617.1:135-680|+      -            182 54603at50557         -            483   1.8e-24   85.2   8.2   2   2     2e-15   1.5e-13   49.2   2.0   353   435    94   177    93   181 0.94 -
7376at50557_7176_0:003c63|STRG.17994.2:124-2298|+      -            725 54603at50557         -            483   2.1e-24   84.9  32.9   1   3   1.5e-05    0.0011   16.7   0.1   251   313     3    65     1    70 0.88 -
7376at50557_7176_0:003c63|STRG.17994.2:124-2298|+      -            725 54603at50557         -            483   2.1e-24   84.9  32.9   2   3   3.6e-17   2.6e-15   54.9  21.7    39   393    48   439    46   448 0.79 -
7376at50557_7176_0:003c63|STRG.17994.2:124-2298|+      -            725 54603at50557         -            483   2.1e-24   84.9  32.9   3   3   9.7e-08     7e-06   23.8   1.1    40   156   559   679   553   695 0.80 -
54603at50557_116153_0:001d7a|STRG.19225.2:848-1714|+   -            289 54603at50557         -            483   1.8e-23   81.9  16.1   1   3   1.7e-08   1.3e-06   26.3   0.7   380   435     6    61     2    92 0.67 -
54603at50557_116153_0:001d7a|STRG.19225.2:848-1714|+   -            289 54603at50557         -            483   1.8e-23   81.9  16.1   2   3   6.3e-07   4.6e-05   21.2   0.1   140   205   117   183   108   186 0.78 -
54603at50557_116153_0:001d7a|STRG.19225.2:848-1714|+   -            289 54603at50557         -            483   1.8e-23   81.9  16.1   3   3   2.1e-12   1.5e-10   39.3   5.3   336   433   188   288   186   289 0.92 -
83902at50557_568069_0:000a01|STRG.2694.3:174-764|+     -            197 54603at50557         -            483   1.5e-22   78.8  11.1   1   2   1.2e-09   8.7e-08   30.1   2.1   337   434     2   102     1   107 0.94 -
83902at50557_568069_0:000a01|STRG.2694.3:174-764|+     -            197 54603at50557         -            483   1.5e-22   78.8  11.1   2   2   4.8e-17   3.5e-15   54.5   1.8   344   435   102   195    99   197 0.91 -
109776at50557_199890_0:001686|STRG.5337.1:238-738|+    -            167 54603at50557         -            483   1.6e-22   78.7   7.2   1   2   5.1e-09   3.7e-07   28.1   0.3    69   120     8    59     2    63 0.60 -
109776at50557_199890_0:001686|STRG.5337.1:238-738|+    -            167 54603at50557         -            483   1.6e-22   78.7   7.2   2   2   5.3e-17   3.9e-15   54.4   2.1   330   434    61   167    59   167 0.93 -
