#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
102968at50557_34720_0:0002ad|STRG.5181.1:143-5824|+   -           1894 102968at50557        -            278  2.7e-121  403.3   0.8   1   1  1.5e-123    5e-121  402.5   0.8     1   273     1   306     1   311 0.91 -
10394at50557_7536_0:0020dc|STRG.12316.4:215-742|+     -            176 102968at50557        -            278    0.0037   15.8   0.0   2   2    0.0038       1.3    7.5   0.0   185   226   136   176   124   176 0.89 -
102616at50557_197043_0:0010e9|STRG.12343.1:468-713|+  -             82 102968at50557        -            278    0.0051   15.3   0.0   1   1   1.6e-05    0.0052   15.3   0.0   186   250    12    78     2    82 0.84 -
102616at50557_197043_0:0010e9|STRG.12343.2:564-809|+  -             82 102968at50557        -            278    0.0051   15.3   0.0   1   1   1.6e-05    0.0052   15.3   0.0   186   250    12    78     2    82 0.84 -
110125at50557_69820_0:0005bb|STRG.1146.1:2564-2896|+  -            111 102968at50557        -            278    0.0056   15.2   0.0   1   1   2.1e-05     0.007   14.9   0.0   195   250    33    88    24    96 0.92 -
110125at50557_69820_0:0005bb|STRG.1146.2:2564-2896|+  -            111 102968at50557        -            278    0.0056   15.2   0.0   1   1   2.1e-05     0.007   14.9   0.0   195   250    33    88    24    96 0.92 -
110125at50557_69820_0:0005bb|STRG.1146.3:1876-2208|+  -            111 102968at50557        -            278    0.0056   15.2   0.0   1   1   2.1e-05     0.007   14.9   0.0   195   250    33    88    24    96 0.92 -
102616at50557_456900_0:0023c2|STRG.12765.1:146-865|+  -            240 102968at50557        -            278    0.0084   14.6   0.0   1   1   3.7e-05     0.012   14.1   0.0   173   246    35   107    34   130 0.83 -
102616at50557_456900_0:0023c2|STRG.12765.2:168-1229|+ -            354 102968at50557        -            278     0.017   13.6   0.0   1   1   7.8e-05     0.026   13.1   0.0   173   246   149   221   148   243 0.83 -
102616at50557_456900_0:0023c2|STRG.12765.3:261-1322|+ -            354 102968at50557        -            278     0.017   13.6   0.0   1   1   7.8e-05     0.026   13.1   0.0   173   246   149   221   148   243 0.83 -
10394at50557_7536_0:0020dc|STRG.10694.1:223-735|+     -            171 102968at50557        -            278      0.02   13.4   0.0   1   2   0.00017     0.055   12.0   0.0   201   258    32    92    11   104 0.86 -
10394at50557_7536_0:0020dc|STRG.10694.1:223-735|+     -            171 102968at50557        -            278      0.02   13.4   0.0   2   2       1.6   5.4e+02   -1.1   0.0   201   225   125   149   100   161 0.72 -
10394at50557_7536_0:0020dc|STRG.10694.3:223-735|+     -            171 102968at50557        -            278      0.02   13.4   0.0   1   2   0.00017     0.055   12.0   0.0   201   258    32    92    11   104 0.86 -
10394at50557_7536_0:0020dc|STRG.10694.3:223-735|+     -            171 102968at50557        -            278      0.02   13.4   0.0   2   2       1.6   5.4e+02   -1.1   0.0   201   225   125   149   100   161 0.72 -
10394at50557_7536_0:0020dc|STRG.7368.1:3851-4438|+    -            196 102968at50557        -            278      0.13   10.8   0.0   1   2    0.0084       2.8    6.4   0.0   180   249     7    79     3    85 0.78 -
10394at50557_7536_0:0020dc|STRG.7368.1:3851-4438|+    -            196 102968at50557        -            278      0.13   10.8   0.0   2   2      0.12        40    2.6   0.0   206   229   158   181   129   196 0.71 -
10394at50557_7536_0:0020dc|STRG.7368.2:3796-4383|+    -            196 102968at50557        -            278      0.13   10.8   0.0   1   2    0.0084       2.8    6.4   0.0   180   249     7    79     3    85 0.78 -
10394at50557_7536_0:0020dc|STRG.7368.2:3796-4383|+    -            196 102968at50557        -            278      0.13   10.8   0.0   2   2      0.12        40    2.6   0.0   206   229   158   181   129   196 0.71 -
10394at50557_7536_0:0020dc|STRG.7368.3:1879-2466|+    -            196 102968at50557        -            278      0.13   10.8   0.0   1   2    0.0084       2.8    6.4   0.0   180   249     7    79     3    85 0.78 -
10394at50557_7536_0:0020dc|STRG.7368.3:1879-2466|+    -            196 102968at50557        -            278      0.13   10.8   0.0   2   2      0.12        40    2.6   0.0   206   229   158   181   129   196 0.71 -
10394at50557_7536_0:0020dc|STRG.7368.4:2280-2867|+    -            196 102968at50557        -            278      0.13   10.8   0.0   1   2    0.0084       2.8    6.4   0.0   180   249     7    79     3    85 0.78 -
10394at50557_7536_0:0020dc|STRG.7368.4:2280-2867|+    -            196 102968at50557        -            278      0.13   10.8   0.0   2   2      0.12        40    2.6   0.0   206   229   158   181   129   196 0.71 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/102968at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/102968at50557.out --cpu 1 /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/102968at50557.hmm annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /home/justine/projet_tutore
# Date:            Sun Dec  1 20:02:04 2024
# [ok]
