#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
98332at50557_132113_0:00196c|STRG.1244.1:941-1744|+    -            257 98332at50557         -            180   2.7e-98  325.9   0.6   1   1   1.9e-99   1.2e-97  323.7   0.6     1   179     1   208     1   209 0.94 -
84585at50557_199890_0:0017fa|STRG.13833.2:1029-3635|+  -            869 98332at50557         -            180   1.8e-29  101.7   0.0   1   4   1.6e-09     1e-07   30.8   0.0   118   178    98   160    91   162 0.87 -
84585at50557_199890_0:0017fa|STRG.13833.2:1029-3635|+  -            869 98332at50557         -            180   1.8e-29  101.7   0.0   2   4   1.5e-06   9.9e-05   21.0   0.0   130   178   172   225   168   227 0.79 -
84585at50557_199890_0:0017fa|STRG.13833.2:1029-3635|+  -            869 98332at50557         -            180   1.8e-29  101.7   0.0   3   4   6.2e-08     4e-06   25.6   0.0   131   179   433   485   418   486 0.84 -
84585at50557_199890_0:0017fa|STRG.13833.2:1029-3635|+  -            869 98332at50557         -            180   1.8e-29  101.7   0.0   4   4   6.8e-06   0.00044   18.9   0.0   135   177   822   868   805   869 0.79 -
84585at50557_199890_0:0017fa|STRG.13833.1:1029-3638|+  -            870 98332at50557         -            180   1.8e-29  101.7   0.0   1   4   1.6e-09     1e-07   30.8   0.0   118   178    98   160    91   162 0.87 -
84585at50557_199890_0:0017fa|STRG.13833.1:1029-3638|+  -            870 98332at50557         -            180   1.8e-29  101.7   0.0   2   4   1.5e-06   9.9e-05   21.0   0.0   130   178   172   225   168   227 0.79 -
84585at50557_199890_0:0017fa|STRG.13833.1:1029-3638|+  -            870 98332at50557         -            180   1.8e-29  101.7   0.0   3   4   6.2e-08     4e-06   25.6   0.0   131   179   433   485   418   486 0.84 -
84585at50557_199890_0:0017fa|STRG.13833.1:1029-3638|+  -            870 98332at50557         -            180   1.8e-29  101.7   0.0   4   4   6.8e-06   0.00044   18.9   0.0   135   177   823   869   806   870 0.79 -
84585at50557_199890_0:0017fa|STRG.13833.4:1029-3638|+  -            870 98332at50557         -            180   1.8e-29  101.7   0.0   1   4   1.6e-09     1e-07   30.8   0.0   118   178    98   160    91   162 0.87 -
84585at50557_199890_0:0017fa|STRG.13833.4:1029-3638|+  -            870 98332at50557         -            180   1.8e-29  101.7   0.0   2   4   1.5e-06   9.9e-05   21.0   0.0   130   178   172   225   168   227 0.79 -
84585at50557_199890_0:0017fa|STRG.13833.4:1029-3638|+  -            870 98332at50557         -            180   1.8e-29  101.7   0.0   3   4   6.2e-08     4e-06   25.6   0.0   131   179   433   485   418   486 0.84 -
84585at50557_199890_0:0017fa|STRG.13833.4:1029-3638|+  -            870 98332at50557         -            180   1.8e-29  101.7   0.0   4   4   6.8e-06   0.00044   18.9   0.0   135   177   823   869   806   870 0.79 -
68581at50557_77166_0:002648|STRG.10878.1:3656-4453|+   -            266 98332at50557         -            180   2.4e-29  101.3   0.1   1   3   4.5e-11   2.9e-09   35.8   0.0   132   180     4    53     1    53 0.93 -
68581at50557_77166_0:002648|STRG.10878.1:3656-4453|+   -            266 98332at50557         -            180   2.4e-29  101.3   0.1   2   3   3.2e-07   2.1e-05   23.3   0.0   128   179   128   186   115   187 0.78 -
68581at50557_77166_0:002648|STRG.10878.1:3656-4453|+   -            266 98332at50557         -            180   2.4e-29  101.3   0.1   3   3   5.3e-12   3.4e-10   38.8   0.0   128   179   211   264   193   265 0.89 -
68581at50557_77166_0:002648|STRG.10878.2:3638-4435|+   -            266 98332at50557         -            180   2.4e-29  101.3   0.1   1   3   4.5e-11   2.9e-09   35.8   0.0   132   180     4    53     1    53 0.93 -
68581at50557_77166_0:002648|STRG.10878.2:3638-4435|+   -            266 98332at50557         -            180   2.4e-29  101.3   0.1   2   3   3.2e-07   2.1e-05   23.3   0.0   128   179   128   186   115   187 0.78 -
68581at50557_77166_0:002648|STRG.10878.2:3638-4435|+   -            266 98332at50557         -            180   2.4e-29  101.3   0.1   3   3   5.3e-12   3.4e-10   38.8   0.0   128   179   211   264   193   265 0.89 -
68581at50557_166423_0:000f4f|STRG.11547.1:651-1990|+   -            401 98332at50557         -            180   4.7e-27   93.8   0.4   1   4   1.2e-08   7.7e-07   27.9   0.1   112   178     8    76     4    78 0.83 -
68581at50557_166423_0:000f4f|STRG.11547.1:651-1990|+   -            401 98332at50557         -            180   4.7e-27   93.8   0.4   2   4     2e-05    0.0013   17.4   0.0   133   178   132   179   126   181 0.83 -
68581at50557_166423_0:000f4f|STRG.11547.1:651-1990|+   -            401 98332at50557         -            180   4.7e-27   93.8   0.4   3   4   4.8e-05    0.0032   16.2   0.0   128   177   199   253   193   256 0.80 -
68581at50557_166423_0:000f4f|STRG.11547.1:651-1990|+   -            401 98332at50557         -            180   4.7e-27   93.8   0.4   4   4   4.7e-08     3e-06   26.0   0.0    46   117   296   377   290   389 0.80 -
68581at50557_166423_0:000f4f|STRG.11547.3:229-1568|+   -            401 98332at50557         -            180   4.7e-27   93.8   0.4   1   4   1.2e-08   7.7e-07   27.9   0.1   112   178     8    76     4    78 0.83 -
68581at50557_166423_0:000f4f|STRG.11547.3:229-1568|+   -            401 98332at50557         -            180   4.7e-27   93.8   0.4   2   4     2e-05    0.0013   17.4   0.0   133   178   132   179   126   181 0.83 -
68581at50557_166423_0:000f4f|STRG.11547.3:229-1568|+   -            401 98332at50557         -            180   4.7e-27   93.8   0.4   3   4   4.8e-05    0.0032   16.2   0.0   128   177   199   253   193   256 0.80 -
68581at50557_166423_0:000f4f|STRG.11547.3:229-1568|+   -            401 98332at50557         -            180   4.7e-27   93.8   0.4   4   4   4.7e-08     3e-06   26.0   0.0    46   117   296   377   290   389 0.80 -
68581at50557_166423_0:000f4f|STRG.11547.2:548-1702|+   -            385 98332at50557         -            180   2.1e-26   91.7   0.4   1   4   6.6e-08   4.3e-06   25.5   0.1   126   178     6    60     2    62 0.88 -
68581at50557_166423_0:000f4f|STRG.11547.2:548-1702|+   -            385 98332at50557         -            180   2.1e-26   91.7   0.4   2   4   1.8e-05    0.0012   17.5   0.0   133   178   116   163   110   165 0.83 -
68581at50557_166423_0:000f4f|STRG.11547.2:548-1702|+   -            385 98332at50557         -            180   2.1e-26   91.7   0.4   3   4   4.6e-05     0.003   16.2   0.0   128   177   183   237   177   240 0.80 -
68581at50557_166423_0:000f4f|STRG.11547.2:548-1702|+   -            385 98332at50557         -            180   2.1e-26   91.7   0.4   4   4   4.4e-08   2.8e-06   26.1   0.0    46   117   280   361   274   373 0.80 -
68581at50557_13037_0:002f45|STRG.10878.3:3071-3775|+   -            235 98332at50557         -            180   1.9e-24   85.3   0.1   1   3   1.1e-06   6.9e-05   21.6   0.0   132   179     1    52     1    53 0.86 -
68581at50557_13037_0:002f45|STRG.10878.3:3071-3775|+   -            235 98332at50557         -            180   1.9e-24   85.3   0.1   2   3   5.9e-08   3.8e-06   25.7   0.0   130   178   117   167   112   169 0.89 -
68581at50557_13037_0:002f45|STRG.10878.3:3071-3775|+   -            235 98332at50557         -            180   1.9e-24   85.3   0.1   3   3   9.6e-11   6.2e-09   34.7   0.0   131   178   186   234   179   235 0.92 -
68581at50557_13037_0:002f45|STRG.10878.4:3414-4118|+   -            235 98332at50557         -            180   1.9e-24   85.3   0.1   1   3   1.1e-06   6.9e-05   21.6   0.0   132   179     1    52     1    53 0.86 -
68581at50557_13037_0:002f45|STRG.10878.4:3414-4118|+   -            235 98332at50557         -            180   1.9e-24   85.3   0.1   2   3   5.9e-08   3.8e-06   25.7   0.0   130   178   117   167   112   169 0.89 -
68581at50557_13037_0:002f45|STRG.10878.4:3414-4118|+   -            235 98332at50557         -            180   1.9e-24   85.3   0.1   3   3   9.6e-11   6.2e-09   34.7   0.0   131   178   186   234   179   235 0.92 -
68581at50557_13037_0:002f45|STRG.10878.6:3032-3736|+   -            235 98332at50557         -            180   1.9e-24   85.3   0.1   1   3   1.1e-06   6.9e-05   21.6   0.0   132   179     1    52     1    53 0.86 -
68581at50557_13037_0:002f45|STRG.10878.6:3032-3736|+   -            235 98332at50557         -            180   1.9e-24   85.3   0.1   2   3   5.9e-08   3.8e-06   25.7   0.0   130   178   117   167   112   169 0.89 -
68581at50557_13037_0:002f45|STRG.10878.6:3032-3736|+   -            235 98332at50557         -            180   1.9e-24   85.3   0.1   3   3   9.6e-11   6.2e-09   34.7   0.0   131   178   186   234   179   235 0.92 -
84585at50557_199890_0:0017fa|STRG.13833.5:1139-3451|+  -            771 98332at50557         -            180   2.2e-23   81.8   0.0   1   3   1.4e-09   8.8e-08   31.0   0.0   118   178    98   160    91   162 0.87 -
84585at50557_199890_0:0017fa|STRG.13833.5:1139-3451|+  -            771 98332at50557         -            180   2.2e-23   81.8   0.0   2   3   1.3e-06   8.6e-05   21.3   0.0   130   178   172   225   168   227 0.79 -
84585at50557_199890_0:0017fa|STRG.13833.5:1139-3451|+  -            771 98332at50557         -            180   2.2e-23   81.8   0.0   3   3   5.3e-08   3.5e-06   25.8   0.0   131   179   433   485   418   486 0.84 -
68581at50557_168631_0:0016a9|STRG.10878.8:210-665|+    -            152 98332at50557         -            180   3.6e-18   64.8   0.0   1   2   1.1e-07   7.2e-06   24.8   0.0   128   179    17    75     6    76 0.79 -
68581at50557_168631_0:0016a9|STRG.10878.8:210-665|+    -            152 98332at50557         -            180   3.6e-18   64.8   0.0   2   2   7.4e-12   4.8e-10   38.4   0.0   127   177    99   151    82   152 0.89 -
68581at50557_168631_0:0016a9|STRG.10878.9:207-662|+    -            152 98332at50557         -            180   3.6e-18   64.8   0.0   1   2   1.1e-07   7.2e-06   24.8   0.0   128   179    17    75     6    76 0.79 -
68581at50557_168631_0:0016a9|STRG.10878.9:207-662|+    -            152 98332at50557         -            180   3.6e-18   64.8   0.0   2   2   7.4e-12   4.8e-10   38.4   0.0   127   177    99   151    82   152 0.89 -
68581at50557_168631_0:0016a9|STRG.10878.3:3950-4414|+  -            155 98332at50557         -            180   4.2e-18   64.6   0.0   1   2   1.2e-07   7.9e-06   24.6   0.0   128   179    20    78     6    79 0.81 -
68581at50557_168631_0:0016a9|STRG.10878.3:3950-4414|+  -            155 98332at50557         -            180   4.2e-18   64.6   0.0   2   2   7.7e-12     5e-10   38.3   0.0   127   177   102   154    85   155 0.89 -
68581at50557_168631_0:0016a9|STRG.10878.4:4296-4760|+  -            155 98332at50557         -            180   4.2e-18   64.6   0.0   1   2   1.2e-07   7.9e-06   24.6   0.0   128   179    20    78     6    79 0.81 -
68581at50557_168631_0:0016a9|STRG.10878.4:4296-4760|+  -            155 98332at50557         -            180   4.2e-18   64.6   0.0   2   2   7.7e-12     5e-10   38.3   0.0   127   177   102   154    85   155 0.89 -
68581at50557_168631_0:0016a9|STRG.10878.6:3914-4378|+  -            155 98332at50557         -            180   4.2e-18   64.6   0.0   1   2   1.2e-07   7.9e-06   24.6   0.0   128   179    20    78     6    79 0.81 -
68581at50557_168631_0:0016a9|STRG.10878.6:3914-4378|+  -            155 98332at50557         -            180   4.2e-18   64.6   0.0   2   2   7.7e-12     5e-10   38.3   0.0   127   177   102   154    85   155 0.89 -
68581at50557_166361_0:00349c|STRG.10119.1:302-928|+    -            209 98332at50557         -            180   6.8e-16   57.4   0.1   1   3   1.1e-07   6.9e-06   24.8   0.0   134   178     4    50     1    52 0.86 -
68581at50557_166361_0:00349c|STRG.10119.1:302-928|+    -            209 98332at50557         -            180   6.8e-16   57.4   0.1   2   3   0.00084     0.055   12.1   0.0   130   179    86   137    67   138 0.84 -
68581at50557_166361_0:00349c|STRG.10119.1:302-928|+    -            209 98332at50557         -            180   6.8e-16   57.4   0.1   3   3   2.1e-05    0.0014   17.3   0.0   127   178   154   207   143   209 0.77 -
68581at50557_166361_0:00349c|STRG.10119.2:488-1114|+   -            209 98332at50557         -            180   6.8e-16   57.4   0.1   1   3   1.1e-07   6.9e-06   24.8   0.0   134   178     4    50     1    52 0.86 -
68581at50557_166361_0:00349c|STRG.10119.2:488-1114|+   -            209 98332at50557         -            180   6.8e-16   57.4   0.1   2   3   0.00084     0.055   12.1   0.0   130   179    86   137    67   138 0.84 -
68581at50557_166361_0:00349c|STRG.10119.2:488-1114|+   -            209 98332at50557         -            180   6.8e-16   57.4   0.1   3   3   2.1e-05    0.0014   17.3   0.0   127   178   154   207   143   209 0.77 -
91571at50557_2015173_0:000792|STRG.7103.1:621-1481|+   -            287 98332at50557         -            180   1.2e-15   56.6   0.5   1   2   6.7e-14   4.4e-12   45.0   0.2    42   180     8   165     3   165 0.80 -
91571at50557_2015173_0:000792|STRG.7103.1:621-1481|+   -            287 98332at50557         -            180   1.2e-15   56.6   0.5   2   2     0.019       1.2    7.7   0.0   139   178   233   274   204   276 0.78 -
15817at50557_38123_0:0022d3|STRG.15878.1:218-784|+     -            189 98332at50557         -            180   3.3e-15   55.2   0.0   1   2   2.2e-07   1.4e-05   23.8   0.0    55   112    20    77    13    94 0.85 -
15817at50557_38123_0:0022d3|STRG.15878.1:218-784|+     -            189 98332at50557         -            180   3.3e-15   55.2   0.0   2   2   6.7e-09   4.3e-07   28.7   0.0    56   114   127   185    89   189 0.85 -
98332at50557_319348_0:002488|STRG.8099.1:1824-2225|+   -            134 98332at50557         -            180   2.5e-14   52.3   0.0   1   2   1.7e-08   1.1e-06   27.4   0.0   131   177    23    71    16    74 0.87 -
98332at50557_319348_0:002488|STRG.8099.1:1824-2225|+   -            134 98332at50557         -            180   2.5e-14   52.3   0.0   2   2   3.4e-07   2.2e-05   23.2   0.0   129   177    84   134    75   134 0.89 -
98332at50557_319348_0:002488|STRG.8099.2:1149-1550|+   -            134 98332at50557         -            180   2.5e-14   52.3   0.0   1   2   1.7e-08   1.1e-06   27.4   0.0   131   177    23    71    16    74 0.87 -
98332at50557_319348_0:002488|STRG.8099.2:1149-1550|+   -            134 98332at50557         -            180   2.5e-14   52.3   0.0   2   2   3.4e-07   2.2e-05   23.2   0.0   129   177    84   134    75   134 0.89 -
98332at50557_319348_0:002488|STRG.8099.3:1146-1547|+   -            134 98332at50557         -            180   2.5e-14   52.3   0.0   1   2   1.7e-08   1.1e-06   27.4   0.0   131   177    23    71    16    74 0.87 -
98332at50557_319348_0:002488|STRG.8099.3:1146-1547|+   -            134 98332at50557         -            180   2.5e-14   52.3   0.0   2   2   3.4e-07   2.2e-05   23.2   0.0   129   177    84   134    75   134 0.89 -
98332at50557_28612_0:0024af|STRG.7671.1:2114-2596|+    -            161 98332at50557         -            180   7.2e-14   50.8   0.0   1   1   1.4e-15   9.1e-14   50.5   0.0    68   177    38   161    16   161 0.77 -
98332at50557_28612_0:0024af|STRG.7671.2:2052-2534|+    -            161 98332at50557         -            180   7.2e-14   50.8   0.0   1   1   1.4e-15   9.1e-14   50.5   0.0    68   177    38   161    16   161 0.77 -
98332at50557_28612_0:0024af|STRG.7671.3:1588-2070|+    -            161 98332at50557         -            180   7.2e-14   50.8   0.0   1   1   1.4e-15   9.1e-14   50.5   0.0    68   177    38   161    16   161 0.77 -
98332at50557_28612_0:0024af|STRG.7671.5:1306-1788|+    -            161 98332at50557         -            180   7.2e-14   50.8   0.0   1   1   1.4e-15   9.1e-14   50.5   0.0    68   177    38   161    16   161 0.77 -
91571at50557_7038_0:00203c|STRG.1402.1:1734-2648|+     -            305 98332at50557         -            180     1e-13   50.3   2.1   1   3    0.0083      0.54    8.9   0.1    55   121    29    98     2   107 0.82 -
91571at50557_7038_0:00203c|STRG.1402.1:1734-2648|+     -            305 98332at50557         -            180     1e-13   50.3   2.1   2   3   2.9e-05    0.0019   16.9   0.0    51   113   134   194   110   204 0.83 -
91571at50557_7038_0:00203c|STRG.1402.1:1734-2648|+     -            305 98332at50557         -            180     1e-13   50.3   2.1   3   3   8.9e-07   5.8e-05   21.8   0.1   128   178   240   293   234   295 0.85 -
91571at50557_7038_0:00203c|STRG.1402.2:1911-2825|+     -            305 98332at50557         -            180     1e-13   50.3   2.1   1   3    0.0083      0.54    8.9   0.1    55   121    29    98     2   107 0.82 -
91571at50557_7038_0:00203c|STRG.1402.2:1911-2825|+     -            305 98332at50557         -            180     1e-13   50.3   2.1   2   3   2.9e-05    0.0019   16.9   0.0    51   113   134   194   110   204 0.83 -
91571at50557_7038_0:00203c|STRG.1402.2:1911-2825|+     -            305 98332at50557         -            180     1e-13   50.3   2.1   3   3   8.9e-07   5.8e-05   21.8   0.1   128   178   240   293   234   295 0.85 -
91571at50557_7038_0:00203c|STRG.1402.3:1715-2629|+     -            305 98332at50557         -            180     1e-13   50.3   2.1   1   3    0.0083      0.54    8.9   0.1    55   121    29    98     2   107 0.82 -
91571at50557_7038_0:00203c|STRG.1402.3:1715-2629|+     -            305 98332at50557         -            180     1e-13   50.3   2.1   2   3   2.9e-05    0.0019   16.9   0.0    51   113   134   194   110   204 0.83 -
91571at50557_7038_0:00203c|STRG.1402.3:1715-2629|+     -            305 98332at50557         -            180     1e-13   50.3   2.1   3   3   8.9e-07   5.8e-05   21.8   0.1   128   178   240   293   234   295 0.85 -
91571at50557_7038_0:00203c|STRG.1402.4:2086-3000|+     -            305 98332at50557         -            180     1e-13   50.3   2.1   1   3    0.0083      0.54    8.9   0.1    55   121    29    98     2   107 0.82 -
91571at50557_7038_0:00203c|STRG.1402.4:2086-3000|+     -            305 98332at50557         -            180     1e-13   50.3   2.1   2   3   2.9e-05    0.0019   16.9   0.0    51   113   134   194   110   204 0.83 -
91571at50557_7038_0:00203c|STRG.1402.4:2086-3000|+     -            305 98332at50557         -            180     1e-13   50.3   2.1   3   3   8.9e-07   5.8e-05   21.8   0.1   128   178   240   293   234   295 0.85 -
91571at50557_7038_0:00203c|STRG.1402.5:2038-2952|+     -            305 98332at50557         -            180     1e-13   50.3   2.1   1   3    0.0083      0.54    8.9   0.1    55   121    29    98     2   107 0.82 -
91571at50557_7038_0:00203c|STRG.1402.5:2038-2952|+     -            305 98332at50557         -            180     1e-13   50.3   2.1   2   3   2.9e-05    0.0019   16.9   0.0    51   113   134   194   110   204 0.83 -
91571at50557_7038_0:00203c|STRG.1402.5:2038-2952|+     -            305 98332at50557         -            180     1e-13   50.3   2.1   3   3   8.9e-07   5.8e-05   21.8   0.1   128   178   240   293   234   295 0.85 -
98332at50557_133901_0:000b7a|STRG.4179.1:1416-1832|+   -            139 98332at50557         -            180     4e-13   48.4   1.1   1   2   1.1e-05   0.00071   18.3   0.2   132   178     2    52     1    54 0.79 -
98332at50557_133901_0:000b7a|STRG.4179.1:1416-1832|+   -            139 98332at50557         -            180     4e-13   48.4   1.1   2   2   6.2e-10     4e-08   32.1   0.1    31   110    39   138    35   139 0.80 -
98332at50557_133901_0:000b7a|STRG.4179.2:1416-1832|+   -            139 98332at50557         -            180     4e-13   48.4   1.1   1   2   1.1e-05   0.00071   18.3   0.2   132   178     2    52     1    54 0.79 -
98332at50557_133901_0:000b7a|STRG.4179.2:1416-1832|+   -            139 98332at50557         -            180     4e-13   48.4   1.1   2   2   6.2e-10     4e-08   32.1   0.1    31   110    39   138    35   139 0.80 -
98332at50557_133901_0:000b7a|STRG.4179.3:353-769|+     -            139 98332at50557         -            180     4e-13   48.4   1.1   1   2   1.1e-05   0.00071   18.3   0.2   132   178     2    52     1    54 0.79 -
98332at50557_133901_0:000b7a|STRG.4179.3:353-769|+     -            139 98332at50557         -            180     4e-13   48.4   1.1   2   2   6.2e-10     4e-08   32.1   0.1    31   110    39   138    35   139 0.80 -
98332at50557_133901_0:000b7a|STRG.4179.4:353-769|+     -            139 98332at50557         -            180     4e-13   48.4   1.1   1   2   1.1e-05   0.00071   18.3   0.2   132   178     2    52     1    54 0.79 -
98332at50557_133901_0:000b7a|STRG.4179.4:353-769|+     -            139 98332at50557         -            180     4e-13   48.4   1.1   2   2   6.2e-10     4e-08   32.1   0.1    31   110    39   138    35   139 0.80 -
15817at50557_610380_0:002a13|STRG.13853.1:190-3024|+   -            945 98332at50557         -            180   3.7e-11   42.0   0.0   1   2   4.2e-08   2.7e-06   26.1   0.0    45   165    76   217    66   234 0.74 -
15817at50557_610380_0:002a13|STRG.13853.1:190-3024|+   -            945 98332at50557         -            180   3.7e-11   42.0   0.0   2   2   0.00055     0.036   12.7   0.0    57   115   267   324   233   336 0.79 -
98332at50557_1218281_0:000683|STRG.20842.2:452-616|+   -             55 98332at50557         -            180   2.4e-10   39.4   0.1   1   1   3.9e-12   2.5e-10   39.3   0.1   130   180     1    53     1    53 0.91 -
98332at50557_1218281_0:000683|STRG.20842.3:370-534|+   -             55 98332at50557         -            180   2.4e-10   39.4   0.1   1   1   3.9e-12   2.5e-10   39.3   0.1   130   180     1    53     1    53 0.91 -
98332at50557_1155016_0:002d21|STRG.8206.3:3644-3796|+  -             51 98332at50557         -            180   2.7e-10   39.2   0.0   1   1   4.3e-12   2.8e-10   39.1   0.0   130   177     1    50     1    51 0.88 -
98332at50557_1155016_0:002d21|STRG.8206.4:3430-3582|+  -             51 98332at50557         -            180   2.7e-10   39.2   0.0   1   1   4.3e-12   2.8e-10   39.1   0.0   130   177     1    50     1    51 0.88 -
98332at50557_1155016_0:002d21|STRG.8206.7:2596-2748|+  -             51 98332at50557         -            180   2.7e-10   39.2   0.0   1   1   4.3e-12   2.8e-10   39.1   0.0   130   177     1    50     1    51 0.88 -
96740at50557_34720_0:001539|STRG.2373.1:527-1705|+     -            393 98332at50557         -            180     7e-10   37.8   0.7   1   3   2.2e-05    0.0014   17.3   0.0   132   180    76   127    69   127 0.86 -
96740at50557_34720_0:001539|STRG.2373.1:527-1705|+     -            393 98332at50557         -            180     7e-10   37.8   0.7   2   3    0.0017      0.11   11.1   0.0   132   177   226   275   220   278 0.75 -
96740at50557_34720_0:001539|STRG.2373.1:527-1705|+     -            393 98332at50557         -            180     7e-10   37.8   0.7   3   3     0.052       3.4    6.3   0.0   132   177   334   385   323   388 0.72 -
96740at50557_34720_0:001539|STRG.2373.3:94-1272|+      -            393 98332at50557         -            180     7e-10   37.8   0.7   1   3   2.2e-05    0.0014   17.3   0.0   132   180    76   127    69   127 0.86 -
96740at50557_34720_0:001539|STRG.2373.3:94-1272|+      -            393 98332at50557         -            180     7e-10   37.8   0.7   2   3    0.0017      0.11   11.1   0.0   132   177   226   275   220   278 0.75 -
96740at50557_34720_0:001539|STRG.2373.3:94-1272|+      -            393 98332at50557         -            180     7e-10   37.8   0.7   3   3     0.052       3.4    6.3   0.0   132   177   334   385   323   388 0.72 -
98332at50557_1218281_0:000683|STRG.1273.1:1194-1337|+  -             48 98332at50557         -            180   9.3e-10   37.4   0.0   1   1   1.5e-11     1e-09   37.3   0.0   132   177     1    48     1    48 0.93 -
98332at50557_1218281_0:000683|STRG.1273.2:1122-1265|+  -             48 98332at50557         -            180   9.3e-10   37.4   0.0   1   1   1.5e-11     1e-09   37.3   0.0   132   177     1    48     1    48 0.93 -
98332at50557_1218281_0:000683|STRG.1273.3:1209-1352|+  -             48 98332at50557         -            180   9.3e-10   37.4   0.0   1   1   1.5e-11     1e-09   37.3   0.0   132   177     1    48     1    48 0.93 -
98332at50557_1218281_0:000683|STRG.1273.4:1126-1269|+  -             48 98332at50557         -            180   9.3e-10   37.4   0.0   1   1   1.5e-11     1e-09   37.3   0.0   132   177     1    48     1    48 0.93 -
98332at50557_1218281_0:000683|STRG.1273.6:906-1049|+   -             48 98332at50557         -            180   9.3e-10   37.4   0.0   1   1   1.5e-11     1e-09   37.3   0.0   132   177     1    48     1    48 0.93 -
98332at50557_1218281_0:000683|STRG.1273.7:253-396|+    -             48 98332at50557         -            180   9.3e-10   37.4   0.0   1   1   1.5e-11     1e-09   37.3   0.0   132   177     1    48     1    48 0.93 -
96740at50557_34720_0:001539|STRG.2373.4:94-1299|+      -            402 98332at50557         -            180   9.4e-10   37.4   0.9   1   3   2.2e-05    0.0015   17.2   0.0   132   180    76   127    69   127 0.86 -
96740at50557_34720_0:001539|STRG.2373.4:94-1299|+      -            402 98332at50557         -            180   9.4e-10   37.4   0.9   2   3    0.0019      0.12   11.0   0.0   132   177   235   284   232   287 0.74 -
96740at50557_34720_0:001539|STRG.2373.4:94-1299|+      -            402 98332at50557         -            180   9.4e-10   37.4   0.9   3   3     0.054       3.5    6.2   0.0   132   177   343   394   332   397 0.72 -
98332at50557_1155016_0:002d21|STRG.2788.1:848-997|+    -             50 98332at50557         -            180   1.3e-09   37.0   0.0   1   1   2.1e-11   1.4e-09   36.9   0.0   130   177     1    50     1    50 0.90 -
98332at50557_1155016_0:002d21|STRG.2788.2:848-997|+    -             50 98332at50557         -            180   1.3e-09   37.0   0.0   1   1   2.1e-11   1.4e-09   36.9   0.0   130   177     1    50     1    50 0.90 -
98332at50557_1155016_0:002d21|STRG.2788.3:771-920|+    -             50 98332at50557         -            180   1.3e-09   37.0   0.0   1   1   2.1e-11   1.4e-09   36.9   0.0   130   177     1    50     1    50 0.90 -
