#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
76908at50557_222816_0:000324|STRG.11030.1:19-639|+   -            207 76908at50557         -            265    3e-116  386.1   0.3   1   1  8.4e-119  3.7e-116  385.8   0.3     1   192     8   202     8   205 0.98 -
6416at50557_113334_0:00380e|STRG.5400.5:552-1655|+   -            368 76908at50557         -            265     0.011   13.9   6.9   4   4     0.019       8.2    4.4   0.1    81   125   318   362   297   368 0.80 -
6416at50557_113334_0:00380e|STRG.5400.6:635-1738|+   -            368 76908at50557         -            265     0.011   13.9   6.9   1   4     0.075        33    2.5   0.1    85   105     2    22     1    33 0.78 -
6416at50557_113334_0:00380e|STRG.5400.6:635-1738|+   -            368 76908at50557         -            265     0.011   13.9   6.9   2   4   0.00068       0.3    9.2   0.0    81   126    92   137    88   153 0.86 -
6416at50557_113334_0:00380e|STRG.5400.6:635-1738|+   -            368 76908at50557         -            265     0.011   13.9   6.9   3   4       2.4   1.1e+03   -2.5   0.1    81   105   196   220   192   225 0.86 -
6416at50557_113334_0:00380e|STRG.5400.6:635-1738|+   -            368 76908at50557         -            265     0.011   13.9   6.9   4   4     0.019       8.2    4.4   0.1    81   125   318   362   297   368 0.80 -
6416at50557_7536_0:0038e0|STRG.13104.3:834-1469|+    -            212 76908at50557         -            265     0.031   12.4   0.4   1   2   0.00087      0.38    8.8   0.0    81   113    46    78    15    93 0.75 -
6416at50557_7536_0:0038e0|STRG.13104.3:834-1469|+    -            212 76908at50557         -            265     0.031   12.4   0.4   2   2      0.17        74    1.3   0.0   203   228    97   122    89   138 0.82 -
6416at50557_7536_0:0038e0|STRG.13104.4:834-1469|+    -            212 76908at50557         -            265     0.031   12.4   0.4   1   2   0.00087      0.38    8.8   0.0    81   113    46    78    15    93 0.75 -
6416at50557_7536_0:0038e0|STRG.13104.4:834-1469|+    -            212 76908at50557         -            265     0.031   12.4   0.4   2   2      0.17        74    1.3   0.0   203   228    97   122    89   138 0.82 -
6416at50557_7536_0:0038e0|STRG.13104.5:192-827|+     -            212 76908at50557         -            265     0.031   12.4   0.4   1   2   0.00087      0.38    8.8   0.0    81   113    46    78    15    93 0.75 -
6416at50557_7536_0:0038e0|STRG.13104.5:192-827|+     -            212 76908at50557         -            265     0.031   12.4   0.4   2   2      0.17        74    1.3   0.0   203   228    97   122    89   138 0.82 -
6416at50557_113334_0:00380e|STRG.13104.1:480-1310|+  -            277 76908at50557         -            265     0.037   12.1   4.1   1   3   0.00078      0.34    9.0   0.1    77   112    64    99     2   115 0.68 -
6416at50557_113334_0:00380e|STRG.13104.1:480-1310|+  -            277 76908at50557         -            265     0.037   12.1   4.1   2   3      0.29   1.3e+02    0.6   0.0   203   228   119   144   112   152 0.80 -
6416at50557_113334_0:00380e|STRG.13104.1:480-1310|+  -            277 76908at50557         -            265     0.037   12.1   4.1   3   3     0.061        27    2.8   0.5    26   107   164   246   141   260 0.81 -
6416at50557_113334_0:00380e|STRG.13104.2:480-1310|+  -            277 76908at50557         -            265     0.037   12.1   4.1   1   3   0.00078      0.34    9.0   0.1    77   112    64    99     2   115 0.68 -
6416at50557_113334_0:00380e|STRG.13104.2:480-1310|+  -            277 76908at50557         -            265     0.037   12.1   4.1   2   3      0.29   1.3e+02    0.6   0.0   203   228   119   144   112   152 0.80 -
6416at50557_113334_0:00380e|STRG.13104.2:480-1310|+  -            277 76908at50557         -            265     0.037   12.1   4.1   3   3     0.061        27    2.8   0.5    26   107   164   246   141   260 0.81 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/76908at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/76908at50557.out --cpu 1 /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/76908at50557.hmm annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /home/justine/projet_tutore
# Date:            Sun Dec  1 20:09:43 2024
# [ok]
