#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
107413at50557_103372_0:00285a|STRG.7846.1:151-1050|+   -            300 107413at50557        -             88     3e-35  119.5   2.5   1   1   2.3e-36   1.9e-34  116.9   2.5     1    88   182   288   182   288 0.85 -
107413at50557_136037_0:000dc2|STRG.17041.1:5696-6427|+ -            244 107413at50557        -             88   1.2e-16   59.9   2.5   1   1     3e-18   2.5e-16   58.9   2.5    27    88   174   237   156   237 0.91 -
107413at50557_136037_0:000dc2|STRG.17041.2:5693-6424|+ -            244 107413at50557        -             88   1.2e-16   59.9   2.5   1   1     3e-18   2.5e-16   58.9   2.5    27    88   174   237   156   237 0.91 -
107413at50557_136037_0:000dc2|STRG.17041.3:5087-5818|+ -            244 107413at50557        -             88   1.2e-16   59.9   2.5   1   1     3e-18   2.5e-16   58.9   2.5    27    88   174   237   156   237 0.91 -
98621at50557_28612_0:00515f|STRG.11715.1:1257-2039|+   -            182 107413at50557        -             88   2.9e-16   58.7   1.4   1   1   1.6e-17   1.3e-15   56.6   1.4     4    88    81   177    78   177 0.76 -
107413at50557_91411_0:001705|STRG.4763.1:1221-1928|+   -            236 107413at50557        -             88   7.6e-16   57.3   2.3   1   1   3.8e-17   3.1e-15   55.3   2.3     3    88   129   231   127   231 0.78 -
107413at50557_91411_0:001705|STRG.4763.2:503-1210|+    -            236 107413at50557        -             88   7.6e-16   57.3   2.3   1   1   3.8e-17   3.1e-15   55.3   2.3     3    88   129   231   127   231 0.78 -
107413at50557_91411_0:001705|STRG.4763.3:738-1445|+    -            236 107413at50557        -             88   7.6e-16   57.3   2.3   1   1   3.8e-17   3.1e-15   55.3   2.3     3    88   129   231   127   231 0.78 -
98621at50557_79782_0:0026bc|STRG.1918.1:546-1331|+     -            262 107413at50557        -             88   1.2e-15   56.7   5.2   1   1   2.4e-16     2e-14   52.8   3.0    27    88   190   256   145   256 0.88 -
107413at50557_108931_0:000e8f|STRG.11715.2:1420-2166|+ -            249 107413at50557        -             88   1.9e-15   56.0   1.3   1   1     7e-17   5.7e-15   54.5   1.3    25    88   179   244   142   244 0.83 -
98621at50557_28612_0:00515f|STRG.2742.1:176-871|+      -            232 107413at50557        -             88   2.9e-15   55.5   1.0   1   1     4e-16   3.3e-14   52.1   1.0     5    88   128   227   124   227 0.69 -
98621at50557_286706_0:000660|STRG.16939.1:82-750|+     -            223 107413at50557        -             88   3.9e-15   55.0   3.9   1   2       2.4     2e+02    1.5   0.0    25    39    19    33     4    62 0.70 -
98621at50557_286706_0:000660|STRG.16939.1:82-750|+     -            223 107413at50557        -             88   3.9e-15   55.0   3.9   2   2   4.1e-16   3.4e-14   52.0   2.0     1    88   121   217   121   217 0.74 -
93746at50557_54969_0:0026b9|STRG.11175.1:1182-2060|+   -            293 107413at50557        -             88   6.4e-15   54.3   2.0   1   1   5.8e-16   4.7e-14   51.6   2.0    28    88   221   288   174   288 0.85 -
93746at50557_54969_0:0026b9|STRG.11175.3:268-1146|+    -            293 107413at50557        -             88   6.4e-15   54.3   2.0   1   1   5.8e-16   4.7e-14   51.6   2.0    28    88   221   288   174   288 0.85 -
93746at50557_54969_0:0026b9|STRG.11175.4:515-1393|+    -            293 107413at50557        -             88   6.4e-15   54.3   2.0   1   1   5.8e-16   4.7e-14   51.6   2.0    28    88   221   288   174   288 0.85 -
93746at50557_54969_0:0026b9|STRG.11175.2:241-1128|+    -            296 107413at50557        -             88   6.5e-15   54.3   1.9   1   1   5.8e-16   4.7e-14   51.6   1.9    28    88   224   291   177   291 0.85 -
98621at50557_516756_0:0020aa|STRG.4841.1:206-946|+     -            247 107413at50557        -             88   1.1e-14   53.6   0.2   1   1   3.9e-16   3.2e-14   52.1   0.2    30    88   180   243   171   243 0.85 -
98621at50557_516756_0:0020aa|STRG.4841.2:271-1011|+    -            247 107413at50557        -             88   1.1e-14   53.6   0.2   1   1   3.9e-16   3.2e-14   52.1   0.2    30    88   180   243   171   243 0.85 -
98621at50557_7038_0:0003d0|STRG.16457.2:1739-2497|+    -            253 107413at50557        -             88   1.2e-14   53.5   2.4   1   1   1.1e-15   9.1e-14   50.6   2.4    28    88   191   253   144   253 0.91 -
98621at50557_38123_0:000655|STRG.16475.1:237-548|+     -            104 107413at50557        -             88   1.6e-14   53.1   0.6   1   1   2.8e-16   2.3e-14   52.6   0.4    14    88    21    99    14    99 0.84 -
98621at50557_38123_0:000655|STRG.1485.2:329-646|+      -            106 107413at50557        -             88   2.2e-14   52.6   2.9   1   1   3.2e-15   2.6e-13   49.2   2.9    23    88    43   106     4   106 0.82 -
98621at50557_1041015_0:000047|STRG.10051.1:276-1004|+  -            243 107413at50557        -             88   2.6e-14   52.4   2.1   1   1   1.5e-15   1.3e-13   50.2   2.1    29    88   178   239   130   239 0.84 -
98621at50557_28612_0:002b49|STRG.16940.1:82-747|+      -            222 107413at50557        -             88   7.7e-14   50.9   3.1   1   2       1.8   1.5e+02    1.9   0.0    25    36    18    29    11    42 0.80 -
98621at50557_28612_0:002b49|STRG.16940.1:82-747|+      -            222 107413at50557        -             88   7.7e-14   50.9   3.1   2   2   1.4e-14   1.2e-12   47.1   1.3     1    88   121   217   121   217 0.72 -
98621at50557_28612_0:002b49|STRG.16940.2:265-930|+     -            222 107413at50557        -             88   7.7e-14   50.9   3.1   1   2       1.8   1.5e+02    1.9   0.0    25    36    18    29    11    42 0.80 -
98621at50557_28612_0:002b49|STRG.16940.2:265-930|+     -            222 107413at50557        -             88   7.7e-14   50.9   3.1   2   2   1.4e-14   1.2e-12   47.1   1.3     1    88   121   217   121   217 0.72 -
107413at50557_454923_0:0008d7|STRG.10679.1:496-1251|+  -            252 107413at50557        -             88   8.7e-14   50.7   0.3   1   1   1.2e-13   9.9e-12   44.1   0.3     4    88   141   248   138   248 0.67 -
98621at50557_166361_0:000283|STRG.1485.1:59-523|+      -            155 107413at50557        -             88   9.3e-14   50.6   2.9   1   1   9.7e-15     8e-13   47.6   2.9    23    88    92   155    53   155 0.83 -
45935at50557_104452_0:001a48|STRG.15410.2:469-813|+    -            115 107413at50557        -             88   1.2e-13   50.3   4.9   1   2     0.025         2    7.9   0.0     1    24     2    29     2    37 0.78 -
45935at50557_104452_0:001a48|STRG.15410.2:469-813|+    -            115 107413at50557        -             88   1.2e-13   50.3   4.9   2   2   1.1e-12   8.7e-11   41.1   4.8    27    88    50   113    30   113 0.82 -
98621at50557_110193_0:0027e7|STRG.10680.1:206-1009|+   -            268 107413at50557        -             88     4e-13   48.6   2.9   1   1   5.1e-14   4.2e-12   45.3   2.9    31    88   208   264   160   264 0.68 -
98621at50557_110193_0:0027e7|STRG.10680.2:200-1003|+   -            268 107413at50557        -             88     4e-13   48.6   2.9   1   1   5.1e-14   4.2e-12   45.3   2.9    31    88   208   264   160   264 0.68 -
98621at50557_136037_0:0009c4|STRG.18513.3:2874-3569|+  -            232 107413at50557        -             88   5.3e-13   48.2   4.7   1   1   5.1e-13   4.2e-11   42.1   3.0     3    79   133   231   131   232 0.64 -
98621at50557_136037_0:0009c4|STRG.18513.4:2310-3005|+  -            232 107413at50557        -             88   5.3e-13   48.2   4.7   1   1   5.1e-13   4.2e-11   42.1   3.0     3    79   133   231   131   232 0.64 -
98621at50557_136037_0:0009c4|STRG.18513.5:2802-3497|+  -            232 107413at50557        -             88   5.3e-13   48.2   4.7   1   1   5.1e-13   4.2e-11   42.1   3.0     3    79   133   231   131   232 0.64 -
98621at50557_79782_0:0026bc|STRG.2749.2:166-882|+      -            239 107413at50557        -             88     1e-12   47.3   1.8   1   1   5.2e-14   4.3e-12   45.3   1.8     3    88   138   239   136   239 0.72 -
98621at50557_79782_0:0026bc|STRG.2749.1:131-904|+      -            258 107413at50557        -             88   1.2e-12   47.1   1.7   1   1   5.8e-14   4.8e-12   45.1   1.7     3    88   157   258   155   258 0.72 -
45935at50557_136037_0:001135|STRG.15410.1:878-1549|+   -            224 107413at50557        -             88   1.6e-12   46.7   5.2   1   2     0.079       6.5    6.3   0.0     1    23   111   137   111   144 0.78 -
45935at50557_136037_0:001135|STRG.15410.1:878-1549|+   -            224 107413at50557        -             88   1.6e-12   46.7   5.2   2   2   6.2e-12     5e-10   38.7   4.9    27    88   159   222   140   222 0.83 -
107413at50557_211228_0:00176b|STRG.2739.1:25-585|+     -            187 107413at50557        -             88   1.7e-12   46.6   1.5   1   1     4e-13   3.3e-11   42.5   1.5     2    88    71   182    70   182 0.71 -
45935at50557_34720_0:00050a|STRG.5044.1:258-2534|+     -            759 107413at50557        -             88   5.7e-12   44.9   4.8   1   1   1.7e-13   1.4e-11   43.7   3.3    29    88   690   750   675   750 0.88 -
107413at50557_64838_0:000425|STRG.5442.1:162-887|+     -            242 107413at50557        -             88   6.1e-12   44.8   0.4   1   2       4.9     4e+02    0.5   0.0    20    36    23    39    20    61 0.74 -
107413at50557_64838_0:000425|STRG.5442.1:162-887|+     -            242 107413at50557        -             88   6.1e-12   44.8   0.4   2   2   6.4e-13   5.2e-11   41.8   0.1    26    88   172   235   155   235 0.80 -
107413at50557_64838_0:000425|STRG.5442.2:154-879|+     -            242 107413at50557        -             88   6.1e-12   44.8   0.4   1   2       4.9     4e+02    0.5   0.0    20    36    23    39    20    61 0.74 -
107413at50557_64838_0:000425|STRG.5442.2:154-879|+     -            242 107413at50557        -             88   6.1e-12   44.8   0.4   2   2   6.4e-13   5.2e-11   41.8   0.1    26    88   172   235   155   235 0.80 -
98621at50557_286706_0:000660|STRG.19434.1:1308-1982|+  -            225 107413at50557        -             88   7.7e-12   44.5   0.4   1   2       8.7   7.1e+02   -0.3   0.0    27    38    25    36    18    77 0.78 -
98621at50557_286706_0:000660|STRG.19434.1:1308-1982|+  -            225 107413at50557        -             88   7.7e-12   44.5   0.4   2   2     5e-13   4.1e-11   42.1   0.1    28    88   163   219   144   219 0.86 -
98621at50557_286706_0:000660|STRG.19434.2:354-1028|+   -            225 107413at50557        -             88   7.7e-12   44.5   0.4   1   2       8.7   7.1e+02   -0.3   0.0    27    38    25    36    18    77 0.78 -
98621at50557_286706_0:000660|STRG.19434.2:354-1028|+   -            225 107413at50557        -             88   7.7e-12   44.5   0.4   2   2     5e-13   4.1e-11   42.1   0.1    28    88   163   219   144   219 0.86 -
107413at50557_29053_0:002c88|STRG.16937.1:468-782|+    -            105 107413at50557        -             88   8.1e-12   44.4   2.9   1   1   2.5e-13   2.1e-11   43.1   2.9    23    88    32    94     1    94 0.70 -
93746at50557_568069_0:0045cd|STRG.4840.1:180-1307|+    -            376 107413at50557        -             88   1.4e-11   43.6   1.5   1   1   1.7e-13   1.4e-11   43.6   1.5    26    88   307   371   298   371 0.82 -
98621at50557_166361_0:000283|STRG.20798.1:288-995|+    -            236 107413at50557        -             88   2.2e-11   43.0   1.6   1   2       3.7     3e+02    0.9   0.1    23    36    31    43    21    58 0.77 -
98621at50557_166361_0:000283|STRG.20798.1:288-995|+    -            236 107413at50557        -             88   2.2e-11   43.0   1.6   2   2   2.7e-12   2.2e-10   39.8   0.3     3    88   139   235   137   235 0.70 -
98621at50557_6973_0:005d28|STRG.20442.1:64-402|+       -            113 107413at50557        -             88   2.5e-11   42.8   2.0   1   1   1.4e-12   1.1e-10   40.7   2.0    28    88    49   111     1   111 0.87 -
98621at50557_28612_0:00515f|STRG.16945.1:19-669|+      -            217 107413at50557        -             88   2.6e-11   42.8   0.8   1   1   3.2e-13   2.6e-11   42.8   0.8     1    84   124   216   124   217 0.69 -
98621at50557_568069_0:004daa|STRG.16937.1:87-761|+     -            225 107413at50557        -             88   3.9e-11   42.2   4.2   1   1   1.1e-12   9.1e-11   41.0   2.7     4    88   128   221   126   221 0.70 -
93746at50557_568069_0:0045cd|STRG.4099.1:166-1296|+    -            377 107413at50557        -             88     4e-11   42.2   4.5   1   2       5.6   4.6e+02    0.3   0.0    40    59   195   214   180   220 0.77 -
93746at50557_568069_0:0045cd|STRG.4099.1:166-1296|+    -            377 107413at50557        -             88     4e-11   42.2   4.5   2   2   1.7e-11   1.4e-09   37.3   3.0    26    88   308   377   267   377 0.69 -
93746at50557_568069_0:0045cd|STRG.4099.2:82-1164|+     -            361 107413at50557        -             88   4.1e-11   42.1   4.5   1   2       5.2   4.2e+02    0.4   0.0    40    59   179   198   163   204 0.77 -
93746at50557_568069_0:0045cd|STRG.4099.2:82-1164|+     -            361 107413at50557        -             88   4.1e-11   42.1   4.5   2   2   1.5e-11   1.3e-09   37.4   3.0    26    88   292   361   251   361 0.69 -
98621at50557_166361_0:000283|STRG.4096.2:616-1413|+    -            266 107413at50557        -             88   4.1e-11   42.1   2.7   1   1   8.1e-12   6.6e-10   38.3   2.7     2    88   154   262   153   262 0.65 -
107413at50557_13164_0:0005d0|STRG.9674.1:81-728|+      -            216 107413at50557        -             88     5e-11   41.9   6.7   1   2       1.1        86    2.6   0.0    25    40    19    34    12    63 0.83 -
107413at50557_13164_0:0005d0|STRG.9674.1:81-728|+      -            216 107413at50557        -             88     5e-11   41.9   6.7   2   2   1.7e-11   1.4e-09   37.3   4.8    27    83   163   215   122   216 0.75 -
107413at50557_13164_0:0005d0|STRG.9674.2:139-786|+     -            216 107413at50557        -             88     5e-11   41.9   6.7   1   2       1.1        86    2.6   0.0    25    40    19    34    12    63 0.83 -
107413at50557_13164_0:0005d0|STRG.9674.2:139-786|+     -            216 107413at50557        -             88     5e-11   41.9   6.7   2   2   1.7e-11   1.4e-09   37.3   4.8    27    83   163   215   122   216 0.75 -
93746at50557_568069_0:0045cd|STRG.4096.1:337-1416|+    -            360 107413at50557        -             88     9e-11   41.0   2.7   1   1   1.5e-11   1.2e-09   37.5   2.7     2    88   252   360   251   360 0.65 -
107413at50557_1155016_0:001042|STRG.5493.1:2-187|+     -             62 107413at50557        -             88   1.1e-10   40.8   0.0   1   1   1.4e-12   1.2e-10   40.7   0.0    30    88     3    58     1    58 0.84 -
107413at50557_1155016_0:001042|STRG.10112.1:5-154|+    -             50 107413at50557        -             88   1.2e-10   40.7   0.2   1   1   1.5e-12   1.3e-10   40.6   0.2    42    88     2    50     1    50 0.91 -
107413at50557_1155016_0:001042|STRG.2951.4:548-799|+   -             84 107413at50557        -             88   1.3e-10   40.6   0.8   1   1   1.8e-12   1.5e-10   40.4   0.8    29    88    22    80     7    80 0.85 -
107413at50557_1155016_0:001042|STRG.2951.5:385-636|+   -             84 107413at50557        -             88   1.3e-10   40.6   0.8   1   1   1.8e-12   1.5e-10   40.4   0.8    29    88    22    80     7    80 0.85 -
93746at50557_568069_0:0045cd|STRG.14088.2:507-1541|+   -            345 107413at50557        -             88   2.2e-10   39.8   0.3   1   1   7.1e-12   5.8e-10   38.5   0.3    35    88   286   340   274   340 0.84 -
93746at50557_568069_0:0045cd|STRG.14088.1:261-1343|+   -            361 107413at50557        -             88   2.4e-10   39.7   0.3   1   1   7.6e-12   6.2e-10   38.4   0.3    35    88   302   356   290   356 0.84 -
98621at50557_7160_0:003e24|STRG.5492.1:74-355|+        -             94 107413at50557        -             88     4e-10   39.0   0.5   1   1   5.6e-12   4.5e-10   38.8   0.5    27    88    31    92     8    92 0.86 -
98621at50557_38123_0:000655|STRG.19917.1:19-465|+      -            149 107413at50557        -             88   4.8e-10   38.7   1.1   1   1   2.1e-11   1.7e-09   36.9   1.1    30    88    86   145    44   145 0.70 -
98621at50557_28612_0:002b49|STRG.2951.1:117-860|+      -            248 107413at50557        -             88   7.4e-10   38.1   0.6   1   1   2.4e-11   1.9e-09   36.8   0.6    30    88   189   246   174   246 0.86 -
98621at50557_108931_0:00213d|STRG.11635.1:556-1266|+   -            237 107413at50557        -             88   1.6e-09   37.1   0.7   1   1   4.5e-11   3.7e-09   35.9   0.6     4    88   141   232   138   232 0.74 -
107413at50557_166361_0:000318|STRG.20444.1:27-677|+    -            217 107413at50557        -             88   1.9e-09   36.8   0.4   1   1   5.7e-11   4.7e-09   35.6   0.2    28    88   148   213   130   213 0.84 -
45935at50557_136037_0:001135|STRG.4807.1:509-1351|+    -            281 107413at50557        -             88   2.6e-09   36.4   3.4   1   2      0.29        24    4.5   0.0     1    25   158   187   158   195 0.69 -
45935at50557_136037_0:001135|STRG.4807.1:509-1351|+    -            281 107413at50557        -             88   2.6e-09   36.4   3.4   2   2   1.6e-09   1.3e-07   30.9   1.7    28    88   208   272   195   272 0.86 -
45935at50557_136037_0:001135|STRG.4807.2:545-1387|+    -            281 107413at50557        -             88   2.6e-09   36.4   3.4   1   2      0.29        24    4.5   0.0     1    25   158   187   158   195 0.69 -
45935at50557_136037_0:001135|STRG.4807.2:545-1387|+    -            281 107413at50557        -             88   2.6e-09   36.4   3.4   2   2   1.6e-09   1.3e-07   30.9   1.7    28    88   208   272   195   272 0.86 -
98621at50557_79782_0:0026bc|STRG.5492.2:85-762|+       -            226 107413at50557        -             88     3e-09   36.2   5.7   1   1   1.1e-10   8.9e-09   34.7   3.8     3    88   125   226   123   226 0.69 -
107413at50557_108931_0:000e8f|STRG.5443.2:181-870|+    -            230 107413at50557        -             88   3.9e-09   35.8   0.9   1   2       6.7   5.5e+02    0.1   0.0    20    36    16    32    13    48 0.79 -
107413at50557_108931_0:000e8f|STRG.5443.2:181-870|+    -            230 107413at50557        -             88   3.9e-09   35.8   0.9   2   2   2.1e-10   1.7e-08   33.7   0.1    26    88   166   229   149   229 0.78 -
98621at50557_156304_0:000097|STRG.5444.1:115-801|+     -            229 107413at50557        -             88     4e-09   35.8   6.3   1   1   9.9e-11   8.1e-09   34.8   4.7    29    88   169   226   124   226 0.87 -
107413at50557_91411_0:001705|STRG.20801.1:413-1123|+   -            237 107413at50557        -             88   4.3e-09   35.7   0.8   1   1   1.3e-10   1.1e-08   34.4   0.5    28    88   173   231   156   231 0.82 -
107413at50557_108931_0:000e8f|STRG.5443.1:136-780|+    -            215 107413at50557        -             88   5.7e-09   35.3   1.0   1   1   1.8e-10   1.5e-08   33.9   0.1    26    88   151   214   134   214 0.78 -
107413at50557_2015173_0:00166d|STRG.5432.1:1598-2368|+ -            257 107413at50557        -             88   6.2e-09   35.2   4.0   1   1   3.1e-09   2.5e-07   30.0   4.0    27    88   185   250   142   250 0.72 -
98621at50557_139723_0:00116f|STRG.8095.1:345-1088|+    -            248 107413at50557        -             88   8.6e-09   34.7   0.5   1   1   3.5e-10   2.9e-08   33.0   0.5    30    88   186   245   145   245 0.65 -
98621at50557_7460_0:000221|STRG.4100.1:177-956|+       -            260 107413at50557        -             88   2.2e-08   33.4   1.8   1   1   4.7e-10   3.8e-08   32.6   1.8    27    88   193   260   151   260 0.83 -
107413at50557_29053_0:002c88|STRG.7556.3:1790-2131|+   -            114 107413at50557        -             88   4.4e-08   32.4   1.8   1   1   7.3e-10     6e-08   32.0   1.8    28    88    42   110     3   110 0.82 -
107413at50557_1155016_0:001042|STRG.2951.2:1915-2058|+ -             48 107413at50557        -             88   7.2e-08   31.8   0.1   1   1   9.6e-10   7.9e-08   31.6   0.1    45    88     2    44     1    44 0.88 -
98621at50557_7260_0:001c8c|STRG.7556.3:1362-2131|+     -            247 107413at50557        -             88     8e-08   31.6   0.3   1   1   2.3e-09   1.8e-07   30.4   0.3    29    88   176   243   163   243 0.78 -
98621at50557_29029_0:001d93|STRG.7556.1:1230-1988|+    -            253 107413at50557        -             88   8.1e-08   31.6   0.3   1   1   2.4e-09   1.9e-07   30.4   0.3    29    88   182   249   169   249 0.78 -
98621at50557_29029_0:001d93|STRG.7556.2:1176-1934|+    -            253 107413at50557        -             88   8.1e-08   31.6   0.3   1   1   2.4e-09   1.9e-07   30.4   0.3    29    88   182   249   169   249 0.78 -
107413at50557_211228_0:00176b|STRG.16938.1:63-755|+    -            231 107413at50557        -             88   3.2e-07   29.7   3.5   1   1     2e-08   1.6e-06   27.4   2.8    26    88   171   230   134   230 0.81 -
98621at50557_199890_0:001c5b|STRG.2951.3:645-1977|+    -            209 107413at50557        -             88   4.3e-07   29.3   0.4   1   1   1.4e-08   1.1e-06   27.9   0.4    31    88   155   209   137   209 0.79 -
98621at50557_166361_0:000283|STRG.4097.1:263-1244|+    -            236 107413at50557        -             88   6.7e-07   28.6   0.3   1   1   1.6e-08   1.3e-06   27.7   0.3    29    88   166   232   149   232 0.73 -
93746at50557_568069_0:0045cd|STRG.4097.2:198-1292|+    -            365 107413at50557        -             88   1.1e-06   28.0   0.3   1   1   3.8e-08   3.1e-06   26.5   0.3    29    88   299   365   283   365 0.73 -
98621at50557_30019_0:0019d5|STRG.9938.1:1600-2388|+    -            263 107413at50557        -             88   1.4e-06   27.7   3.1   1   1   8.5e-08     7e-06   25.4   2.9    27    88   189   259   146   259 0.81 -
98621at50557_28612_0:00515f|STRG.8095.2:162-833|+      -            224 107413at50557        -             88   6.3e-06   25.5   0.8   1   1   2.8e-07   2.3e-05   23.7   0.8    30    81   172   224   131   224 0.61 -
98621at50557_166361_0:000283|STRG.3122.1:382-1140|+    -            253 107413at50557        -             88   1.2e-05   24.7   1.8   1   1   4.4e-07   3.6e-05   23.1   0.7    28    88   192   253   155   253 0.77 -
98621at50557_28612_0:002b49|STRG.16941.1:150-788|+     -            213 107413at50557        -             88   1.7e-05   24.2   1.3   1   2      0.64        52    3.3   0.0    27    53    17    44     7    73 0.69 -
98621at50557_28612_0:002b49|STRG.16941.1:150-788|+     -            213 107413at50557        -             88   1.7e-05   24.2   1.3   2   2   5.4e-06   0.00044   19.6   0.2    26    88   150   208   117   208 0.78 -
98621at50557_454923_0:00128e|STRG.5373.1:942-1736|+    -            265 107413at50557        -             88   0.00016   21.0   0.3   1   1   6.6e-06   0.00054   19.3   0.1    27    88   193   261   183   261 0.73 -
98621at50557_454923_0:00128e|STRG.5373.2:1265-2059|+   -            265 107413at50557        -             88   0.00016   21.0   0.3   1   1   6.6e-06   0.00054   19.3   0.1    27    88   193   261   183   261 0.73 -
17536at50557_103372_0:00299d|STRG.10006.1:462-2786|+   -            775 107413at50557        -             88   0.00044   19.6   0.2   1   1   1.8e-05    0.0014   18.0   0.2    27    88   702   770   670   770 0.62 -
98621at50557_28612_0:002b49|STRG.16942.1:119-742|+     -            208 107413at50557        -             88   0.00059   19.2   2.6   1   2      0.43        35    3.9   0.1    22    48    12    42     6    74 0.70 -
98621at50557_28612_0:002b49|STRG.16942.1:119-742|+     -            208 107413at50557        -             88   0.00059   19.2   2.6   2   2   0.00015     0.012   15.0   0.4    27    88   149   203   115   203 0.65 -
