#                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
48331at50557_103372_0:001fed|STRG.4212.1:425-1855|+ -            477 48331at50557         -            377  6.3e-189  626.8   1.0   1   1  1.3e-188  6.4e-186  616.9   1.0     1   377    40   474    40   474 0.90 -
69102at50557_43041_0:0020cc|STRG.3013.1:567-1364|+  -            266 48331at50557         -            377   1.1e-07   30.2   0.0   1   2     4e-05     0.021   12.9   0.0    51   178     3   122     1   133 0.75 -
69102at50557_43041_0:0020cc|STRG.3013.1:567-1364|+  -            266 48331at50557         -            377   1.1e-07   30.2   0.0   2   2   7.7e-06     0.004   15.2   0.0   235   275   213   257   189   264 0.74 -
69102at50557_7029_0:00259a|STRG.20879.2:1009-1797|+ -            263 48331at50557         -            377   1.2e-07   30.1   0.0   1   1   3.8e-09     2e-06   26.1   0.0    46   270     5   240     2   253 0.70 -
69102at50557_7029_0:00259a|STRG.3013.2:498-1163|+   -            222 48331at50557         -            377   2.1e-06   26.0   0.0   1   2    0.0012      0.59    8.1   0.0   134   178    13    59     8    70 0.79 -
69102at50557_7029_0:00259a|STRG.3013.2:498-1163|+   -            222 48331at50557         -            377   2.1e-06   26.0   0.0   2   2   4.6e-06    0.0023   16.0   0.0   235   276   150   195   125   212 0.76 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/48331at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/48331at50557.out --cpu 1 /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/48331at50557.hmm annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /home/justine/projet_tutore
# Date:            Sun Dec  1 20:07:58 2024
# [ok]
