#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
89317at50557_307658_0:00251a|STRG.10492.2:125-931|+    -            269 89317at50557         -            194  1.1e-113  376.9  14.5   1   1  3.6e-116  1.3e-113  376.7  14.5     1   194    21   234    21   234 0.95 -
89317at50557_88501_0:002a2b|STRG.17041.3:707-1402|+    -            232 89317at50557         -            194   5.8e-20   71.2  13.6   1   3     6e-05     0.022   13.8   2.2     2    57    11    68    10    82 0.88 -
89317at50557_88501_0:002a2b|STRG.17041.3:707-1402|+    -            232 89317at50557         -            194   5.8e-20   71.2  13.6   2   3   9.7e-09   3.6e-06   26.1   0.2     2    56    92   147    91   158 0.87 -
89317at50557_88501_0:002a2b|STRG.17041.3:707-1402|+    -            232 89317at50557         -            194   5.8e-20   71.2  13.6   3   3   1.4e-12   5.1e-10   38.7   0.5     3    52   179   229   177   232 0.95 -
89317at50557_104688_0:0015ad|STRG.10497.1:175-801|+    -            209 89317at50557         -            194   8.1e-20   70.7  10.6   1   1   3.6e-22   1.3e-19   70.0  10.6     3   181    11   208    10   209 0.81 -
89317at50557_29031_0:001282|STRG.10495.1:678-1061|+    -            128 89317at50557         -            194   2.2e-17   62.7   8.5   1   2   6.5e-13   2.4e-10   39.8   0.5     8    57     6    55     1    61 0.93 -
89317at50557_29031_0:001282|STRG.10495.1:678-1061|+    -            128 89317at50557         -            194   2.2e-17   62.7   8.5   2   2   5.1e-09   1.9e-06   27.1   2.3     3    54    70   121    68   127 0.95 -
89317at50557_28612_0:006203|STRG.7466.1:530-757|+      -             76 89317at50557         -            194   1.7e-11   43.6   1.8   1   1   4.8e-14   1.8e-11   43.4   1.8     1    56     8    63     8    73 0.93 -
89317at50557_28612_0:006203|STRG.7466.2:530-757|+      -             76 89317at50557         -            194   1.7e-11   43.6   1.8   1   1   4.8e-14   1.8e-11   43.4   1.8     1    56     8    63     8    73 0.93 -
89317at50557_1155016_0:000ed3|STRG.11507.1:1669-2043|+ -            125 89317at50557         -            194   4.3e-08   32.4   3.4   1   1   1.6e-10   5.9e-08   32.0   3.4     8   107    17   125    10   125 0.82 -
89317at50557_64459_0:002c1c|STRG.646.1:716-1246|+      -            177 89317at50557         -            194     8e-08   31.5  18.1   1   1   4.5e-09   1.7e-06   27.2  18.1    10   163     6   168     1   176 0.77 -
89317at50557_535359_0:0022dc|STRG.18593.1:1733-2167|+  -            145 89317at50557         -            194   5.7e-07   28.7   4.3   1   1   2.1e-08   7.7e-06   25.1   4.3    65   180     7   137     4   142 0.69 -
89317at50557_535359_0:0022dc|STRG.18593.2:1761-2195|+  -            145 89317at50557         -            194   5.7e-07   28.7   4.3   1   1   2.1e-08   7.7e-06   25.1   4.3    65   180     7   137     4   142 0.69 -
89317at50557_535359_0:0022dc|STRG.18593.3:1984-2418|+  -            145 89317at50557         -            194   5.7e-07   28.7   4.3   1   1   2.1e-08   7.7e-06   25.1   4.3    65   180     7   137     4   142 0.69 -
89317at50557_535359_0:0022dc|STRG.18593.4:1450-1884|+  -            145 89317at50557         -            194   5.7e-07   28.7   4.3   1   1   2.1e-08   7.7e-06   25.1   4.3    65   180     7   137     4   142 0.69 -
89317at50557_1155016_0:000ed3|STRG.17219.1:147-527|+   -            127 89317at50557         -            194   7.5e-05   21.8   3.3   1   2   8.1e-05      0.03   13.3   0.2     8    47     8    47     1    52 0.86 -
89317at50557_1155016_0:000ed3|STRG.17219.1:147-527|+   -            127 89317at50557         -            194   7.5e-05   21.8   3.3   2   2    0.0012      0.43    9.6   0.3     9    46    89   126    81   127 0.85 -
72000at50557_378494_0:002eaf|STRG.8934.1:681-989|+     -            103 89317at50557         -            194   0.00086   18.4   0.9   1   1   2.8e-06     0.001   18.1   0.9     8    55    46    94    38   101 0.87 -
89317at50557_286706_0:002e5b|STRG.3162.1:120-731|+     -            204 89317at50557         -            194      0.01   14.9   9.6   1   1    0.0001     0.038   13.0   9.6    14   117    30    73     8   204 0.82 -
90369at50557_29031_0:002749|STRG.11507.1:3457-5394|+   -            646 89317at50557         -            194     0.019   14.0   1.1   1   1   9.3e-05     0.034   13.2   1.1     9    84   465   539   456   554 0.78 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/89317at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/89317at50557.out --cpu 1 /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/89317at50557.hmm annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /home/justine/projet_tutore
# Date:            Sun Dec  1 20:10:22 2024
# [ok]
