#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
66691at50557_456900_0:002b0f|STRG.16519.1:383-1480|+  -            366 66691at50557         -            296  1.7e-144  479.5   9.6   1   1  5.8e-146  4.1e-144  478.2   9.6     1   290    15   354    15   359 0.89 -
78072at50557_7070_0:002a52|STRG.18902.1:1098-1940|+   -            281 66691at50557         -            296   5.5e-11   41.2   8.2   2   3   1.5e-06   0.00011   20.5   1.5    24   142    35   146    25   153 0.84 -
78072at50557_7070_0:002a52|STRG.18902.1:1098-1940|+   -            281 66691at50557         -            296   5.5e-11   41.2   8.2   3   3   1.7e-07   1.2e-05   23.6   0.7    24   143   162   278   152   281 0.80 -
78072at50557_7070_0:002a52|STRG.18902.2:1048-1890|+   -            281 66691at50557         -            296   5.5e-11   41.2   8.2   1   3       7.3   5.2e+02   -1.4   0.0    34    53     3    22     1    34 0.66 -
78072at50557_7070_0:002a52|STRG.18902.2:1048-1890|+   -            281 66691at50557         -            296   5.5e-11   41.2   8.2   2   3   1.5e-06   0.00011   20.5   1.5    24   142    35   146    25   153 0.84 -
78072at50557_7070_0:002a52|STRG.18902.2:1048-1890|+   -            281 66691at50557         -            296   5.5e-11   41.2   8.2   3   3   1.7e-07   1.2e-05   23.6   0.7    24   143   162   278   152   281 0.80 -
71739at50557_30019_0:000544|STRG.14638.1:286-1143|+   -            286 66691at50557         -            296   6.4e-11   40.9   1.1   1   2   1.5e-06   0.00011   20.5   0.8    26   145    50   163    46   164 0.84 -
71739at50557_30019_0:000544|STRG.14638.1:286-1143|+   -            286 66691at50557         -            296   6.4e-11   40.9   1.1   2   2   1.9e-05    0.0013   16.9   0.1    39   189   147   281   129   286 0.65 -
80377at50557_166361_0:002fc1|STRG.18366.2:1525-2292|+ -            256 66691at50557         -            296   1.1e-10   40.1   0.7   1   3   0.00031     0.022   12.9   0.1   121   196    24    91    18    97 0.81 -
80377at50557_166361_0:002fc1|STRG.18366.2:1525-2292|+ -            256 66691at50557         -            296   1.1e-10   40.1   0.7   2   3   5.8e-05    0.0042   15.3   0.1    26   104   102   178    96   216 0.69 -
80377at50557_166361_0:002fc1|STRG.18366.2:1525-2292|+ -            256 66691at50557         -            296   1.1e-10   40.1   0.7   3   3   0.00012    0.0087   14.2   0.2    22   144   140   254   137   255 0.83 -
49370at50557_2015173_0:001990|STRG.12010.1:578-1564|+ -            329 66691at50557         -            296   1.6e-10   39.6   0.2   1   2   3.9e-05    0.0028   15.8   0.3    18   127    30   137    21   156 0.70 -
49370at50557_2015173_0:001990|STRG.12010.1:578-1564|+ -            329 66691at50557         -            296   1.6e-10   39.6   0.2   2   2   2.2e-06   0.00016   19.9   0.0    21   147   163   287   157   292 0.89 -
49370at50557_2015173_0:001990|STRG.12010.2:661-1647|+ -            329 66691at50557         -            296   1.6e-10   39.6   0.2   1   2   3.9e-05    0.0028   15.8   0.3    18   127    30   137    21   156 0.70 -
49370at50557_2015173_0:001990|STRG.12010.2:661-1647|+ -            329 66691at50557         -            296   1.6e-10   39.6   0.2   2   2   2.2e-06   0.00016   19.9   0.0    21   147   163   287   157   292 0.89 -
49370at50557_2015173_0:001990|STRG.12010.3:575-1561|+ -            329 66691at50557         -            296   1.6e-10   39.6   0.2   1   2   3.9e-05    0.0028   15.8   0.3    18   127    30   137    21   156 0.70 -
49370at50557_2015173_0:001990|STRG.12010.3:575-1561|+ -            329 66691at50557         -            296   1.6e-10   39.6   0.2   2   2   2.2e-06   0.00016   19.9   0.0    21   147   163   287   157   292 0.89 -
40115at50557_28612_0:000941|STRG.18369.1:23-934|+     -            304 66691at50557         -            296   1.1e-09   36.9   0.1   1   2    0.0072      0.52    8.4   0.0    21    59    17    56     7    93 0.79 -
40115at50557_28612_0:000941|STRG.18369.1:23-934|+     -            304 66691at50557         -            296   1.1e-09   36.9   0.1   2   2   5.2e-08   3.7e-06   25.3   0.0    21   199   102   267    89   284 0.86 -
80377at50557_37344_0:0017d3|STRG.8067.1:893-1852|+    -            320 66691at50557         -            296   5.9e-09   34.5   1.8   1   5     0.026       1.9    6.6   0.0   117   148    67    98    58   102 0.85 -
80377at50557_37344_0:0017d3|STRG.8067.1:893-1852|+    -            320 66691at50557         -            296   5.9e-09   34.5   1.8   2   5   0.00013    0.0095   14.1   0.1    25    70   110   155   106   159 0.91 -
80377at50557_37344_0:0017d3|STRG.8067.1:893-1852|+    -            320 66691at50557         -            296   5.9e-09   34.5   1.8   3   5      0.39        28    2.7   0.1   119   154   172   207   168   216 0.80 -
80377at50557_37344_0:0017d3|STRG.8067.1:893-1852|+    -            320 66691at50557         -            296   5.9e-09   34.5   1.8   4   5     0.053       3.8    5.6   0.0   274   293   228   247   211   250 0.78 -
80377at50557_37344_0:0017d3|STRG.8067.1:893-1852|+    -            320 66691at50557         -            296   5.9e-09   34.5   1.8   5   5       4.2     3e+02   -0.7   0.0    74    91   263   280   255   291 0.75 -
80377at50557_37344_0:0017d3|STRG.8067.2:893-1852|+    -            320 66691at50557         -            296   5.9e-09   34.5   1.8   1   5     0.026       1.9    6.6   0.0   117   148    67    98    58   102 0.85 -
80377at50557_37344_0:0017d3|STRG.8067.2:893-1852|+    -            320 66691at50557         -            296   5.9e-09   34.5   1.8   2   5   0.00013    0.0095   14.1   0.1    25    70   110   155   106   159 0.91 -
80377at50557_37344_0:0017d3|STRG.8067.2:893-1852|+    -            320 66691at50557         -            296   5.9e-09   34.5   1.8   3   5      0.39        28    2.7   0.1   119   154   172   207   168   216 0.80 -
80377at50557_37344_0:0017d3|STRG.8067.2:893-1852|+    -            320 66691at50557         -            296   5.9e-09   34.5   1.8   4   5     0.053       3.8    5.6   0.0   274   293   228   247   211   250 0.78 -
80377at50557_37344_0:0017d3|STRG.8067.2:893-1852|+    -            320 66691at50557         -            296   5.9e-09   34.5   1.8   5   5       4.2     3e+02   -0.7   0.0    74    91   263   280   255   291 0.75 -
80377at50557_37344_0:0017d3|STRG.8067.3:893-1852|+    -            320 66691at50557         -            296   5.9e-09   34.5   1.8   1   5     0.026       1.9    6.6   0.0   117   148    67    98    58   102 0.85 -
80377at50557_37344_0:0017d3|STRG.8067.3:893-1852|+    -            320 66691at50557         -            296   5.9e-09   34.5   1.8   2   5   0.00013    0.0095   14.1   0.1    25    70   110   155   106   159 0.91 -
80377at50557_37344_0:0017d3|STRG.8067.3:893-1852|+    -            320 66691at50557         -            296   5.9e-09   34.5   1.8   3   5      0.39        28    2.7   0.1   119   154   172   207   168   216 0.80 -
80377at50557_37344_0:0017d3|STRG.8067.3:893-1852|+    -            320 66691at50557         -            296   5.9e-09   34.5   1.8   4   5     0.053       3.8    5.6   0.0   274   293   228   247   211   250 0.78 -
80377at50557_37344_0:0017d3|STRG.8067.3:893-1852|+    -            320 66691at50557         -            296   5.9e-09   34.5   1.8   5   5       4.2     3e+02   -0.7   0.0    74    91   263   280   255   291 0.75 -
80377at50557_37344_0:0017d3|STRG.8067.4:893-1852|+    -            320 66691at50557         -            296   5.9e-09   34.5   1.8   1   5     0.026       1.9    6.6   0.0   117   148    67    98    58   102 0.85 -
80377at50557_37344_0:0017d3|STRG.8067.4:893-1852|+    -            320 66691at50557         -            296   5.9e-09   34.5   1.8   2   5   0.00013    0.0095   14.1   0.1    25    70   110   155   106   159 0.91 -
80377at50557_37344_0:0017d3|STRG.8067.4:893-1852|+    -            320 66691at50557         -            296   5.9e-09   34.5   1.8   3   5      0.39        28    2.7   0.1   119   154   172   207   168   216 0.80 -
80377at50557_37344_0:0017d3|STRG.8067.4:893-1852|+    -            320 66691at50557         -            296   5.9e-09   34.5   1.8   4   5     0.053       3.8    5.6   0.0   274   293   228   247   211   250 0.78 -
80377at50557_37344_0:0017d3|STRG.8067.4:893-1852|+    -            320 66691at50557         -            296   5.9e-09   34.5   1.8   5   5       4.2     3e+02   -0.7   0.0    74    91   263   280   255   291 0.75 -
80377at50557_37344_0:0017d3|STRG.8067.5:893-1852|+    -            320 66691at50557         -            296   5.9e-09   34.5   1.8   1   5     0.026       1.9    6.6   0.0   117   148    67    98    58   102 0.85 -
80377at50557_37344_0:0017d3|STRG.8067.5:893-1852|+    -            320 66691at50557         -            296   5.9e-09   34.5   1.8   2   5   0.00013    0.0095   14.1   0.1    25    70   110   155   106   159 0.91 -
80377at50557_37344_0:0017d3|STRG.8067.5:893-1852|+    -            320 66691at50557         -            296   5.9e-09   34.5   1.8   3   5      0.39        28    2.7   0.1   119   154   172   207   168   216 0.80 -
80377at50557_37344_0:0017d3|STRG.8067.5:893-1852|+    -            320 66691at50557         -            296   5.9e-09   34.5   1.8   4   5     0.053       3.8    5.6   0.0   274   293   228   247   211   250 0.78 -
80377at50557_37344_0:0017d3|STRG.8067.5:893-1852|+    -            320 66691at50557         -            296   5.9e-09   34.5   1.8   5   5       4.2     3e+02   -0.7   0.0    74    91   263   280   255   291 0.75 -
80377at50557_37344_0:0017d3|STRG.8067.6:893-1852|+    -            320 66691at50557         -            296   5.9e-09   34.5   1.8   1   5     0.026       1.9    6.6   0.0   117   148    67    98    58   102 0.85 -
80377at50557_37344_0:0017d3|STRG.8067.6:893-1852|+    -            320 66691at50557         -            296   5.9e-09   34.5   1.8   2   5   0.00013    0.0095   14.1   0.1    25    70   110   155   106   159 0.91 -
80377at50557_37344_0:0017d3|STRG.8067.6:893-1852|+    -            320 66691at50557         -            296   5.9e-09   34.5   1.8   3   5      0.39        28    2.7   0.1   119   154   172   207   168   216 0.80 -
80377at50557_37344_0:0017d3|STRG.8067.6:893-1852|+    -            320 66691at50557         -            296   5.9e-09   34.5   1.8   4   5     0.053       3.8    5.6   0.0   274   293   228   247   211   250 0.78 -
80377at50557_37344_0:0017d3|STRG.8067.6:893-1852|+    -            320 66691at50557         -            296   5.9e-09   34.5   1.8   5   5       4.2     3e+02   -0.7   0.0    74    91   263   280   255   291 0.75 -
43121at50557_103372_0:001d6c|STRG.19264.1:0-1529|+    -            510 66691at50557         -            296   6.8e-09   34.3   0.5   1   2   6.2e-05    0.0044   15.2   0.0   110   199   205   295   195   303 0.90 -
43121at50557_103372_0:001d6c|STRG.19264.1:0-1529|+    -            510 66691at50557         -            296   6.8e-09   34.3   0.5   2   2   2.4e-05    0.0017   16.5   0.3   118   195   306   376   298   400 0.87 -
40115at50557_103372_0:0021d6|STRG.11081.1:216-1661|+  -            482 66691at50557         -            296   7.6e-09   34.1  10.5   1   4    0.0041      0.29    9.2   0.1   120   199   122   194   117   205 0.80 -
40115at50557_103372_0:0021d6|STRG.11081.1:216-1661|+  -            482 66691at50557         -            296   7.6e-09   34.1  10.5   2   4     0.015         1    7.4   1.8    19    84   196   264   187   283 0.76 -
40115at50557_103372_0:0021d6|STRG.11081.1:216-1661|+  -            482 66691at50557         -            296   7.6e-09   34.1  10.5   3   4     0.045       3.2    5.8   0.0   161   201   362   402   338   410 0.79 -
40115at50557_103372_0:0021d6|STRG.11081.1:216-1661|+  -            482 66691at50557         -            296   7.6e-09   34.1  10.5   4   4   2.3e-05    0.0017   16.6   0.1    94   179   381   464   373   477 0.67 -
40115at50557_144034_0:000898|STRG.12872.1:741-1610|+  -            290 66691at50557         -            296   1.1e-08   33.6   0.3   1   3    0.0047      0.34    9.0   0.3    25   102     2    77     1   111 0.84 -
40115at50557_144034_0:000898|STRG.12872.1:741-1610|+  -            290 66691at50557         -            296   1.1e-08   33.6   0.3   2   3       2.4   1.7e+02    0.2   0.0    40    62   104   126    76   133 0.72 -
40115at50557_144034_0:000898|STRG.12872.1:741-1610|+  -            290 66691at50557         -            296   1.1e-08   33.6   0.3   3   3   8.9e-07   6.4e-05   21.2   0.0    28   148   134   250   127   266 0.89 -
80377at50557_166361_0:002fc1|STRG.18956.1:453-1166|+  -            238 66691at50557         -            296     2e-08   32.8   0.1   1   3     0.069       4.9    5.2   0.0   168   204     5    41     1    48 0.85 -
80377at50557_166361_0:002fc1|STRG.18956.1:453-1166|+  -            238 66691at50557         -            296     2e-08   32.8   0.1   2   3     2e-05    0.0014   16.8   0.0   122   150    68    96    63   109 0.83 -
80377at50557_166361_0:002fc1|STRG.18956.1:453-1166|+  -            238 66691at50557         -            296     2e-08   32.8   0.1   3   3     0.037       2.6    6.1   0.1    78   194   114   224   109   235 0.56 -
13625at50557_103372_0:00203b|STRG.19774.1:24-2792|+   -            923 66691at50557         -            296   2.2e-08   32.6   1.1   1   4   7.1e-07   5.1e-05   21.6   0.0    30   147    51   168    23   174 0.83 -
13625at50557_103372_0:00203b|STRG.19774.1:24-2792|+   -            923 66691at50557         -            296   2.2e-08   32.6   1.1   2   4       4.2     3e+02   -0.7   0.1   102   143   289   331   277   386 0.64 -
13625at50557_103372_0:00203b|STRG.19774.1:24-2792|+   -            923 66691at50557         -            296   2.2e-08   32.6   1.1   3   4       1.1        75    1.3   0.1   118   196   391   462   355   486 0.74 -
13625at50557_103372_0:00203b|STRG.19774.1:24-2792|+   -            923 66691at50557         -            296   2.2e-08   32.6   1.1   4   4      0.11       7.9    4.5   0.0    26    93   517   584   511   596 0.76 -
13625at50557_103372_0:00203b|STRG.19774.2:0-2783|+    -            928 66691at50557         -            296   2.3e-08   32.6   1.1   1   4   7.2e-07   5.2e-05   21.5   0.0    30   147    56   173    28   179 0.83 -
13625at50557_103372_0:00203b|STRG.19774.2:0-2783|+    -            928 66691at50557         -            296   2.3e-08   32.6   1.1   2   4       4.3   3.1e+02   -0.7   0.1   102   143   294   336   282   391 0.64 -
13625at50557_103372_0:00203b|STRG.19774.2:0-2783|+    -            928 66691at50557         -            296   2.3e-08   32.6   1.1   3   4       1.1        76    1.3   0.1   118   196   396   467   360   491 0.74 -
13625at50557_103372_0:00203b|STRG.19774.2:0-2783|+    -            928 66691at50557         -            296   2.3e-08   32.6   1.1   4   4      0.11         8    4.5   0.0    26    93   522   589   516   601 0.76 -
49370at50557_79782_0:001886|STRG.16130.1:1562-2551|+  -            330 66691at50557         -            296   2.8e-08   32.3   0.0   1   3   4.6e-05    0.0033   15.6   0.0    22    91    37   105    29   114 0.84 -
49370at50557_79782_0:001886|STRG.16130.1:1562-2551|+  -            330 66691at50557         -            296   2.8e-08   32.3   0.0   2   3       3.3   2.4e+02   -0.3   0.0    27    55   174   201   163   206 0.80 -
49370at50557_79782_0:001886|STRG.16130.1:1562-2551|+  -            330 66691at50557         -            296   2.8e-08   32.3   0.0   3   3     0.012      0.86    7.7   0.0     9    95   234   319   229   323 0.73 -
40115at50557_29053_0:0017ce|STRG.9291.1:268-1140|+    -            291 66691at50557         -            296   4.4e-08   31.6   7.3   1   5     0.098         7    4.7   0.1   275   295    19    39     2    40 0.69 -
40115at50557_29053_0:0017ce|STRG.9291.1:268-1140|+    -            291 66691at50557         -            296   4.4e-08   31.6   7.3   2   5     0.014         1    7.4   0.2   166   200    45    79    36   128 0.80 -
40115at50557_29053_0:0017ce|STRG.9291.1:268-1140|+    -            291 66691at50557         -            296   4.4e-08   31.6   7.3   3   5   0.00025     0.018   13.2   0.0    25    73   132   180   125   200 0.82 -
40115at50557_29053_0:0017ce|STRG.9291.1:268-1140|+    -            291 66691at50557         -            296   4.4e-08   31.6   7.3   4   5      0.28        20    3.2   0.0    27    62   176   211   172   217 0.85 -
40115at50557_29053_0:0017ce|STRG.9291.1:268-1140|+    -            291 66691at50557         -            296   4.4e-08   31.6   7.3   5   5     0.088       6.3    4.8   0.1    25    56   260   291   233   291 0.74 -
80377at50557_7070_0:0023da|STRG.18368.1:447-1094|+    -            216 66691at50557         -            296   5.1e-08   31.4   0.3   1   3      0.21        15    3.6   0.0   162   193     2    33     1    35 0.72 -
80377at50557_7070_0:0023da|STRG.18368.1:447-1094|+    -            216 66691at50557         -            296   5.1e-08   31.4   0.3   2   3    0.0099      0.71    8.0   0.1    22    66    43    87    41   123 0.77 -
80377at50557_7070_0:0023da|STRG.18368.1:447-1094|+    -            216 66691at50557         -            296   5.1e-08   31.4   0.3   3   3   4.4e-05    0.0031   15.7   0.0    20    99   124   201   109   210 0.87 -
40115at50557_7370_0:002473|STRG.10477.1:345-1214|+    -            290 66691at50557         -            296   8.4e-08   30.7   1.4   1   2   4.3e-07   3.1e-05   22.3   0.3    26   200     2   163     1   169 0.87 -
40115at50557_7370_0:002473|STRG.10477.1:345-1214|+    -            290 66691at50557         -            296   8.4e-08   30.7   1.4   2   2      0.17        12    3.9   0.1    36    87   138   188   123   261 0.49 -
80377at50557_456900_0:000374|STRG.9321.3:127-1173|+   -            349 66691at50557         -            296   1.3e-07   30.1   0.2   1   4     0.003      0.21    9.7   0.0   122   201    60   133    56   148 0.76 -
80377at50557_456900_0:000374|STRG.9321.3:127-1173|+   -            349 66691at50557         -            296   1.3e-07   30.1   0.2   2   4       1.2        84    1.2   0.0   158   199   132   174   126   185 0.82 -
80377at50557_456900_0:000374|STRG.9321.3:127-1173|+   -            349 66691at50557         -            296   1.3e-07   30.1   0.2   3   4       2.2   1.6e+02    0.2   0.1    30    59   185   214   174   221 0.72 -
80377at50557_456900_0:000374|STRG.9321.3:127-1173|+   -            349 66691at50557         -            296   1.3e-07   30.1   0.2   4   4   0.00026     0.019   13.1   0.0    21   143   218   342   210   346 0.75 -
40115at50557_77166_0:00051d|STRG.18366.1:283-705|+    -            141 66691at50557         -            296   2.3e-07   29.3   1.2   1   1   2.7e-06   0.00019   19.7   0.2   106   194    12    98     1   106 0.80 -
40115at50557_77166_0:00051d|STRG.18366.2:283-705|+    -            141 66691at50557         -            296   2.3e-07   29.3   1.2   1   1   2.7e-06   0.00019   19.7   0.2   106   194    12    98     1   106 0.80 -
31374at50557_133901_0:001035|STRG.10131.1:394-1938|+  -            515 66691at50557         -            296   2.4e-07   29.2   1.1   1   2   7.5e-07   5.4e-05   21.5   0.0   122   198   358   427   356   436 0.91 -
31374at50557_133901_0:001035|STRG.10131.1:394-1938|+  -            515 66691at50557         -            296   2.4e-07   29.2   1.1   2   2      0.09       6.4    4.8   0.0   118   148   438   468   433   494 0.71 -
31374at50557_133901_0:001035|STRG.10131.2:394-1938|+  -            515 66691at50557         -            296   2.4e-07   29.2   1.1   1   2   7.5e-07   5.4e-05   21.5   0.0   122   198   358   427   356   436 0.91 -
31374at50557_133901_0:001035|STRG.10131.2:394-1938|+  -            515 66691at50557         -            296   2.4e-07   29.2   1.1   2   2      0.09       6.4    4.8   0.0   118   148   438   468   433   494 0.71 -
78072at50557_156304_0:001dd8|STRG.4893.1:1811-2527|+  -            239 66691at50557         -            296   2.4e-07   29.2   2.3   1   3   8.5e-06   0.00061   18.0   0.0    25   104     2    84     1    97 0.77 -
78072at50557_156304_0:001dd8|STRG.4893.1:1811-2527|+  -            239 66691at50557         -            296   2.4e-07   29.2   2.3   2   3     0.022       1.5    6.9   0.1    26    61   101   136    95   154 0.84 -
78072at50557_156304_0:001dd8|STRG.4893.1:1811-2527|+  -            239 66691at50557         -            296   2.4e-07   29.2   2.3   3   3      0.47        34    2.5   0.0   168   195   195   222   181   232 0.80 -
80377at50557_77166_0:002f29|STRG.14904.1:1111-1980|+  -            290 66691at50557         -            296   4.8e-07   28.2   2.4   1   3   0.00032     0.023   12.9   0.2   122   191     6    70     3    80 0.76 -
80377at50557_77166_0:002f29|STRG.14904.1:1111-1980|+  -            290 66691at50557         -            296   4.8e-07   28.2   2.4   2   3     0.026       1.8    6.6   0.0    20   192    80   242    73   255 0.52 -
80377at50557_77166_0:002f29|STRG.14904.1:1111-1980|+  -            290 66691at50557         -            296   4.8e-07   28.2   2.4   3   3     0.009      0.65    8.1   0.1    31   146   174   287   165   290 0.76 -
80377at50557_77166_0:002f29|STRG.14904.2:1149-2018|+  -            290 66691at50557         -            296   4.8e-07   28.2   2.4   1   3   0.00032     0.023   12.9   0.2   122   191     6    70     3    80 0.76 -
80377at50557_77166_0:002f29|STRG.14904.2:1149-2018|+  -            290 66691at50557         -            296   4.8e-07   28.2   2.4   2   3     0.026       1.8    6.6   0.0    20   192    80   242    73   255 0.52 -
80377at50557_77166_0:002f29|STRG.14904.2:1149-2018|+  -            290 66691at50557         -            296   4.8e-07   28.2   2.4   3   3     0.009      0.65    8.1   0.1    31   146   174   287   165   290 0.76 -
80377at50557_104688_0:000c4b|STRG.19312.1:200-751|+   -            184 66691at50557         -            296   7.2e-07   27.6   2.6   1   2      0.11         8    4.5   0.0    46    99     3    61     1    71 0.75 -
80377at50557_104688_0:000c4b|STRG.19312.1:200-751|+   -            184 66691at50557         -            296   7.2e-07   27.6   2.6   2   2   2.2e-06   0.00016   20.0   1.1    15   100    79   165    75   177 0.69 -
80377at50557_104688_0:000c4b|STRG.19312.2:200-751|+   -            184 66691at50557         -            296   7.2e-07   27.6   2.6   1   2      0.11         8    4.5   0.0    46    99     3    61     1    71 0.75 -
80377at50557_104688_0:000c4b|STRG.19312.2:200-751|+   -            184 66691at50557         -            296   7.2e-07   27.6   2.6   2   2   2.2e-06   0.00016   20.0   1.1    15   100    79   165    75   177 0.69 -
49370at50557_1155016_0:000d9f|STRG.7543.1:315-665|+   -            117 66691at50557         -            296     8e-07   27.5   0.7   1   2     0.049       3.5    5.7   0.0    25    61     1    37     1    42 0.92 -
49370at50557_1155016_0:000d9f|STRG.7543.1:315-665|+   -            117 66691at50557         -            296     8e-07   27.5   0.7   2   2   1.3e-06   9.3e-05   20.7   0.2    25    93    43   110    38   116 0.82 -
