#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
108452at50557_144034_0:001560|STRG.7105.1:75-920|+    -            282 108452at50557        -            212  1.8e-113  376.3   1.1   1   1  6.9e-116  2.4e-113  375.9   1.1     1   201    16   229    16   235 0.95 -
108452at50557_7536_0:002ce9|STRG.4400.1:3233-3598|+   -            122 108452at50557        -            212     6e-08   31.5   0.0   1   1     2e-10   6.8e-08   31.3   0.0    24   122    20   122     4   122 0.82 -
108452at50557_7536_0:002ce9|STRG.4400.2:2423-2788|+   -            122 108452at50557        -            212     6e-08   31.5   0.0   1   1     2e-10   6.8e-08   31.3   0.0    24   122    20   122     4   122 0.82 -
108452at50557_7536_0:002ce9|STRG.4400.4:983-1348|+    -            122 108452at50557        -            212     6e-08   31.5   0.0   1   1     2e-10   6.8e-08   31.3   0.0    24   122    20   122     4   122 0.82 -
43010at50557_246812_0:0014c3|STRG.9354.1:1870-2364|+  -            165 108452at50557        -            212     1e-05   24.2  12.9   1   1   4.8e-08   1.6e-05   23.5  12.9   139   195   108   165     5   165 0.68 -
43010at50557_246812_0:0014c3|STRG.9354.2:1882-2376|+  -            165 108452at50557        -            212     1e-05   24.2  12.9   1   1   4.8e-08   1.6e-05   23.5  12.9   139   195   108   165     5   165 0.68 -
43010at50557_246812_0:0014c3|STRG.9354.3:1882-2376|+  -            165 108452at50557        -            212     1e-05   24.2  12.9   1   1   4.8e-08   1.6e-05   23.5  12.9   139   195   108   165     5   165 0.68 -
43010at50557_246812_0:0014c3|STRG.9354.4:1865-2359|+  -            165 108452at50557        -            212     1e-05   24.2  12.9   1   1   4.8e-08   1.6e-05   23.5  12.9   139   195   108   165     5   165 0.68 -
43010at50557_246812_0:0014c3|STRG.9354.5:1979-2473|+  -            165 108452at50557        -            212     1e-05   24.2  12.9   1   1   4.8e-08   1.6e-05   23.5  12.9   139   195   108   165     5   165 0.68 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/108452at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/108452at50557.out --cpu 1 /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/108452at50557.hmm annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /home/justine/projet_tutore
# Date:            Sun Dec  1 20:02:13 2024
# [ok]
