#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
74932at50557_103372_0:0007c3|STRG.3605.1:11-1126|+     -            372 74932at50557         -            280  1.4e-153  509.0   1.1   1   1  8.8e-156  1.7e-153  508.7   1.1     1   280    36   342    36   342 0.94 -
73951at50557_34720_0:00262d|STRG.8218.1:32-1621|+      -            530 74932at50557         -            280   7.9e-22   76.7   3.3   1   2   1.9e-20   3.6e-18   64.7   0.7     2    63    84   153    83   171 0.90 -
73951at50557_34720_0:00262d|STRG.8218.1:32-1621|+      -            530 74932at50557         -            280   7.9e-22   76.7   3.3   2   2   0.00022     0.042   12.0   0.1   153   280   297   422   284   422 0.80 -
74932at50557_104421_0:00028f|STRG.9250.1:137-1072|+    -            312 74932at50557         -            280   2.9e-19   68.3   0.0   1   2     3e-08   5.6e-06   24.7   0.0    12    67    19    73     3    90 0.90 -
74932at50557_104421_0:00028f|STRG.9250.1:137-1072|+    -            312 74932at50557         -            280   2.9e-19   68.3   0.0   2   2   2.4e-13   4.5e-11   41.4   0.0   160   279   167   294   146   295 0.84 -
74932at50557_104421_0:00028f|STRG.9250.3:217-1086|+    -            290 74932at50557         -            280   8.8e-18   63.4   0.0   1   2   1.1e-06    0.0002   19.6   0.0    16    67     1    51     1    68 0.86 -
74932at50557_104421_0:00028f|STRG.9250.3:217-1086|+    -            290 74932at50557         -            280   8.8e-18   63.4   0.0   2   2   1.9e-13   3.6e-11   41.7   0.0   159   279   144   272   121   273 0.84 -
109756at50557_378494_0:003794|STRG.12328.1:290-502|+   -             71 74932at50557         -            280   2.4e-17   62.0   0.8   1   1   1.3e-19   2.4e-17   62.0   0.8    12    66    15    70     1    71 0.92 -
109756at50557_378494_0:003794|STRG.12328.3:264-476|+   -             71 74932at50557         -            280   2.4e-17   62.0   0.8   1   1   1.3e-19   2.4e-17   62.0   0.8    12    66    15    70     1    71 0.92 -
109756at50557_52612_0:003ea0|STRG.3942.1:302-523|+     -             74 74932at50557         -            280   2.6e-16   58.6   0.6   1   1   1.6e-18   3.1e-16   58.3   0.6     2    64     3    73     2    74 0.90 -
109756at50557_378494_0:003794|STRG.12328.2:290-475|+   -             62 74932at50557         -            280   6.7e-15   54.0   1.0   1   1   3.5e-17   6.7e-15   54.0   1.0    12    58    15    62     1    62 0.92 -
109756at50557_103372_0:00251e|STRG.17061.3:182-859|+   -            226 74932at50557         -            280   7.8e-15   53.7   0.1   1   1   5.3e-17     1e-14   53.4   0.1     5    62    13    78     9    97 0.85 -
109756at50557_103372_0:00251e|STRG.17061.2:183-872|+   -            230 74932at50557         -            280   8.2e-15   53.7   0.1   1   1   5.7e-17   1.1e-14   53.3   0.1     5    62    13    78     9    96 0.85 -
109756at50557_103372_0:00251e|STRG.17061.1:183-926|+   -            248 74932at50557         -            280   9.4e-15   53.5   0.1   1   1   6.6e-17   1.2e-14   53.1   0.1     5    62    13    78     9    96 0.85 -
41065at50557_7536_0:00279b|STRG.2361.1:311-607|+       -             99 74932at50557         -            280   7.6e-14   50.5   0.2   1   1   6.7e-16   1.3e-13   49.8   0.2     8    84    13    98     3    99 0.74 -
127306at50557_64793_0:0016b5|STRG.15520.1:144-818|+    -            225 74932at50557         -            280     7e-13   47.4   0.7   1   2   6.4e-15   1.2e-12   46.6   0.4     9    64    80   135    72   146 0.90 -
127306at50557_64793_0:0016b5|STRG.15520.1:144-818|+    -            225 74932at50557         -            280     7e-13   47.4   0.7   2   2       7.2   1.4e+03   -2.8   0.0   232   265   179   214   174   220 0.65 -
127306at50557_64793_0:0016b5|STRG.15520.2:90-764|+     -            225 74932at50557         -            280     7e-13   47.4   0.7   1   2   6.4e-15   1.2e-12   46.6   0.4     9    64    80   135    72   146 0.90 -
127306at50557_64793_0:0016b5|STRG.15520.2:90-764|+     -            225 74932at50557         -            280     7e-13   47.4   0.7   2   2       7.2   1.4e+03   -2.8   0.0   232   265   179   214   174   220 0.65 -
127306at50557_64793_0:0016b5|STRG.15520.3:90-743|+     -            218 74932at50557         -            280   7.2e-13   47.3   0.7   1   2     6e-15   1.1e-12   46.7   0.4     9    64    80   135    72   146 0.90 -
127306at50557_64793_0:0016b5|STRG.15520.3:90-743|+     -            218 74932at50557         -            280   7.2e-13   47.3   0.7   2   2       9.9   1.9e+03   -3.3   0.0   232   265   179   214   175   216 0.63 -
108140at50557_34720_0:001e92|STRG.12922.1:173-2107|+   -            645 74932at50557         -            280   1.7e-12   46.1   1.1   1   1   1.4e-14   2.7e-12   45.4   0.2    12    67    19    75     2   110 0.83 -
108140at50557_34720_0:001e92|STRG.12922.5:575-2509|+   -            645 74932at50557         -            280   1.7e-12   46.1   1.1   1   1   1.4e-14   2.7e-12   45.4   0.2    12    67    19    75     2   110 0.83 -
108140at50557_520822_0:000b46|STRG.12922.2:132-2066|+  -            645 74932at50557         -            280   1.7e-12   46.1   1.1   1   1   1.4e-14   2.7e-12   45.4   0.2    12    67    19    75     2   110 0.83 -
100045at50557_103372_0:000fa2|STRG.12907.1:55-1026|+   -            324 74932at50557         -            280   6.6e-12   44.2   0.1   1   2   3.5e-14   6.6e-12   44.2   0.1    12    60    24    72     7    88 0.91 -
100045at50557_103372_0:000fa2|STRG.12907.1:55-1026|+   -            324 74932at50557         -            280   6.6e-12   44.2   0.1   2   2       6.6   1.2e+03   -2.7   0.2    15    50   103   137    89   164 0.74 -
41065at50557_103372_0:000e4c|STRG.8980.1:139-1581|+    -            481 74932at50557         -            280   2.3e-11   42.4   1.3   1   1   2.1e-13     4e-11   41.6   1.3     2    78   376   467   375   480 0.72 -
41065at50557_133901_0:001440|STRG.17666.1:346-1698|+   -            451 74932at50557         -            280   1.9e-10   39.4   1.8   1   1     1e-12   1.9e-10   39.4   1.8     3    69   348   426   346   450 0.71 -
41065at50557_133901_0:001440|STRG.17666.2:162-1514|+   -            451 74932at50557         -            280   1.9e-10   39.4   1.8   1   1     1e-12   1.9e-10   39.4   1.8     3    69   348   426   346   450 0.71 -
126448at50557_568069_0:001ed1|STRG.11111.1:122-859|+   -            246 74932at50557         -            280     6e-10   37.7   0.3   1   1     5e-12   9.4e-10   37.1   0.3     3    66    15    88    13   131 0.74 -
88846at50557_34720_0:00286f|STRG.20725.1:0-1316|+      -            439 74932at50557         -            280   1.5e-09   36.5   1.0   1   1   9.5e-12   1.8e-09   36.2   0.0     3    59    44   107    42   114 0.87 -
108140at50557_121225_0:00229f|STRG.12922.4:147-1200|+  -            344 74932at50557         -            280   1.6e-08   33.0   1.6   1   2   1.1e-10     2e-08   32.7   0.2    12    57    19    65     2   104 0.84 -
108140at50557_121225_0:00229f|STRG.12922.4:147-1200|+  -            344 74932at50557         -            280   1.6e-08   33.0   1.6   2   2       3.8   7.2e+02   -1.9   0.1   170   214   234   277   203   289 0.63 -
125026at50557_411798_0:00322d|STRG.11209.1:1-777|+     -            259 74932at50557         -            280   2.3e-08   32.6   1.1   1   1   2.3e-10   4.3e-08   31.6   1.1     9    60    70   122    65   139 0.79 -
60993at50557_103372_0:00057c|STRG.3313.1:85-1767|+     -            561 74932at50557         -            280   5.8e-08   31.2   0.0   1   1   6.4e-10   1.2e-07   30.2   0.0    12    69    30    90    12    94 0.87 -
25981at50557_456900_0:000c28|STRG.8154.1:74-2353|+     -            760 74932at50557         -            280     6e-08   31.2   0.1   1   1   7.4e-10   1.4e-07   30.0   0.1    12    62   121   168   108   170 0.92 -
100045at50557_7395_0:004563|STRG.6180.1:167-445|+      -             93 74932at50557         -            280     2e-07   29.5   1.2   1   1   1.1e-09   2.1e-07   29.4   1.2    12    69    18    74     2    81 0.86 -
125026at50557_454923_0:000298|STRG.18876.1:2049-2438|+ -            130 74932at50557         -            280   2.4e-07   29.2   0.0   1   1   1.4e-09   2.7e-07   29.0   0.0    12    60    60   107    41   124 0.85 -
125026at50557_454923_0:000298|STRG.18876.2:1791-2180|+ -            130 74932at50557         -            280   2.4e-07   29.2   0.0   1   1   1.4e-09   2.7e-07   29.0   0.0    12    60    60   107    41   124 0.85 -
125026at50557_454923_0:000298|STRG.18876.3:2117-2506|+ -            130 74932at50557         -            280   2.4e-07   29.2   0.0   1   1   1.4e-09   2.7e-07   29.0   0.0    12    60    60   107    41   124 0.85 -
74932at50557_104421_0:00028f|STRG.9250.4:111-698|+     -            196 74932at50557         -            280   6.1e-07   27.9   0.0   1   2   1.2e-08   2.3e-06   26.0   0.0    12    67    19    73     3    91 0.89 -
74932at50557_104421_0:00028f|STRG.9250.4:111-698|+     -            196 74932at50557         -            280   6.1e-07   27.9   0.0   2   2       1.3   2.5e+02   -0.4   0.0   216   240   136   160   111   196 0.57 -
74932at50557_104421_0:00028f|STRG.9250.5:111-698|+     -            196 74932at50557         -            280   6.1e-07   27.9   0.0   1   2   1.2e-08   2.3e-06   26.0   0.0    12    67    19    73     3    91 0.89 -
74932at50557_104421_0:00028f|STRG.9250.5:111-698|+     -            196 74932at50557         -            280   6.1e-07   27.9   0.0   2   2       1.3   2.5e+02   -0.4   0.0   216   240   136   160   111   196 0.57 -
96874at50557_34720_0:002015|STRG.3817.1:339-1448|+     -            370 74932at50557         -            280   4.9e-06   24.9   0.2   1   1   3.7e-08     7e-06   24.4   0.2    12    56   314   362   300   369 0.81 -
74932at50557_7200_0:002722|STRG.9250.2:217-630|+       -            138 74932at50557         -            280   2.1e-05   22.8   0.0   1   2   2.5e-07   4.6e-05   21.7   0.0    16    67     1    51     1    70 0.86 -
74932at50557_7200_0:002722|STRG.9250.2:217-630|+       -            138 74932at50557         -            280   2.1e-05   22.8   0.0   2   2       3.2   6.1e+02   -1.7   0.0    94   234   111   132    91   138 0.51 -
109756at50557_378494_0:003794|STRG.12773.1:3330-3521|+ -             64 74932at50557         -            280   0.00083   17.6   0.1   1   1   4.8e-06   0.00091   17.5   0.1    12    53    15    59     5    63 0.80 -
109756at50557_378494_0:003794|STRG.12773.2:3359-3550|+ -             64 74932at50557         -            280   0.00083   17.6   0.1   1   1   4.8e-06   0.00091   17.5   0.1    12    53    15    59     5    63 0.80 -
2744at50557_103372_0:002a6a|STRG.20187.1:354-7043|+    -           2230 74932at50557         -            280   0.00094   17.4   0.0   1   1   9.8e-06    0.0018   16.4   0.0    11    50  1309  1345  1306  1348 0.90 -
2744at50557_103372_0:002a6a|STRG.20187.2:354-7118|+    -           2255 74932at50557         -            280   0.00095   17.4   0.0   1   1   9.9e-06    0.0019   16.4   0.0    11    50  1334  1370  1331  1373 0.90 -
60993at50557_1155016_0:000fc6|STRG.8061.1:1047-1217|+  -             57 74932at50557         -            280    0.0016   16.7   0.3   1   1   8.3e-06    0.0016   16.7   0.3     2    39     9    50     8    57 0.67 -
60993at50557_1155016_0:000fc6|STRG.8061.2:427-597|+    -             57 74932at50557         -            280    0.0016   16.7   0.3   1   1   8.3e-06    0.0016   16.7   0.3     2    39     9    50     8    57 0.67 -
60993at50557_1155016_0:000fc6|STRG.8061.3:353-523|+    -             57 74932at50557         -            280    0.0016   16.7   0.3   1   1   8.3e-06    0.0016   16.7   0.3     2    39     9    50     8    57 0.67 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/74932at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/74932at50557.out --cpu 1 /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/74932at50557.hmm annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /home/justine/projet_tutore
# Date:            Sun Dec  1 20:09:33 2024
# [ok]
