#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
46658at50557_219809_0:0017ae|STRG.5459.1:451-1869|+    -            473 46658at50557         -            373  1.4e-239  793.6   1.4   1   1  1.5e-241  1.7e-239  793.3   1.4     1   373    59   457    59   457 0.97 -
18450at50557_1155016_0:0026c2|STRG.16192.3:1022-2224|+ -            401 46658at50557         -            373   9.6e-44  149.1   0.0   1   1   1.2e-45   1.4e-43  148.5   0.0    24   339    14   370     8   390 0.79 -
18450at50557_1155016_0:0026c2|STRG.16192.4:1184-2386|+ -            401 46658at50557         -            373   9.6e-44  149.1   0.0   1   1   1.2e-45   1.4e-43  148.5   0.0    24   339    14   370     8   390 0.79 -
18450at50557_1155016_0:0026c2|STRG.16192.5:1130-2332|+ -            401 46658at50557         -            373   9.6e-44  149.1   0.0   1   1   1.2e-45   1.4e-43  148.5   0.0    24   339    14   370     8   390 0.79 -
35385at50557_35570_0:00290c|STRG.8983.1:1004-2248|+    -            415 46658at50557         -            373   6.6e-43  146.3   0.0   1   2   8.5e-13   9.5e-11   40.5   0.0    25    87    11    73     7    78 0.90 -
35385at50557_35570_0:00290c|STRG.8983.1:1004-2248|+    -            415 46658at50557         -            373   6.6e-43  146.3   0.0   2   2   4.8e-32   5.3e-30  103.8   0.0    91   351    95   385    86   403 0.81 -
29312at50557_116153_0:001f21|STRG.20560.1:766-1905|+   -            380 46658at50557         -            373   2.7e-42  144.3   0.2   1   1   2.9e-44   3.3e-42  144.0   0.2    25   358     2   367     1   379 0.82 -
65449at50557_174628_0:0019f8|STRG.10682.3:114-1081|+   -            312 46658at50557         -            373   3.3e-42  144.0   0.0   1   2   4.7e-20   5.2e-18   64.4   0.0    32   114     7    94     1   128 0.83 -
65449at50557_174628_0:0019f8|STRG.10682.3:114-1081|+   -            312 46658at50557         -            373   3.3e-42  144.0   0.0   2   2   2.7e-24     3e-22   78.3   0.0   173   347   128   305   101   310 0.91 -
35385at50557_326594_0:000491|STRG.20875.1:136-1966|+   -            608 46658at50557         -            373   6.6e-42  143.0   0.9   1   1   4.8e-43   5.3e-41  140.0   0.9    24   341   181   521   178   547 0.82 -
65449at50557_7274_0:002e60|STRG.16378.1:264-1577|+     -            438 46658at50557         -            373     9e-42  142.6   0.2   1   1     1e-43   1.1e-41  142.2   0.2    26   353     2   361     1   380 0.83 -
29312at50557_34720_0:0009c1|STRG.1112.1:103-2403|+     -            767 46658at50557         -            373   2.4e-41  141.2   0.0   1   1   3.2e-43   3.5e-41  140.6   0.0    25   364   256   627   251   635 0.80 -
68043at50557_34720_0:001307|STRG.4166.1:61-1737|+      -            559 46658at50557         -            373   7.8e-41  139.5   0.0   1   1   1.2e-42   1.4e-40  138.7   0.0    27   356   138   500   130   512 0.81 -
65449at50557_34720_0:000b83|STRG.8839.2:155-1915|+     -            587 46658at50557         -            373     3e-39  134.3   0.2   1   1     4e-41   4.4e-39  133.7   0.2    49   366    30   384    24   390 0.81 -
35385at50557_37001_0:001231|STRG.17541.1:1026-2255|+   -            410 46658at50557         -            373   4.4e-39  133.7   0.1   1   2   7.4e-17   8.2e-15   53.8   0.1    31   175    27   199    19   204 0.73 -
35385at50557_37001_0:001231|STRG.17541.1:1026-2255|+   -            410 46658at50557         -            373   4.4e-39  133.7   0.1   2   2   5.3e-24   5.9e-22   77.3   0.0   173   347   225   400   215   409 0.90 -
35385at50557_37001_0:001231|STRG.17541.2:1026-2255|+   -            410 46658at50557         -            373   4.4e-39  133.7   0.1   1   2   7.4e-17   8.2e-15   53.8   0.1    31   175    27   199    19   204 0.73 -
35385at50557_37001_0:001231|STRG.17541.2:1026-2255|+   -            410 46658at50557         -            373   4.4e-39  133.7   0.1   2   2   5.3e-24   5.9e-22   77.3   0.0   173   347   225   400   215   409 0.90 -
35385at50557_37001_0:001231|STRG.17541.3:1023-2252|+   -            410 46658at50557         -            373   4.4e-39  133.7   0.1   1   2   7.4e-17   8.2e-15   53.8   0.1    31   175    27   199    19   204 0.73 -
35385at50557_37001_0:001231|STRG.17541.3:1023-2252|+   -            410 46658at50557         -            373   4.4e-39  133.7   0.1   2   2   5.3e-24   5.9e-22   77.3   0.0   173   347   225   400   215   409 0.90 -
65449at50557_34720_0:000b83|STRG.8839.4:2-1917|+       -            556 46658at50557         -            373   1.4e-38  132.1   0.2   1   1   1.6e-40   1.8e-38  131.7   0.2    52   366     2   353     1   359 0.81 -
35385at50557_37001_0:001231|STRG.9129.2:512-1704|+     -            360 46658at50557         -            373   2.3e-37  128.1   0.0   1   1     3e-39   3.3e-37  127.5   0.0    33   302    61   360    48   360 0.82 -
18450at50557_197043_0:00065e|STRG.13829.1:1090-2196|+  -            304 46658at50557         -            373   2.9e-37  127.7   0.5   1   2   2.3e-22   2.5e-20   72.0   0.0    25   170     4   169     2   181 0.76 -
18450at50557_197043_0:00065e|STRG.13829.1:1090-2196|+  -            304 46658at50557         -            373   2.9e-37  127.7   0.5   2   2   6.9e-17   7.7e-15   53.9   0.2   241   340   201   300   186   303 0.94 -
35385at50557_37001_0:001231|STRG.3240.3:299-1378|+     -            360 46658at50557         -            373   4.1e-36  123.9   0.0   1   1   5.7e-38   6.4e-36  123.3   0.0    25   302    51   360    46   360 0.82 -
35385at50557_37001_0:001231|STRG.3240.6:236-1315|+     -            360 46658at50557         -            373   4.1e-36  123.9   0.0   1   1   5.7e-38   6.4e-36  123.3   0.0    25   302    51   360    46   360 0.82 -
65449at50557_7237_0:000776|STRG.11123.1:357-1838|+     -            494 46658at50557         -            373   3.8e-35  120.8   0.1   1   1   6.4e-37   7.2e-35  119.9   0.1    34   342    16   356     4   372 0.84 -
35385at50557_37001_0:001231|STRG.3240.5:220-1522|+     -            358 46658at50557         -            373   6.9e-33  113.3   0.0   1   1   9.5e-35   1.1e-32  112.7   0.0    25   302    51   358    46   358 0.82 -
41619at50557_34720_0:0004fb|STRG.2989.1:116-1981|+     -            544 46658at50557         -            373   1.3e-32  112.5   3.5   1   1   6.7e-33   7.4e-31  106.6   3.5    22   358    11   401     4   413 0.79 -
41619at50557_34720_0:0004fb|STRG.2989.2:91-1722|+      -            544 46658at50557         -            373   1.3e-32  112.5   3.5   1   1   6.7e-33   7.4e-31  106.6   3.5    22   358    11   401     4   413 0.79 -
25910at50557_103372_0:001a63|STRG.10817.1:22-2205|+    -            728 46658at50557         -            373   2.1e-30  105.2   0.8   1   3   4.5e-12     5e-10   38.1   0.0    24    90     3    69     1    99 0.94 -
25910at50557_103372_0:001a63|STRG.10817.1:22-2205|+    -            728 46658at50557         -            373   2.1e-30  105.2   0.8   2   3   9.6e-08   1.1e-05   23.8   0.1    85   204   283   431   278   455 0.70 -
25910at50557_103372_0:001a63|STRG.10817.1:22-2205|+    -            728 46658at50557         -            373   2.1e-30  105.2   0.8   3   3   1.2e-12   1.3e-10   40.0   0.0   236   341   503   611   491   620 0.88 -
65449at50557_42026_0:002fbc|STRG.6494.1:1314-3122|+    -            603 46658at50557         -            373   7.9e-30  103.3   0.3   1   2   3.4e-18   3.8e-16   58.2   0.0    42   173     4   162     1   167 0.72 -
65449at50557_42026_0:002fbc|STRG.6494.1:1314-3122|+    -            603 46658at50557         -            373   7.9e-30  103.3   0.3   2   2   2.1e-13   2.3e-11   42.5   0.0   266   361   400   495   394   507 0.87 -
43304at50557_34720_0:00174e|STRG.7242.1:74-2281|+      -            736 46658at50557         -            373   8.8e-24   83.4   2.4   1   3   2.3e-06   0.00026   19.3   0.0    37    87   154   205   129   247 0.87 -
43304at50557_34720_0:00174e|STRG.7242.1:74-2281|+      -            736 46658at50557         -            373   8.8e-24   83.4   2.4   2   3   0.00016     0.018   13.2   0.1    90   184   257   379   249   401 0.63 -
43304at50557_34720_0:00174e|STRG.7242.1:74-2281|+      -            736 46658at50557         -            373   8.8e-24   83.4   2.4   3   3   1.8e-15     2e-13   49.3   0.2   233   343   456   566   409   598 0.87 -
43304at50557_34720_0:00174e|STRG.7242.2:84-2291|+      -            736 46658at50557         -            373   8.8e-24   83.4   2.4   1   3   2.3e-06   0.00026   19.3   0.0    37    87   154   205   129   247 0.87 -
43304at50557_34720_0:00174e|STRG.7242.2:84-2291|+      -            736 46658at50557         -            373   8.8e-24   83.4   2.4   2   3   0.00016     0.018   13.2   0.1    90   184   257   379   249   401 0.63 -
43304at50557_34720_0:00174e|STRG.7242.2:84-2291|+      -            736 46658at50557         -            373   8.8e-24   83.4   2.4   3   3   1.8e-15     2e-13   49.3   0.2   233   343   456   566   409   598 0.87 -
123578at50557_7168_0:0013fb|STRG.11753.1:402-1766|+    -            455 46658at50557         -            373   1.3e-23   82.8   0.4   1   1   1.8e-25   2.1e-23   82.2   0.4    18   353    67   451    54   455 0.76 -
65449at50557_103372_0:002499|STRG.8839.5:2-583|+       -            194 46658at50557         -            373   2.8e-22   78.4   0.2   1   1   3.2e-24   3.5e-22   78.1   0.2    52   206     2   187     1   192 0.77 -
29312at50557_29031_0:001a6d|STRG.10682.3:509-1057|+    -            183 46658at50557         -            373   1.3e-21   76.3   0.0   1   1   1.3e-23   1.5e-21   76.0   0.0   175   344     9   181     6   183 0.92 -
35385at50557_64838_0:000109|STRG.9275.1:3032-3716|+    -            212 46658at50557         -            373   3.4e-21   74.9   0.2   1   2   2.7e-08     3e-06   25.7   0.1   135   235     1   107     1   113 0.79 -
35385at50557_64838_0:000109|STRG.9275.1:3032-3716|+    -            212 46658at50557         -            373   3.4e-21   74.9   0.2   2   2   5.7e-17   6.4e-15   54.2   0.0   237   346    87   194    80   209 0.90 -
35385at50557_64838_0:000109|STRG.9275.4:2903-3587|+    -            212 46658at50557         -            373   3.4e-21   74.9   0.2   1   2   2.7e-08     3e-06   25.7   0.1   135   235     1   107     1   113 0.79 -
35385at50557_64838_0:000109|STRG.9275.4:2903-3587|+    -            212 46658at50557         -            373   3.4e-21   74.9   0.2   2   2   5.7e-17   6.4e-15   54.2   0.0   237   346    87   194    80   209 0.90 -
29312at50557_143948_0:00066e|STRG.9275.3:2915-3746|+   -            264 46658at50557         -            373   1.3e-20   73.0   0.0   1   2   2.5e-07   2.8e-05   22.5   0.1   134   238    39   152    34   155 0.77 -
29312at50557_143948_0:00066e|STRG.9275.3:2915-3746|+   -            264 46658at50557         -            373   1.3e-20   73.0   0.0   2   2     3e-16   3.4e-14   51.8   0.0   232   348   124   238   118   261 0.85 -
57791at50557_34720_0:001e64|STRG.10191.1:98-2086|+     -            663 46658at50557         -            373   2.3e-20   72.1   0.4   1   2   1.1e-05    0.0012   17.1   0.1    61   118   238   299   232   368 0.71 -
57791at50557_34720_0:001e64|STRG.10191.1:98-2086|+     -            663 46658at50557         -            373   2.3e-20   72.1   0.4   2   2   6.1e-16   6.8e-14   50.8   0.0   238   366   478   608   463   615 0.81 -
57791at50557_34720_0:001e64|STRG.10191.2:92-2080|+     -            663 46658at50557         -            373   2.3e-20   72.1   0.4   1   2   1.1e-05    0.0012   17.1   0.1    61   118   238   299   232   368 0.71 -
57791at50557_34720_0:001e64|STRG.10191.2:92-2080|+     -            663 46658at50557         -            373   2.3e-20   72.1   0.4   2   2   6.1e-16   6.8e-14   50.8   0.0   238   366   478   608   463   615 0.81 -
57791at50557_34720_0:001e64|STRG.10191.3:69-2057|+     -            663 46658at50557         -            373   2.3e-20   72.1   0.4   1   2   1.1e-05    0.0012   17.1   0.1    61   118   238   299   232   368 0.71 -
57791at50557_34720_0:001e64|STRG.10191.3:69-2057|+     -            663 46658at50557         -            373   2.3e-20   72.1   0.4   2   2   6.1e-16   6.8e-14   50.8   0.0   238   366   478   608   463   615 0.81 -
57791at50557_34720_0:001e64|STRG.10191.4:94-2082|+     -            663 46658at50557         -            373   2.3e-20   72.1   0.4   1   2   1.1e-05    0.0012   17.1   0.1    61   118   238   299   232   368 0.71 -
57791at50557_34720_0:001e64|STRG.10191.4:94-2082|+     -            663 46658at50557         -            373   2.3e-20   72.1   0.4   2   2   6.1e-16   6.8e-14   50.8   0.0   238   366   478   608   463   615 0.81 -
46658at50557_56086_0:000311|STRG.11371.1:177-671|+     -            165 46658at50557         -            373     7e-20   70.5   0.1   1   1   6.7e-22   7.5e-20   70.4   0.1    11   147     3   154     1   165 0.79 -
43304at50557_34720_0:00174e|STRG.7242.3:50-1703|+      -            529 46658at50557         -            373   2.2e-18   65.6   1.0   1   2   0.00011     0.012   13.8   0.1    90   184    50   172    44   187 0.62 -
43304at50557_34720_0:00174e|STRG.7242.3:50-1703|+      -            529 46658at50557         -            373   2.2e-18   65.6   1.0   2   2   9.4e-16     1e-13   50.2   0.1   233   343   249   359   198   391 0.87 -
35385at50557_1155016_0:002498|STRG.9275.2:90-455|+     -            122 46658at50557         -            373   3.4e-14   51.8   0.0   1   1   3.4e-16   3.7e-14   51.7   0.0   242   347     2   105     1   119 0.87 -
29312at50557_29031_0:001a6d|STRG.10391.1:61-610|+      -            178 46658at50557         -            373   4.4e-14   51.4   0.1   1   1   4.3e-16   4.8e-14   51.3   0.1   149   318     3   176     1   178 0.88 -
29312at50557_29031_0:001a6d|STRG.10391.2:61-610|+      -            178 46658at50557         -            373   4.4e-14   51.4   0.1   1   1   4.3e-16   4.8e-14   51.3   0.1   149   318     3   176     1   178 0.88 -
29312at50557_29031_0:001a6d|STRG.10391.3:282-831|+     -            178 46658at50557         -            373   4.4e-14   51.4   0.1   1   1   4.3e-16   4.8e-14   51.3   0.1   149   318     3   176     1   178 0.88 -
65449at50557_34720_0:000b83|STRG.8839.1:326-1258|+     -            311 46658at50557         -            373   1.3e-12   46.6   0.0   1   1   1.8e-14     2e-12   46.0   0.0   268   366    10   108     5   114 0.88 -
65449at50557_34720_0:000b83|STRG.8839.3:965-1897|+     -            311 46658at50557         -            373   1.3e-12   46.6   0.0   1   1   1.8e-14     2e-12   46.0   0.0   268   366    10   108     5   114 0.88 -
19244at50557_29053_0:002948|STRG.8686.1:1687-2874|+    -            396 46658at50557         -            373   3.2e-09   35.4   1.6   1   2      0.18        20    3.2   0.0    48   111     9    69     3    90 0.86 -
19244at50557_29053_0:002948|STRG.8686.1:1687-2874|+    -            396 46658at50557         -            373   3.2e-09   35.4   1.6   2   2   6.8e-10   7.6e-08   30.9   0.7   230   366   219   356   202   362 0.86 -
19244at50557_29053_0:002948|STRG.8686.2:1660-2847|+    -            396 46658at50557         -            373   3.2e-09   35.4   1.6   1   2      0.18        20    3.2   0.0    48   111     9    69     3    90 0.86 -
19244at50557_29053_0:002948|STRG.8686.2:1660-2847|+    -            396 46658at50557         -            373   3.2e-09   35.4   1.6   2   2   6.8e-10   7.6e-08   30.9   0.7   230   366   219   356   202   362 0.86 -
19244at50557_116153_0:001e22|STRG.4938.2:129-1178|+    -            350 46658at50557         -            373   5.2e-08   31.5   0.1   1   2      0.36        40    2.2   0.0    50   116    20    82     9   106 0.74 -
19244at50557_116153_0:001e22|STRG.4938.2:129-1178|+    -            350 46658at50557         -            373   5.2e-08   31.5   0.1   2   2   1.3e-08   1.4e-06   26.8   0.0   237   334   246   343   125   349 0.82 -
19244at50557_116153_0:001e22|STRG.2984.6:471-1406|+    -            312 46658at50557         -            373   1.5e-06   26.6   0.4   1   2         5   5.6e+02   -1.5   0.0   166   210    72   116    10   122 0.64 -
19244at50557_116153_0:001e22|STRG.2984.6:471-1406|+    -            312 46658at50557         -            373   1.5e-06   26.6   0.4   2   2     3e-08   3.4e-06   25.5   0.1   230   337   204   311   183   312 0.88 -
19244at50557_34720_0:002014|STRG.597.1:97-4662|+       -           1522 46658at50557         -            373   3.9e-06   25.3   0.4   1   2    0.0053      0.59    8.2   0.0    44   139   827   924   816   934 0.84 -
19244at50557_34720_0:002014|STRG.597.1:97-4662|+       -           1522 46658at50557         -            373   3.9e-06   25.3   0.4   2   2   5.7e-05    0.0063   14.7   0.1   267   333  1096  1162  1084  1203 0.81 -
65449at50557_42026_0:002fbc|STRG.11027.2:784-2195|+    -            351 46658at50557         -            373   0.00031   19.0   0.0   1   2   9.8e-05     0.011   13.9   0.0    37   113    20   103     7   153 0.80 -
65449at50557_42026_0:002fbc|STRG.11027.2:784-2195|+    -            351 46658at50557         -            373   0.00031   19.0   0.0   2   2       1.5   1.7e+02    0.1   0.0   307   334   199   226   182   249 0.81 -
65449at50557_42026_0:002fbc|STRG.11027.4:491-1902|+    -            351 46658at50557         -            373   0.00031   19.0   0.0   1   2   9.8e-05     0.011   13.9   0.0    37   113    20   103     7   153 0.80 -
65449at50557_42026_0:002fbc|STRG.11027.4:491-1902|+    -            351 46658at50557         -            373   0.00031   19.0   0.0   2   2       1.5   1.7e+02    0.1   0.0   307   334   199   226   182   249 0.81 -
65449at50557_42026_0:002fbc|STRG.11027.5:487-1898|+    -            351 46658at50557         -            373   0.00031   19.0   0.0   1   2   9.8e-05     0.011   13.9   0.0    37   113    20   103     7   153 0.80 -
65449at50557_42026_0:002fbc|STRG.11027.5:487-1898|+    -            351 46658at50557         -            373   0.00031   19.0   0.0   2   2       1.5   1.7e+02    0.1   0.0   307   334   199   226   182   249 0.81 -
65449at50557_42026_0:002fbc|STRG.11027.6:278-1592|+    -            382 46658at50557         -            373   0.00087   17.6   0.0   1   2   0.00012     0.013   13.7   0.0    37   113    20   103     7   149 0.79 -
65449at50557_42026_0:002fbc|STRG.11027.6:278-1592|+    -            382 46658at50557         -            373   0.00087   17.6   0.0   2   2       5.6   6.3e+02   -1.7   0.0   288   333   212   256   186   278 0.63 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/46658at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/46658at50557.out --cpu 1 /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/46658at50557.hmm annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /home/justine/projet_tutore
# Date:            Sun Dec  1 20:06:27 2024
# [ok]
